geo_fips,Typology,old disp type
6077004701,LI - Not Losing Low Income Households,
6067006102,LI - At Risk of Gentrification and/or Displacement,
6067006500,LI - Ongoing Gentrification and/or Displacement,
6067006702,LI - Ongoing Gentrification and/or Displacement,
6113010312,MHI - Ongoing Exclusion,
6067006900,LI - At Risk of Gentrification and/or Displacement,
6067008124,MHI - Not Losing Low Income Households,
6067007204,MHI - At Risk of Exclusion,
6067007013,MHI - Not Losing Low Income Households,
6067007016,MHI - Not Losing Low Income Households,
6067005510,LI - Not Losing Low Income Households,
6067008133,LI - Not Losing Low Income Households,
6113010607,MHI - Not Losing Low Income Households,
6087120700,MHI - Not Losing Low Income Households,
6067007106,MHI - At Risk of Exclusion,
6113011204,MHI - Not Losing Low Income Households,
6067007102,MHI - Not Losing Low Income Households,
6067007208,MHI - At Risk of Exclusion,
6067007209,LI - Not Losing Low Income Households,
6067000500,LI - Ongoing Gentrification and/or Displacement,
6087101000,LI - At Risk of Gentrification and/or Displacement,
6077005119,MHI - Advanced Gentrification,
6067007413,LI - Ongoing Gentrification and/or Displacement,
6067007417,MHI - At Risk of Exclusion,
6067007421,MHI - Not Losing Low Income Households,
6067009321,MHI - Not Losing Low Income Households,
6077003410,LI - Not Losing Low Income Households,
6077000600,LI - Ongoing Gentrification and/or Displacement,
6113010800,LI - Ongoing Gentrification and/or Displacement,
6077003109,MHI - Not Losing Low Income Households,
6067007504,LI - Ongoing Gentrification and/or Displacement,
6067007601,LI - Not Losing Low Income Households,
6113010402,MHI - Not Losing Low Income Households,
6067008117,MHI - At Risk of Exclusion,
6041104300,MHI - Not Losing Low Income Households,5
6067009004,LI - At Risk of Gentrification and/or Displacement,
6067008009,LI - Not Losing Low Income Households,
6077003900,LI - Ongoing Gentrification and/or Displacement,
6067008505,MHI - Not Losing Low Income Households,
6077003106,MHI - Not Losing Low Income Households,
6067003600,LI - Ongoing Gentrification and/or Displacement,
6087120200,MHI - Not Losing Low Income Households,
6077005110,MHI - At Risk of Exclusion,
6067008131,LI - At Risk of Gentrification and/or Displacement,
6113011001,LI - At Risk of Gentrification and/or Displacement,
6067002700,LI - Ongoing Gentrification and/or Displacement,
6067006201,LI - At Risk of Gentrification and/or Displacement,
6077005108,LI - At Risk of Gentrification and/or Displacement,
6067008134,LI - Ongoing Gentrification and/or Displacement,
6077002702,LI - Ongoing Gentrification and/or Displacement,
6067007012,LI - Not Losing Low Income Households,
6077004501,LI - Ongoing Gentrification and/or Displacement,
6097153600,LI - Not Losing Low Income Households,2
6077005132,LI - Not Losing Low Income Households,
6067008402,MHI - At Risk of Exclusion,
6067008403,MHI - Advanced Gentrification,
6067002500,MHI - Ongoing Exclusion,
6067009632,MHI - Not Losing Low Income Households,
6067008507,MHI - Not Losing Low Income Households,
6067008508,MHI - Not Losing Low Income Households,
6067008509,MHI - Advanced Exclusion,
6067008702,MHI - Advanced Exclusion,
6067008512,MHI - Not Losing Low Income Households,
6067009617,MHI - Not Losing Low Income Households,
6067004201,LI - At Risk of Gentrification and/or Displacement,
6085512602,LI - At Risk of Gentrification and/or Displacement,2
6067008113,MHI - Not Losing Low Income Households,
6067004006,LI - Not Losing Low Income Households,
6067009501,LI - At Risk of Gentrification and/or Displacement,
6067008911,LI - Ongoing Gentrification and/or Displacement,
6067004008,MHI - Not Losing Low Income Households,
6087110600,LI - At Risk of Gentrification and/or Displacement,
6067009006,LI - Ongoing Gentrification and/or Displacement,
6067007406,LI - Not Losing Low Income Households,
6067009406,MHI - At Risk of Exclusion,
6055201403,MHI - Not Losing Low Income Households,5
6067005201,College Town,
6067009111,LI - At Risk of Gentrification and/or Displacement,
6067009308,MHI - Not Losing Low Income Households,
6067009310,MHI - At Risk of Exclusion,
6067009900,MHI - Advanced Gentrification,
6067007402,LI - At Risk of Gentrification and/or Displacement,
6067009318,MHI - At Risk of Exclusion,
6067004401,LI - Ongoing Gentrification and/or Displacement,
6077004703,MHI - At Risk of Exclusion,
6067009324,MHI - Advanced Exclusion,
6067009326,MHI - Advanced Exclusion,
6077002300,LI - Ongoing Gentrification and/or Displacement,
6087100100,MHI - Ongoing Exclusion,
6067006202,LI - At Risk of Gentrification and/or Displacement,
6067009330,Data Unavailable or Unreliable,
6001436200,LI - At Risk of Gentrification and/or Displacement,2
6077004308,LI - At Risk of Gentrification and/or Displacement,
6097154100,LI - Not Losing Low Income Households,5
6067001500,MHI - Ongoing Exclusion,
6067009609,MHI - At Risk of Exclusion,
6067009633,LI - Ongoing Gentrification and/or Displacement,
6087122400,MHI - At Risk of Exclusion,
6067009637,MHI - Not Losing Low Income Households,
6077005208,MHI - Not Losing Low Income Households,
6067009800,Data Unavailable or Unreliable,
6067005701,MHI - At Risk of Exclusion,
6113010703,College Town,
6081611300,MHI - Ongoing Exclusion,6
6067009010,MHI - Advanced Gentrification,
6077003405,LI - At Risk of Gentrification and/or Displacement,
6087123300,MHI - Ongoing Exclusion,
6077004204,LI - Not Losing Low Income Households,
6067008142,LI - At Risk of Gentrification and/or Displacement,
6067006101,LI - At Risk of Gentrification and/or Displacement,
6087122100,LI - Ongoing Gentrification and/or Displacement,
6067007017,MHI - Not Losing Low Income Households,
6077000700,LI - Ongoing Gentrification and/or Displacement,
6087122002,MHI - Not Losing Low Income Households,
6067009011,Data Unavailable or Unreliable,
6067007427,LI - At Risk of Gentrification and/or Displacement,
6113010102,LI - Ongoing Gentrification and/or Displacement,
6087121600,LI - At Risk of Gentrification and/or Displacement,
6067008144,MHI - Not Losing Low Income Households,
6067004601,LI - At Risk of Gentrification and/or Displacement,
6067003204,LI - At Risk of Gentrification and/or Displacement,
6077000900,LI - Ongoing Gentrification and/or Displacement,
6067004801,LI - At Risk of Gentrification and/or Displacement,
6077005129,MHI - Not Losing Low Income Households,
6067006701,LI - At Risk of Gentrification and/or Displacement,
6067008139,LI - Not Losing Low Income Households,
6081984300,Data Unavailable or Unreliable,
6067006004,MHI - At Risk of Exclusion,
6097153404,LI - Not Losing Low Income Households,1
6067008600,MHI - At Risk of Exclusion,
6077005133,MHI - At Risk of Exclusion,
6067007503,LI - At Risk of Gentrification and/or Displacement,
6087120301,MHI - Not Losing Low Income Households,
6067005001,LI - At Risk of Gentrification and/or Displacement,
6067008136,LI - Not Losing Low Income Households,
6097153200,MHI - At Risk of Exclusion,1
6067007105,Data Unavailable or Unreliable,
6077003203,MHI - At Risk of Exclusion,
6067009610,LI - Not Losing Low Income Households,
6077005109,LI - Ongoing Gentrification and/or Displacement,
6067005801,MHI - At Risk of Exclusion,
6077003801,MHI - Not Losing Low Income Households,
6087121000,MHI - At Risk of Exclusion,
6113010605,MHI - Ongoing Exclusion,
6067003203,LI - At Risk of Gentrification and/or Displacement,
6067007414,LI - Not Losing Low Income Households,
6067007905,MHI - At Risk of Exclusion,
6077003802,MHI - Not Losing Low Income Households,
6067007104,MHI - Not Losing Low Income Households,
6113011002,MHI - At Risk of Exclusion,
6077005127,MHI - Not Losing Low Income Households,
6087100700,LI - Ongoing Gentrification and/or Displacement,
6087122201,MHI - Not Losing Low Income Households,
6067001600,MHI - Ongoing Exclusion,
6113010608,College Town,
6087100600,MHI - At Risk of Exclusion,
6113010606,MHI - At Risk of Exclusion,
6087110502,LI - At Risk of Gentrification and/or Displacement,
6087121401,LI - Ongoing Gentrification and/or Displacement,
6077005125,MHI - Not Losing Low Income Households,
6077004203,LI - At Risk of Gentrification and/or Displacement,
6087110700,LI - At Risk of Gentrification and/or Displacement,
6067007701,LI - Not Losing Low Income Households,
6067009314,MHI - Not Losing Low Income Households,
6087121300,MHI - Ongoing Exclusion,
6067007015,LI - Not Losing Low Income Households,
6067007415,MHI - Not Losing Low Income Households,
6077001600,Data Unavailable or Unreliable,
6067009323,MHI - Not Losing Low Income Households,
6077004403,LI - At Risk of Gentrification and/or Displacement,
6067008127,MHI - Not Losing Low Income Households,
6067003101,LI - Ongoing Gentrification and/or Displacement,
6077000100,LI - At Risk of Gentrification and/or Displacement,
6067007904,MHI - Not Losing Low Income Households,
6077005135,MHI - Not Losing Low Income Households,
6077003213,MHI - At Risk of Exclusion,
6077005113,MHI - Not Losing Low Income Households,
6077001800,LI - At Risk of Gentrification and/or Displacement,
6077004800,MHI - At Risk of Exclusion,
6087121402,LI - At Risk of Gentrification and/or Displacement,
6087101100,MHI - Advanced Gentrification,
6067007007,LI - At Risk of Gentrification and/or Displacement,
6067008506,MHI - Not Losing Low Income Households,
6067007416,LI - Not Losing Low Income Households,
6067007430,LI - Not Losing Low Income Households,
6087122003,LI - Not Losing Low Income Households,
6067004905,LI - At Risk of Gentrification and/or Displacement,
6077001000,LI - Not Losing Low Income Households,
6077001101,LI - Not Losing Low Income Households,
6085504700,LI - At Risk of Gentrification and/or Displacement,1
6095252903,MHI - Not Losing Low Income Households,5
6067007020,MHI - Not Losing Low Income Households,
6077002100,LI - Not Losing Low Income Households,
6067008209,MHI - At Risk of Exclusion,
6113010204,LI - At Risk of Gentrification and/or Displacement,
6077002504,MHI - Advanced Gentrification,
6067009007,LI - At Risk of Gentrification and/or Displacement,
6067008008,MHI - Not Losing Low Income Households,
6077005122,MHI - Not Losing Low Income Households,
6077003110,LI - At Risk of Gentrification and/or Displacement,
6113010401,MHI - At Risk of Exclusion,
6077003114,MHI - Advanced Exclusion,
6113011102,LI - Not Losing Low Income Households,
6055201102,MHI - At Risk of Exclusion,5
6077003108,LI - Not Losing Low Income Households,
6097151100,MHI - At Risk of Exclusion,5
6067003300,MHI - At Risk of Exclusion,
6087100300,MHI - At Risk of Exclusion,
6077003306,LI - Ongoing Gentrification and/or Displacement,
6077003307,LI - At Risk of Gentrification and/or Displacement,
6077003308,LI - Ongoing Gentrification and/or Displacement,
6067009108,MHI - Not Losing Low Income Households,
6077003313,LI - Not Losing Low Income Households,
6067005002,LI - At Risk of Gentrification and/or Displacement,
6097154000,MHI - At Risk of Exclusion,5
6077001900,LI - At Risk of Gentrification and/or Displacement,
6067008504,MHI - At Risk of Exclusion,
6067008119,MHI - Advanced Gentrification,
6067009618,MHI - At Risk of Exclusion,
6067008111,LI - Not Losing Low Income Households,
6077004001,LI - At Risk of Gentrification and/or Displacement,
6067007424,LI - Ongoing Gentrification and/or Displacement,
6077004201,MHI - At Risk of Exclusion,
6077004305,MHI - At Risk of Exclusion,
6077001200,MHI - At Risk of Exclusion,
6077004302,LI - Not Losing Low Income Households,
6077004402,MHI - At Risk of Exclusion,
6067004702,LI - Ongoing Gentrification and/or Displacement,
6077004105,MHI - At Risk of Exclusion,
6067004011,MHI - Not Losing Low Income Households,
6067009634,LI - At Risk of Gentrification and/or Displacement,
6067008909,LI - Ongoing Gentrification and/or Displacement,
6077004901,MHI - At Risk of Exclusion,
6077005001,MHI - At Risk of Exclusion,
6087120400,MHI - At Risk of Exclusion,
6087121700,LI - Ongoing Gentrification and/or Displacement,
6087120302,LI - Not Losing Low Income Households,
6067003501,LI - Ongoing Gentrification and/or Displacement,
6085512200,Data Unavailable or Unreliable,5
6077005134,MHI - Not Losing Low Income Households,
6067006400,LI - Ongoing Gentrification and/or Displacement,
6067009502,MHI - Advanced Gentrification,
6067009639,LI - Not Losing Low Income Households,
6077005209,MHI - Not Losing Low Income Households,
6077005302,MHI - At Risk of Exclusion,
6077005303,LI - Ongoing Gentrification and/or Displacement,
6077005307,MHI - At Risk of Exclusion,
6077005406,LI - At Risk of Gentrification and/or Displacement,
6113010505,MHI - Not Losing Low Income Households,
6067007501,LI - Not Losing Low Income Households,
6077004307,MHI - Advanced Gentrification,
6077003403,LI - Not Losing Low Income Households,
6097150100,MHI - Not Losing Low Income Households,7
6067005601,LI - Not Losing Low Income Households,
6077002202,LI - At Risk of Gentrification and/or Displacement,
6085512100,LI - Not Losing Low Income Households,1
6067000300,MHI - Ongoing Exclusion,
6077003310,LI - Not Losing Low Income Households,
6067007019,Data Unavailable or Unreliable,
6077004404,LI - At Risk of Gentrification and/or Displacement,
6077005308,MHI - At Risk of Exclusion,
6067004010,LI - Not Losing Low Income Households,
6067000700,LI - At Risk of Gentrification and/or Displacement,
6067009611,MHI - At Risk of Exclusion,
6067008208,LI - Not Losing Low Income Households,
6077003217,LI - Not Losing Low Income Households,
6067009606,LI - At Risk of Gentrification and/or Displacement,
6067002600,MHI - Advanced Gentrification,
6077005131,MHI - At Risk of Exclusion,
6077005502,MHI - Advanced Gentrification,
6077000500,LI - Ongoing Gentrification and/or Displacement,
6113010101,LI - Ongoing Gentrification and/or Displacement,
6077005123,MHI - At Risk of Exclusion,
6067004502,LI - At Risk of Gentrification and/or Displacement,
6067007429,LI - Not Losing Low Income Households,
6067009503,LI - Ongoing Gentrification and/or Displacement,
6067007001,LI - Ongoing Gentrification and/or Displacement,
6113010602,LI - Ongoing Gentrification and/or Displacement,
6113010901,LI - At Risk of Gentrification and/or Displacement,
6087110100,LI - Not Losing Low Income Households,
6067008905,LI - At Risk of Gentrification and/or Displacement,
6077004106,MHI - At Risk of Exclusion,
6067008138,MHI - Not Losing Low Income Households,
6067004906,LI - At Risk of Gentrification and/or Displacement,
6077005405,MHI - Advanced Gentrification,
6067007433,MHI - Not Losing Low Income Households,
6067008010,MHI - Not Losing Low Income Households,
6067007101,Data Unavailable or Unreliable,
6113010509,MHI - Not Losing Low Income Households,
6067007107,MHI - Not Losing Low Income Households,
6067005101,LI - At Risk of Gentrification and/or Displacement,
6077005207,MHI - Advanced Exclusion,
6077002401,LI - At Risk of Gentrification and/or Displacement,
6067008122,MHI - Not Losing Low Income Households,
6077000801,LI - Ongoing Gentrification and/or Displacement,
6067001400,LI - Not Losing Low Income Households,
6113010203,Data Unavailable or Unreliable,
6113010512,LI - Not Losing Low Income Households,
6077001102,LI - At Risk of Gentrification and/or Displacement,
6113011203,MHI - Not Losing Low Income Households,
6067988300,MHI - At Risk of Exclusion,
6067008006,MHI - At Risk of Exclusion,
6087122001,MHI - Ongoing Exclusion,
6055201900,MHI - Not Losing Low Income Households,2
6067009307,MHI - Not Losing Low Income Households,
6087122500,LI - Not Losing Low Income Households,
6087121100,MHI - Not Losing Low Income Households,
6067005502,LI - At Risk of Gentrification and/or Displacement,
6067009008,LI - Ongoing Gentrification and/or Displacement,
6067009403,MHI - Not Losing Low Income Households,
6067007018,MHI - Not Losing Low Income Households,
6097153501,MHI - At Risk of Exclusion,5
6077005106,MHI - At Risk of Exclusion,
6067007301,LI - At Risk of Gentrification and/or Displacement,
6067008005,MHI - At Risk of Exclusion,
6067009331,MHI - Not Losing Low Income Households,
6067004904,LI - At Risk of Gentrification and/or Displacement,
6067005402,LI - Not Losing Low Income Households,
6113010201,MHI - Ongoing Exclusion,
6087122202,MHI - Not Losing Low Income Households,
6067007403,LI - At Risk of Gentrification and/or Displacement,
6113010501,College Town,
6067008132,Data Unavailable or Unreliable,
6055201800,LI - Not Losing Low Income Households,1
6087123100,LI - Not Losing Low Income Households,
6113010513,LI - Not Losing Low Income Households,
6067009317,MHI - Not Losing Low Income Households,
6067006003,LI - At Risk of Gentrification and/or Displacement,
6067006300,LI - Ongoing Gentrification and/or Displacement,
6067008141,LI - At Risk of Gentrification and/or Displacement,
6067008135,LI - Not Losing Low Income Households,
6067007426,MHI - At Risk of Exclusion,
6077001700,LI - Ongoing Gentrification and/or Displacement,
6067009316,MHI - Not Losing Low Income Households,
6087100900,LI - Ongoing Gentrification and/or Displacement,
6067009322,MHI - Not Losing Low Income Households,
6077003215,LI - Not Losing Low Income Households,
6077005126,LI - Not Losing Low Income Households,
6067007202,LI - Not Losing Low Income Households,
6067002200,LI - Ongoing Gentrification and/or Displacement,
6077005004,MHI - Not Losing Low Income Households,
6067008801,MHI - At Risk of Exclusion,
6113011101,LI - At Risk of Gentrification and/or Displacement,
6087100400,College Town,
6067008705,MHI - Not Losing Low Income Households,
6067009638,MHI - Advanced Gentrification,
6077002000,Data Unavailable or Unreliable,
6067009329,MHI - At Risk of Exclusion,
6067002800,LI - At Risk of Gentrification and/or Displacement,
6087110400,LI - Ongoing Gentrification and/or Displacement,
6087121500,LI - At Risk of Gentrification and/or Displacement,
6055200900,Data Unavailable or Unreliable,1
6077005202,MHI - At Risk of Exclusion,
6067009109,MHI - At Risk of Exclusion,
6077003209,MHI - Not Losing Low Income Households,
6067004009,MHI - At Risk of Exclusion,
6077000402,LI - At Risk of Gentrification and/or Displacement,
6067009332,Data Unavailable or Unreliable,
6113010508,MHI - Not Losing Low Income Households,
6067008129,LI - Not Losing Low Income Households,
6067008207,MHI - At Risk of Exclusion,
6067008211,MHI - Ongoing Exclusion,
6077005130,MHI - Not Losing Low Income Households,
6067004402,Data Unavailable or Unreliable,
6067008143,MHI - At Risk of Exclusion,
6077001400,LI - Ongoing Gentrification and/or Displacement,
6041133000,LI - Not Losing Low Income Households,1
6067008137,LI - Not Losing Low Income Households,
6077003210,MHI - Not Losing Low Income Households,
6077002800,MHI - Advanced Gentrification,
6067001700,LI - Not Losing Low Income Households,
6077003404,LI - Ongoing Gentrification and/or Displacement,
6077004303,MHI - At Risk of Exclusion,
6067001200,LI - Ongoing Gentrification and/or Displacement,
6087100800,LI - Ongoing Gentrification and/or Displacement,
6067008913,LI - Not Losing Low Income Households,
6087100200,LI - Ongoing Gentrification and/or Displacement,
6077005003,MHI - At Risk of Exclusion,
6067005605,LI - At Risk of Gentrification and/or Displacement,
6067007702,MHI - At Risk of Exclusion,
6095253300,MHI - Ongoing Exclusion,5
6081613800,LI - Not Losing Low Income Households,5
6067007010,LI - Not Losing Low Income Households,
6113011300,MHI - Not Losing Low Income Households,
6077003214,MHI - Not Losing Low Income Households,
6067008510,MHI - Advanced Exclusion,
6077001500,LI - At Risk of Gentrification and/or Displacement,
6113011205,MHI - Not Losing Low Income Households,
6077003803,LI - At Risk of Gentrification and/or Displacement,
6113011103,MHI - Advanced Gentrification,
6067009201,LI - At Risk of Gentrification and/or Displacement,
6067009619,MHI - Not Losing Low Income Households,
6067008912,MHI - Not Losing Low Income Households,
6067007802,LI - Not Losing Low Income Households,
6067007103,MHI - Not Losing Low Income Households,
6067008501,MHI - Not Losing Low Income Households,
6067009404,MHI - At Risk of Exclusion,
6067007906,MHI - At Risk of Exclusion,
6067003400,MHI - Ongoing Exclusion,
6097154302,MHI - At Risk of Exclusion,5
6067005508,LI - Not Losing Low Income Households,
6067005506,LI - Not Losing Low Income Households,
6067004100,LI - At Risk of Gentrification and/or Displacement,
6077005114,MHI - Not Losing Low Income Households,
6113011500,LI - Not Losing Low Income Households,
6087122203,MHI - Not Losing Low Income Households,
6067005606,MHI - Ongoing Exclusion,
6113010511,MHI - Ongoing Exclusion,
6113010510,LI - Not Losing Low Income Households,
6067009103,MHI - At Risk of Exclusion,
6067008140,MHI - Advanced Gentrification,
6087110501,LI - At Risk of Gentrification and/or Displacement,
6067007011,LI - Ongoing Gentrification and/or Displacement,
6087120500,MHI - Not Losing Low Income Households,
6067009615,MHI - Not Losing Low Income Households,
6077003305,LI - Not Losing Low Income Households,
6067007801,LI - Not Losing Low Income Households,
6077002201,LI - At Risk of Gentrification and/or Displacement,
6087101200,MHI - At Risk of Exclusion,
6067000800,LI - Not Losing Low Income Households,
6087120800,MHI - Not Losing Low Income Households,
6067009105,LI - At Risk of Gentrification and/or Displacement,
6067006600,LI - Ongoing Gentrification and/or Displacement,
6067009622,MHI - Advanced Gentrification,
6041122000,Data Unavailable or Unreliable,5
6077003112,MHI - Not Losing Low Income Households,
6067003102,LI - Ongoing Gentrification and/or Displacement,
6067006002,LI - Not Losing Low Income Households,
6067007423,LI - Not Losing Low Income Households,
6087110200,LI - At Risk of Gentrification and/or Displacement,
6067009320,LI - Not Losing Low Income Households,
6055201500,MHI - At Risk of Exclusion,7
6067008704,MHI - Not Losing Low Income Households,
6067006800,LI - Ongoing Gentrification and/or Displacement,
6055201402,MHI - At Risk of Exclusion,5
6077004704,MHI - At Risk of Exclusion,
6113011206,MHI - At Risk of Exclusion,
6077002402,LI - Not Losing Low Income Households,
6067009110,LI - At Risk of Gentrification and/or Displacement,
6067007432,MHI - Not Losing Low Income Households,
6067008703,MHI - At Risk of Exclusion,
6067003700,LI - Ongoing Gentrification and/or Displacement,
6067005903,LI - Not Losing Low Income Households,
6067008404,LI - Ongoing Gentrification and/or Displacement,
6067004202,LI - At Risk of Gentrification and/or Displacement,
6067008130,MHI - At Risk of Exclusion,
6087120900,MHI - Ongoing Exclusion,
6067003000,MHI - Advanced Gentrification,
6113010310,Data Unavailable or Unreliable,
6067009311,MHI - Not Losing Low Income Households,
6087121200,MHI - Ongoing Exclusion,
6067004701,LI - Ongoing Gentrification and/or Displacement,
6097153502,MHI - At Risk of Exclusion,5
6077003312,LI - Not Losing Low Income Households,
6067009309,MHI - Not Losing Low Income Households,
6113010902,LI - At Risk of Gentrification and/or Displacement,
6067009325,MHI - At Risk of Exclusion,
6067008145,MHI - At Risk of Exclusion,
6087121800,LI - Not Losing Low Income Households,
6077004502,LI - At Risk of Gentrification and/or Displacement,
6077003406,LI - Not Losing Low Income Households,
6077003500,MHI - Not Losing Low Income Households,
6067009408,MHI - At Risk of Exclusion,
6067009312,MHI - At Risk of Exclusion,
6113011400,LI - At Risk of Gentrification and/or Displacement,
6077005501,LI - Ongoing Gentrification and/or Displacement,
6067007004,LI - Not Losing Low Income Households,
6087121403,MHI - Advanced Gentrification,
6067000400,LI - Ongoing Gentrification and/or Displacement,
6077003205,MHI - Ongoing Exclusion,
6067009407,MHI - Not Losing Low Income Households,
6067005202,MHI - Ongoing Exclusion,
6077005305,MHI - Not Losing Low Income Households,
6067003502,LI - At Risk of Gentrification and/or Displacement,
6087100500,LI - Not Losing Low Income Households,
6097153706,MHI - Not Losing Low Income Households,5
6067007206,MHI - At Risk of Exclusion,
6067004300,LI - At Risk of Gentrification and/or Displacement,
6067005509,LI - At Risk of Gentrification and/or Displacement,
6067004501,Data Unavailable or Unreliable,
6085513500,MHI - At Risk of Exclusion,1
6001427800,MHI - Ongoing Exclusion,6
6001428700,LI - Ongoing Gentrification and/or Displacement,1
6001427600,LI - At Risk of Gentrification and/or Displacement,2
6001428100,MHI - At Risk of Exclusion,6
6001428200,MHI - At Risk of Exclusion,7
6001427200,LI - At Risk of Gentrification and/or Displacement,3
6001428600,MHI - Not Losing Low Income Households,5
6001428400,LI - At Risk of Gentrification and/or Displacement,3
6001427300,LI - Ongoing Gentrification and/or Displacement,2
6001428301,MHI - Ongoing Exclusion,6
6001427700,MHI - Advanced Gentrification,2
6001428302,MHI - Not Losing Low Income Households,5
6001427900,MHI - Ongoing Exclusion,2
6001428000,LI - Ongoing Gentrification and/or Displacement,3
6001428500,LI - Ongoing Gentrification and/or Displacement,2
6001427100,MHI - Ongoing Exclusion,6
6013345204,MHI - Ongoing Exclusion,7
6013346102,MHI - Advanced Exclusion,5
6013334200,MHI - Ongoing Exclusion,5
6001420400,LI - Ongoing Gentrification and/or Displacement,2
6001420500,MHI - Ongoing Exclusion,6
