GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",3269,614,1109,339,1383,451,0,132,542,169,7,12,95,114,133,91,19,22,114,81
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",3536,785,486,209,1770,334,31,37,699,365,17,31,488,543,45,52,33,53,12,21
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",2493,465,442,196,1587,435,0,132,251,249,0,132,70,82,143,127,0,132,143,127
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",1614,417,146,102,969,283,31,46,291,203,0,132,161,180,16,24,16,24,0,132
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",1875,601,450,216,597,152,0,132,131,95,0,132,654,563,43,48,0,132,43,48
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",1265,325,195,197,825,281,0,132,100,79,0,132,131,135,14,26,0,132,14,26
1400000US06001401900,06001401900,"Census Tract 4019, Alameda County, California",678,341,148,85,19,30,7,11,74,75,0,132,303,284,127,121,41,64,86,103
1400000US06001402000,06001402000,"Census Tract 4020, Alameda County, California",87,69,0,132,21,33,0,132,0,132,0,132,42,65,24,39,0,132,24,39
1400000US06001402100,06001402100,"Census Tract 4021, Alameda County, California",1843,343,307,249,1110,274,0,132,370,214,0,132,19,27,37,68,0,132,37,68
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",1729,431,677,378,681,266,0,132,108,67,0,132,224,202,39,50,0,132,39,50
1400000US06001402300,06001402300,"Census Tract 4023, Alameda County, California",322,202,293,207,20,22,0,132,9,15,0,132,0,132,0,132,0,132,0,132
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",2145,331,619,271,1248,314,0,132,221,110,0,132,0,132,57,63,0,132,57,63
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",2110,450,261,204,1624,448,8,13,197,235,0,132,0,132,20,31,0,132,20,31
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",1021,136,203,113,264,97,0,132,541,149,0,132,13,20,0,132,0,132,0,132
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",1575,389,291,223,1186,381,0,132,66,77,0,132,20,32,12,18,0,132,12,18
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",2052,466,488,198,996,238,10,17,377,120,0,132,46,58,135,93,16,26,119,94
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",1025,163,180,71,285,139,0,132,521,170,0,132,5,9,34,34,0,132,34,34
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",2441,237,139,139,37,49,0,132,2244,229,21,35,0,132,0,132,0,132,0,132
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",1107,274,199,91,287,173,5,13,511,129,4,8,40,49,61,48,0,132,61,48
1400000US06001403200,06001403200,"Census Tract 4032, Alameda County, California",50,30,50,30,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",4196,514,1128,252,229,134,0,132,2619,457,0,132,144,146,76,54,0,132,76,54
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",4685,655,1898,469,1060,306,48,58,1482,634,0,132,49,43,148,91,30,34,118,85
1400000US06001403500,06001403500,"Census Tract 4035, Alameda County, California",6143,612,2625,407,1521,411,10,16,1292,411,34,47,31,35,630,377,35,40,595,371
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",5051,538,1618,323,2257,512,8,13,612,215,0,132,69,63,487,215,57,58,430,198
1400000US06001403700,06001403700,"Census Tract 4037, Alameda County, California",4881,295,2817,274,1105,257,0,132,531,150,11,22,55,49,362,179,16,26,346,176
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",4049,355,2791,323,456,275,0,132,486,166,0,132,74,58,242,140,30,38,212,133
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",3905,482,2496,351,883,251,58,82,256,121,0,132,81,72,131,99,0,132,131,99
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",3261,418,2068,317,583,313,0,132,393,109,0,132,31,30,186,83,27,32,159,79
1400000US06001404100,06001404100,"Census Tract 4041, Alameda County, California",5646,366,4244,363,307,139,0,132,835,233,0,132,57,55,203,139,27,35,176,143
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",3400,172,2674,264,146,112,9,15,284,115,0,132,31,32,256,168,24,38,232,169
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",3369,181,2742,269,128,108,0,132,355,122,0,132,11,17,133,101,0,132,133,101
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",5562,284,4070,287,180,120,0,132,992,199,0,132,87,120,233,163,21,34,212,158
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",1788,152,1384,213,109,156,0,132,200,166,0,132,7,15,88,94,8,16,80,92
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",6185,453,4599,419,301,188,0,132,595,155,0,132,470,381,220,118,0,132,220,118
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",4787,265,3579,340,533,298,13,21,428,155,0,132,78,59,156,91,24,28,132,84
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",2096,130,1666,232,191,132,0,132,175,122,0,132,10,17,54,47,0,132,54,47
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",2872,222,1163,251,880,242,0,132,549,262,0,132,162,136,118,84,59,45,59,57
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",4497,418,2726,321,276,114,11,18,1000,371,87,95,65,51,332,161,179,134,153,87
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",3144,247,2282,282,453,288,42,39,314,138,0,132,28,44,25,29,0,132,25,29
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",4818,271,3554,259,641,214,12,21,329,97,0,132,88,87,194,130,0,132,194,130
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",4631,418,1876,299,696,262,0,132,1464,306,0,132,344,238,251,146,9,17,242,149
1400000US06001405300,06001405300,"Census Tract 4053, Alameda County, California",6170,619,2624,560,1360,193,0,132,1105,222,0,132,955,567,126,103,31,53,95,68
1400000US06001405400,06001405400,"Census Tract 4054, Alameda County, California",6874,798,1886,447,1650,316,20,32,2198,535,274,269,758,511,88,62,0,132,88,62
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",3418,567,961,379,561,201,48,70,1531,426,39,62,110,115,168,114,147,108,21,27
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",2947,409,807,311,733,170,10,17,916,179,0,132,340,203,141,130,49,43,92,120
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",3086,374,631,190,726,252,30,41,1028,182,0,132,495,328,176,128,0,132,176,128
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",3668,507,696,266,706,192,12,18,2019,458,0,132,197,137,38,43,16,26,22,35
1400000US06001405900,06001405900,"Census Tract 4059, Alameda County, California",6961,859,1636,656,854,286,61,72,2624,527,357,387,1074,489,355,326,58,71,297,312
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",3236,368,906,246,330,134,23,37,1282,185,145,232,466,273,84,65,0,132,84,65
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",3415,373,1262,345,309,125,10,17,405,181,0,132,1272,424,157,140,106,136,51,42
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",6331,754,2233,614,936,255,0,132,1602,455,0,132,1470,665,90,109,25,31,65,105
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",4588,475,1184,413,185,133,0,132,559,300,28,28,2418,509,214,205,137,166,77,70
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",4613,730,852,356,1031,282,0,132,1935,730,0,132,774,331,21,22,11,17,10,15
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",1916,216,623,213,765,257,2,11,290,203,0,132,197,218,39,32,17,24,22,22
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",5926,736,2214,666,1276,344,0,132,904,189,126,170,1073,491,333,236,84,74,249,227
1400000US06001406600,06001406600,"Census Tract 4066, Alameda County, California",7600,735,1788,526,2380,495,42,49,1981,623,0,132,961,501,448,288,94,127,354,251
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",4885,399,2688,333,574,188,40,63,1212,259,0,132,256,216,115,80,0,132,115,80
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",3562,377,1714,355,575,236,0,132,1061,447,0,132,98,123,114,73,32,38,82,72
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",4455,461,2084,511,600,225,46,51,1438,345,0,132,146,99,141,130,0,132,141,130
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",6252,592,2121,527,1792,489,40,32,1808,372,15,21,303,274,173,114,80,83,93,84
1400000US06001407100,06001407100,"Census Tract 4071, Alameda County, California",7912,1002,2007,706,1719,679,123,109,653,312,99,155,2556,719,755,473,156,131,599,465
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",5313,626,1766,476,405,126,226,237,794,209,100,72,1950,610,72,75,39,63,33,37
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",2459,510,930,497,731,213,105,134,158,147,107,120,428,218,0,132,0,132,0,132
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",3550,697,977,387,1206,378,8,15,219,178,23,143,992,435,125,91,29,36,96,82
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",3630,396,781,275,1357,373,107,127,343,134,0,132,649,345,393,284,251,211,142,193
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",6952,952,1414,415,3004,576,19,33,611,391,0,132,1714,869,190,151,117,121,73,97
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",4382,438,997,202,2455,371,15,24,389,120,0,132,270,133,256,187,95,123,161,149
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",2950,829,1184,658,995,234,20,32,116,111,26,44,207,157,402,239,0,132,402,239
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",2904,320,1462,230,646,197,0,132,511,166,0,132,38,32,247,121,31,35,216,121
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",2333,216,1363,157,121,96,0,132,640,216,0,132,94,94,115,109,0,132,115,109
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",5532,448,2458,298,1593,302,0,132,936,313,0,132,328,306,217,143,67,71,150,128
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",4453,451,906,326,2463,335,0,132,128,124,12,20,578,311,366,240,170,220,196,113
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",4611,486,1555,364,2120,301,124,147,181,95,0,132,411,167,220,128,52,44,168,122
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",4103,633,865,489,1625,318,194,185,172,147,0,132,1166,575,81,85,13,20,68,82
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",4990,782,1495,690,2049,360,9,17,172,188,231,186,951,518,83,92,0,132,83,92
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",5434,482,968,385,2645,438,55,90,253,138,0,132,1467,475,46,48,32,43,14,22
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",7231,725,1903,563,3432,849,0,132,566,293,87,95,1097,586,146,161,0,132,146,161
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",5267,824,1186,402,2152,913,114,127,446,282,0,132,1249,484,120,103,42,66,78,76
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",3257,678,622,360,1653,513,0,132,51,63,41,50,765,305,125,119,28,45,97,82
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",4386,1099,469,330,1524,359,0,132,214,194,0,132,2115,1171,64,85,53,77,11,31
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",2502,518,819,654,1010,249,0,132,0,132,0,132,429,272,244,193,28,47,216,195
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",2729,423,247,198,1253,288,58,44,19,31,0,132,1142,406,10,17,0,132,10,17
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",5642,569,1243,487,1947,319,276,229,207,114,89,97,1761,464,119,78,37,32,82,69
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",4711,615,1294,544,889,396,0,132,314,420,47,62,1951,620,216,212,109,124,107,173
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",3502,583,1117,414,807,270,43,69,75,117,234,254,1226,390,0,132,0,132,0,132
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",5748,683,1526,617,2051,539,0,132,47,71,0,132,2052,612,72,60,24,36,48,49
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",5139,763,1167,567,2519,422,0,132,166,104,128,148,1141,599,18,28,0,132,18,28
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",3700,478,641,293,2574,442,13,21,101,127,0,132,169,188,202,134,66,74,136,127
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",3460,363,1031,186,1970,337,0,132,266,114,0,132,72,90,121,106,0,132,121,106
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",3038,385,899,206,1448,312,0,132,224,108,15,112,359,347,93,115,12,18,81,116
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",2691,369,531,213,1852,288,0,132,0,132,0,132,140,142,168,143,0,132,168,143
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",2986,488,118,74,1994,467,16,18,180,233,0,132,621,279,57,56,30,37,27,39
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",4221,558,1134,599,1371,524,0,132,390,363,0,132,1056,471,270,187,103,102,167,169
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",4608,777,607,290,2153,464,110,125,139,84,0,132,1589,838,10,16,0,132,10,16
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",2264,149,1687,164,42,42,0,132,386,84,0,132,52,51,97,58,21,34,76,47
1400000US06001420200,06001420200,"Census Tract 4202, Alameda County, California",2488,210,1372,212,146,158,10,15,737,191,24,28,61,48,138,82,0,132,138,82
1400000US06001420300,06001420300,"Census Tract 4203, Alameda County, California",4030,248,2212,282,106,69,11,17,1537,270,0,132,69,105,95,65,0,132,95,65
1400000US06001420400,06001420400,"Census Tract 4204, Alameda County, California",2099,308,790,214,95,112,35,43,1039,267,0,132,105,91,35,32,0,132,35,32
1400000US06001420500,06001420500,"Census Tract 4205, Alameda County, California",1978,194,1530,170,16,16,0,132,329,98,0,132,43,40,60,48,0,132,60,48
1400000US06001420600,06001420600,"Census Tract 4206, Alameda County, California",3057,207,2495,246,19,21,0,132,389,88,14,22,20,23,120,83,0,132,120,83
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California",1739,184,1416,164,0,132,0,132,221,87,26,40,0,132,76,61,0,132,76,61
1400000US06001421200,06001421200,"Census Tract 4212, Alameda County, California",3426,231,2945,258,89,79,15,22,328,80,0,132,24,35,25,28,11,19,14,21
1400000US06001421300,06001421300,"Census Tract 4213, Alameda County, California",3465,207,2958,211,0,132,0,132,304,61,0,132,53,55,150,98,0,132,150,98
1400000US06001421400,06001421400,"Census Tract 4214, Alameda County, California",1570,140,1460,166,10,16,0,132,87,62,0,132,13,22,0,132,0,132,0,132
1400000US06001421500,06001421500,"Census Tract 4215, Alameda County, California",3257,215,2707,231,18,20,19,26,263,90,0,132,51,40,199,125,18,28,181,128
1400000US06001421600,06001421600,"Census Tract 4216, Alameda County, California",3433,259,2627,254,66,68,9,14,370,112,0,132,247,205,114,70,27,34,87,62
1400000US06001421700,06001421700,"Census Tract 4217, Alameda County, California",3404,265,2594,282,134,186,0,132,451,148,6,10,104,71,115,77,14,22,101,76
1400000US06001421800,06001421800,"Census Tract 4218, Alameda County, California",1940,270,1331,170,203,228,0,132,241,162,64,104,46,67,55,59,0,132,55,59
1400000US06001421900,06001421900,"Census Tract 4219, Alameda County, California",3498,255,2390,223,261,99,0,132,576,125,0,132,186,180,85,55,0,132,85,55
1400000US06001422000,06001422000,"Census Tract 4220, Alameda County, California",1191,345,441,198,290,211,0,132,291,277,0,132,45,39,124,88,25,37,99,71
1400000US06001422100,06001422100,"Census Tract 4221, Alameda County, California",2106,277,967,271,327,126,0,132,272,162,0,132,491,235,49,57,35,53,14,18
1400000US06001422200,06001422200,"Census Tract 4222, Alameda County, California",2753,330,1838,308,333,173,0,132,466,178,0,132,21,24,95,57,20,23,75,50
1400000US06001422300,06001422300,"Census Tract 4223, Alameda County, California",2866,316,2023,282,83,73,0,132,560,187,0,132,60,47,140,96,0,132,140,96
1400000US06001422400,06001422400,"Census Tract 4224, Alameda County, California",4296,385,2644,332,137,96,0,132,1216,321,0,132,122,134,177,147,0,132,177,147
1400000US06001422500,06001422500,"Census Tract 4225, Alameda County, California",5417,2015,3659,1511,356,373,18,29,1165,698,22,36,8,13,189,89,26,25,163,78
1400000US06001422600,06001422600,"Census Tract 4226, Alameda County, California",1149,612,300,198,0,132,9,15,514,263,0,132,150,112,176,193,32,52,144,144
1400000US06001422700,06001422700,"Census Tract 4227, Alameda County, California",3130,763,2181,694,52,62,9,14,739,276,0,132,29,24,120,74,37,51,83,63
1400000US06001422800,06001422800,"Census Tract 4228, Alameda County, California",6628,1184,2942,612,160,96,7,11,2774,554,16,26,366,168,363,221,25,39,338,218
1400000US06001422900,06001422900,"Census Tract 4229, Alameda County, California",2647,334,1028,131,174,109,6,9,1277,283,0,132,36,29,126,93,15,21,111,90
1400000US06001423000,06001423000,"Census Tract 4230, Alameda County, California",3948,430,2579,420,450,162,7,11,701,158,0,132,12,23,199,121,12,18,187,117
1400000US06001423100,06001423100,"Census Tract 4231, Alameda County, California",3532,308,2200,317,546,148,7,11,303,128,0,132,229,107,247,159,55,54,192,156
1400000US06001423200,06001423200,"Census Tract 4232, Alameda County, California",2307,255,1359,322,541,215,19,26,99,82,0,132,185,143,104,82,11,21,93,80
1400000US06001423300,06001423300,"Census Tract 4233, Alameda County, California",3379,383,1402,271,1525,281,35,61,203,101,0,132,86,77,128,105,0,132,128,105
1400000US06001423400,06001423400,"Census Tract 4234, Alameda County, California",3695,294,1650,266,1072,180,23,38,431,171,0,132,268,160,251,161,17,58,234,135
1400000US06001423500,06001423500,"Census Tract 4235, Alameda County, California",4250,1370,2622,956,989,413,0,132,422,166,0,132,110,100,107,78,0,132,107,78
1400000US06001423601,06001423601,"Census Tract 4236.01, Alameda County, California",3022,678,2164,439,91,93,0,132,391,227,0,132,223,210,153,81,32,33,121,71
1400000US06001423602,06001423602,"Census Tract 4236.02, Alameda County, California",4414,421,2325,366,149,121,24,39,1601,332,140,201,50,62,125,90,0,132,125,90
1400000US06001423700,06001423700,"Census Tract 4237, Alameda County, California",3350,536,2477,455,34,40,0,132,612,133,50,74,100,61,77,55,0,132,77,55
1400000US06001423800,06001423800,"Census Tract 4238, Alameda County, California",2737,214,2205,201,32,34,11,17,203,76,0,132,53,53,233,144,0,132,233,144
1400000US06001423901,06001423901,"Census Tract 4239.01, Alameda County, California",1567,146,864,148,308,94,0,132,109,115,0,132,108,148,178,108,10,16,168,105
1400000US06001423902,06001423902,"Census Tract 4239.02, Alameda County, California",1467,133,1284,144,75,84,14,22,46,43,0,132,32,38,16,28,16,28,0,132
1400000US06001424001,06001424001,"Census Tract 4240.01, Alameda County, California",3432,458,2016,408,810,225,0,132,220,129,0,132,264,133,122,84,0,132,122,84
1400000US06001424002,06001424002,"Census Tract 4240.02, Alameda County, California",1862,242,603,177,834,156,6,10,214,107,0,132,49,62,156,111,36,57,120,96
1400000US06001425100,06001425100,"Census Tract 4251, Alameda County, California",9149,23,4571,532,1377,365,18,30,2747,412,0,132,159,164,277,180,10,17,267,180
1400000US06001426100,06001426100,"Census Tract 4261, Alameda County, California",5970,242,4512,317,84,71,0,132,1150,232,0,132,35,53,189,124,46,60,143,112
1400000US06001426200,06001426200,"Census Tract 4262, Alameda County, California",4470,246,3402,237,48,43,0,132,753,168,0,132,39,43,228,103,0,132,228,103
1400000US06001427100,06001427100,"Census Tract 4271, Alameda County, California",3848,305,2785,322,192,186,12,18,405,117,0,132,147,91,307,129,0,132,307,129
1400000US06001427200,06001427200,"Census Tract 4272, Alameda County, California",4277,390,1835,344,107,134,0,132,1594,337,0,132,467,270,274,148,21,33,253,144
1400000US06001427300,06001427300,"Census Tract 4273, Alameda County, California",4810,437,3236,400,191,143,0,132,1002,386,26,31,124,96,231,109,45,55,186,99
1400000US06001427400,06001427400,"Census Tract 4274, Alameda County, California",1409,370,629,200,83,94,19,30,485,326,0,132,0,132,193,101,0,132,193,101
1400000US06001427500,06001427500,"Census Tract 4275, Alameda County, California",1131,251,277,269,477,183,8,14,145,215,118,188,61,115,45,71,0,132,45,71
1400000US06001427600,06001427600,"Census Tract 4276, Alameda County, California",3501,377,1047,293,485,127,90,88,1464,327,14,22,283,207,118,61,9,14,109,63
1400000US06001427700,06001427700,"Census Tract 4277, Alameda County, California",4888,419,2645,360,365,147,0,132,1319,319,0,132,301,132,258,146,20,29,238,143
1400000US06001427800,06001427800,"Census Tract 4278, Alameda County, California",4603,448,2624,353,199,138,0,132,1355,441,0,132,59,67,366,176,51,51,315,155
1400000US06001427900,06001427900,"Census Tract 4279, Alameda County, California",4632,387,3094,348,0,132,45,48,814,333,14,24,100,70,565,183,47,46,518,179
1400000US06001428000,06001428000,"Census Tract 4280, Alameda County, California",2907,340,1601,374,169,155,7,12,775,182,0,132,192,105,163,80,48,39,115,65
1400000US06001428100,06001428100,"Census Tract 4281, Alameda County, California",4477,381,3369,360,104,98,0,132,611,178,0,132,112,82,281,158,34,53,247,139
1400000US06001428200,06001428200,"Census Tract 4282, Alameda County, California",6012,395,3596,477,150,117,46,75,1821,450,0,132,197,204,202,106,0,132,202,106
1400000US06001428301,06001428301,"Census Tract 4283.01, Alameda County, California",6018,463,2719,426,235,164,10,15,2352,369,0,132,195,102,507,248,120,142,387,210
1400000US06001428302,06001428302,"Census Tract 4283.02, Alameda County, California",6810,335,3269,229,157,109,0,132,2837,311,0,132,189,174,358,171,18,28,340,181
1400000US06001428400,06001428400,"Census Tract 4284, Alameda County, California",4241,812,2398,295,186,135,41,42,937,190,0,132,547,707,132,66,29,35,103,51
1400000US06001428500,06001428500,"Census Tract 4285, Alameda County, California",3256,450,1634,284,317,183,0,132,1064,216,0,132,123,133,118,72,29,34,89,65
1400000US06001428600,06001428600,"Census Tract 4286, Alameda County, California",3260,290,1551,249,182,100,11,18,1188,226,0,132,141,110,187,100,0,132,187,100
1400000US06001430100,06001430100,"Census Tract 4301, Alameda County, California",8573,412,4542,363,233,83,86,109,3331,441,0,132,87,113,294,223,32,39,262,213
1400000US06001430200,06001430200,"Census Tract 4302, Alameda County, California",6577,327,5194,396,130,113,27,33,800,160,0,132,75,67,351,148,18,31,333,152
1400000US06001430300,06001430300,"Census Tract 4303, Alameda County, California",3703,250,3005,305,100,115,0,132,464,151,0,132,10,16,124,84,0,132,124,84
1400000US06001430400,06001430400,"Census Tract 4304, Alameda County, California",1971,154,1601,156,0,132,0,132,215,92,0,132,11,18,144,111,9,13,135,111
1400000US06001430500,06001430500,"Census Tract 4305, Alameda County, California",5686,567,3417,460,1429,292,6,10,583,209,12,22,180,287,59,44,4,7,55,42
1400000US06001430600,06001430600,"Census Tract 4306, Alameda County, California",5605,379,3780,444,147,161,11,16,1188,216,58,97,212,241,209,170,48,59,161,141
1400000US06001430700,06001430700,"Census Tract 4307, Alameda County, California",3401,303,2686,314,43,49,0,132,374,101,37,47,117,111,144,102,14,22,130,97
1400000US06001430800,06001430800,"Census Tract 4308, Alameda County, California",5235,307,3650,381,0,132,9,15,1004,273,140,153,160,116,272,130,76,69,196,117
1400000US06001430900,06001430900,"Census Tract 4309, Alameda County, California",4410,376,2788,393,502,266,0,132,859,291,0,132,169,96,92,71,15,25,77,72
1400000US06001431000,06001431000,"Census Tract 4310, Alameda County, California",2652,243,2099,323,54,54,9,13,137,85,0,132,178,164,175,197,153,194,22,25
1400000US06001431100,06001431100,"Census Tract 4311, Alameda County, California",3134,278,1924,311,369,193,47,48,402,161,0,132,111,110,281,171,111,129,170,124
1400000US06001431200,06001431200,"Census Tract 4312, Alameda County, California",5783,582,4081,668,495,205,0,132,611,217,25,39,405,395,166,120,0,132,166,120
1400000US06001432100,06001432100,"Census Tract 4321, Alameda County, California",3370,180,1965,210,463,87,0,132,548,153,0,132,208,150,186,107,25,41,161,98
