Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached"
6001403000,"Census Tract 4030, Alameda County, California",1555,87,51,66,0,132
6001403100,"Census Tract 4031, Alameda County, California",544,81,0,132,11,17
6001403200,"Census Tract 4032, Alameda County, California",40,22,29,27,0,132
6001403300,"Census Tract 4033, Alameda County, California",2282,93,175,77,12,19
6001403400,"Census Tract 4034, Alameda County, California",3044,92,35,36,11,19
6001403500,"Census Tract 4035, Alameda County, California",3813,180,299,112,114,67
6001403600,"Census Tract 4036, Alameda County, California",2921,80,241,106,0,132
6001403700,"Census Tract 4037, Alameda County, California",3536,108,35,41,0,132
6001403800,"Census Tract 4038, Alameda County, California",2138,44,604,105,53,44
6001403900,"Census Tract 4039, Alameda County, California",2511,51,409,126,81,69
6001404000,"Census Tract 4040, Alameda County, California",1920,91,205,77,22,25
6001404100,"Census Tract 4041, Alameda County, California",3799,100,801,193,79,84
6001404200,"Census Tract 4042, Alameda County, California",1498,30,1226,68,11,18
6001404300,"Census Tract 4043, Alameda County, California",1497,36,1170,87,11,18
6001404400,"Census Tract 4044, Alameda County, California",2502,39,1908,111,0,132
6001404501,"Census Tract 4045.01, Alameda County, California",748,18,704,29,0,132
6001404502,"Census Tract 4045.02, Alameda County, California",2704,53,2521,100,0,132
6001404600,"Census Tract 4046, Alameda County, California",1978,34,1959,45,0,132
6001404700,"Census Tract 4047, Alameda County, California",879,24,827,48,10,17
6001404800,"Census Tract 4048, Alameda County, California",1409,34,667,106,54,56
6001404900,"Census Tract 4049, Alameda County, California",2046,89,1428,133,148,79
6001405000,"Census Tract 4050, Alameda County, California",1730,36,947,109,76,56
6001405100,"Census Tract 4051, Alameda County, California",1754,35,1688,64,12,19
6001405200,"Census Tract 4052, Alameda County, California",2750,80,806,138,26,36
6001405300,"Census Tract 4053, Alameda County, California",3466,72,184,86,37,44
6001405400,"Census Tract 4054, Alameda County, California",3075,92,457,142,222,133
6001405500,"Census Tract 4055, Alameda County, California",1746,60,520,122,77,50
6001405600,"Census Tract 4056, Alameda County, California",1520,61,431,82,125,65
6001405700,"Census Tract 4057, Alameda County, California",1518,39,498,123,22,25
6001405800,"Census Tract 4058, Alameda County, California",1460,55,704,125,77,61
6001405900,"Census Tract 4059, Alameda County, California",2263,96,572,141,172,107
6001406000,"Census Tract 4060, Alameda County, California",1588,85,156,74,36,30
6001406100,"Census Tract 4061, Alameda County, California",1580,56,450,136,220,96
6001406201,"Census Tract 4062.01, Alameda County, California",1654,45,576,145,42,45
6001406202,"Census Tract 4062.02, Alameda County, California",1388,34,256,80,0,132
6001406300,"Census Tract 4063, Alameda County, California",1399,34,773,149,29,27
6001406400,"Census Tract 4064, Alameda County, California",765,24,387,63,0,132
6001406500,"Census Tract 4065, Alameda County, California",2140,45,1045,159,148,81
6001406600,"Census Tract 4066, Alameda County, California",2964,68,1265,212,93,69
6001406700,"Census Tract 4067, Alameda County, California",2405,46,1784,167,150,112
6001406800,"Census Tract 4068, Alameda County, California",1538,28,1103,111,125,85
6001406900,"Census Tract 4069, Alameda County, California",1654,34,1110,126,126,85
6001407000,"Census Tract 4070, Alameda County, California",2376,47,1019,159,60,43
6001407100,"Census Tract 4071, Alameda County, California",2565,73,1289,169,165,105
6001407200,"Census Tract 4072, Alameda County, California",1915,75,731,152,123,71
6001407300,"Census Tract 4073, Alameda County, California",825,37,434,85,46,44
6001407400,"Census Tract 4074, Alameda County, California",1259,48,467,90,46,48
6001407500,"Census Tract 4075, Alameda County, California",1459,57,481,103,97,78
6001407600,"Census Tract 4076, Alameda County, California",2432,53,1401,188,82,80
6001407700,"Census Tract 4077, Alameda County, California",1939,61,1629,114,11,20
6001407800,"Census Tract 4078, Alameda County, California",865,34,699,72,23,26
6001407900,"Census Tract 4079, Alameda County, California",1230,51,971,101,48,36
6001408000,"Census Tract 4080, Alameda County, California",1052,22,936,50,85,35
6001408100,"Census Tract 4081, Alameda County, California",2672,57,1701,157,170,82
6001408200,"Census Tract 4082, Alameda County, California",1961,37,1113,127,52,41
6001408300,"Census Tract 4083, Alameda County, California",1967,37,1608,109,0,132
6001408400,"Census Tract 4084, Alameda County, California",1438,38,1075,119,29,26
6001408500,"Census Tract 4085, Alameda County, California",1787,60,1177,149,104,85
6001408600,"Census Tract 4086, Alameda County, California",1941,59,1290,145,44,45
6001408700,"Census Tract 4087, Alameda County, California",2647,71,1595,221,97,64
6001408800,"Census Tract 4088, Alameda County, California",1699,99,896,174,175,89
6001408900,"Census Tract 4089, Alameda County, California",1117,58,611,102,12,20
6001409000,"Census Tract 4090, Alameda County, California",1108,51,948,99,21,34
6001409100,"Census Tract 4091, Alameda County, California",713,33,689,36,0,132
6001409200,"Census Tract 4092, Alameda County, California",886,50,692,74,34,31
6001409300,"Census Tract 4093, Alameda County, California",1823,63,1081,146,141,61
6001409400,"Census Tract 4094, Alameda County, California",1191,67,712,108,60,60
6001409500,"Census Tract 4095, Alameda County, California",983,62,648,99,71,54
6001409600,"Census Tract 4096, Alameda County, California",1679,67,1043,157,60,59
6001409700,"Census Tract 4097, Alameda County, California",1826,44,963,131,73,65
6001409800,"Census Tract 4098, Alameda County, California",1359,33,985,90,12,19
6001409900,"Census Tract 4099, Alameda County, California",1457,78,1161,95,168,64
6001410000,"Census Tract 4100, Alameda County, California",1253,34,1166,62,18,28
6001410100,"Census Tract 4101, Alameda County, California",1047,54,815,113,68,50
6001410200,"Census Tract 4102, Alameda County, California",1270,52,766,91,23,26
6001410300,"Census Tract 4103, Alameda County, California",1131,34,721,113,64,53
6001410400,"Census Tract 4104, Alameda County, California",1358,44,1003,101,101,79
6001420100,"Census Tract 4201, Alameda County, California",863,40,789,51,7,11
6001420200,"Census Tract 4202, Alameda County, California",1167,71,521,86,53,56
6001420300,"Census Tract 4203, Alameda County, California",1928,88,778,155,78,67
6001420400,"Census Tract 4204, Alameda County, California",717,94,23,21,60,41
6001420500,"Census Tract 4205, Alameda County, California",899,38,575,77,42,33
6001420600,"Census Tract 4206, Alameda County, California",1218,60,980,81,33,25
6001421100,"Census Tract 4211, Alameda County, California",776,38,756,47,0,132
6001421200,"Census Tract 4212, Alameda County, California",1374,55,1365,55,9,14
6001421300,"Census Tract 4213, Alameda County, California",1595,55,1389,87,0,132
6001421400,"Census Tract 4214, Alameda County, California",646,30,547,64,53,45
6001421500,"Census Tract 4215, Alameda County, California",1507,58,1393,70,10,15
6001421600,"Census Tract 4216, Alameda County, California",1603,58,1159,101,76,55
6001421700,"Census Tract 4217, Alameda County, California",1571,56,458,102,98,53
6001421800,"Census Tract 4218, Alameda County, California",862,33,571,83,89,56
6001421900,"Census Tract 4219, Alameda County, California",1697,58,1137,105,138,53
6001422000,"Census Tract 4220, Alameda County, California",537,68,173,60,38,35
6001422100,"Census Tract 4221, Alameda County, California",1088,40,515,113,55,48
6001422200,"Census Tract 4222, Alameda County, California",1544,54,655,96,97,49
6001422300,"Census Tract 4223, Alameda County, California",1589,71,533,108,62,39
6001422400,"Census Tract 4224, Alameda County, California",2039,90,191,71,80,50
6001422500,"Census Tract 4225, Alameda County, California",1531,78,207,57,68,43
6001422600,"Census Tract 4226, Alameda County, California",24,13,9,15,0,132
6001422700,"Census Tract 4227, Alameda County, California",1021,50,203,76,7,12
6001422800,"Census Tract 4228, Alameda County, California",1335,66,51,50,25,39
6001422900,"Census Tract 4229, Alameda County, California",1586,83,18,20,0,132
6001423000,"Census Tract 4230, Alameda County, California",1999,104,735,107,120,66
6001423100,"Census Tract 4231, Alameda County, California",1793,58,870,117,124,67
6001423200,"Census Tract 4232, Alameda County, California",1102,43,394,83,63,42
6001423300,"Census Tract 4233, Alameda County, California",1520,60,908,111,48,38
6001423400,"Census Tract 4234, Alameda County, California",1990,76,659,149,124,73
6001423500,"Census Tract 4235, Alameda County, California",1315,50,357,77,129,58
6001423601,"Census Tract 4236.01, Alameda County, California",1205,57,500,87,71,46
6001423602,"Census Tract 4236.02, Alameda County, California",2270,117,314,118,51,61
6001423700,"Census Tract 4237, Alameda County, California",1282,62,508,88,9,14
6001423800,"Census Tract 4238, Alameda County, California",1307,48,930,78,0,132
6001423901,"Census Tract 4239.01, Alameda County, California",853,35,331,73,8,12
6001423902,"Census Tract 4239.02, Alameda County, California",762,34,365,96,52,33
6001424001,"Census Tract 4240.01, Alameda County, California",1497,54,432,99,78,57
6001424002,"Census Tract 4240.02, Alameda County, California",816,51,365,81,27,28
6001425100,"Census Tract 4251, Alameda County, California",5729,389,329,122,326,107
6001426100,"Census Tract 4261, Alameda County, California",1990,91,1948,89,13,22
6001426200,"Census Tract 4262, Alameda County, California",1592,64,1488,90,16,18
6001427100,"Census Tract 4271, Alameda County, California",1432,42,1115,102,17,23
6001427200,"Census Tract 4272, Alameda County, California",1522,85,605,113,83,63
6001427300,"Census Tract 4273, Alameda County, California",2097,83,954,143,166,74
6001427400,"Census Tract 4274, Alameda County, California",736,24,201,68,231,78
6001427500,"Census Tract 4275, Alameda County, California",308,62,84,62,0,132
6001427600,"Census Tract 4276, Alameda County, California",1596,80,217,67,169,67
6001427700,"Census Tract 4277, Alameda County, California",2448,95,881,140,300,106
6001427800,"Census Tract 4278, Alameda County, California",2058,59,843,151,50,46
6001427900,"Census Tract 4279, Alameda County, California",2188,67,849,143,29,32
6001428000,"Census Tract 4280, Alameda County, California",1362,43,129,60,42,34
6001428100,"Census Tract 4281, Alameda County, California",2010,58,1098,166,111,68
6001428200,"Census Tract 4282, Alameda County, California",2610,100,1282,138,293,91
6001428301,"Census Tract 4283.01, Alameda County, California",2378,63,1249,142,1068,140
6001428302,"Census Tract 4283.02, Alameda County, California",2565,70,1935,111,508,96
6001428400,"Census Tract 4284, Alameda County, California",1961,47,475,109,44,30
6001428500,"Census Tract 4285, Alameda County, California",1470,41,432,95,57,38
6001428600,"Census Tract 4286, Alameda County, California",1524,60,460,78,95,58
6001430100,"Census Tract 4301, Alameda County, California",3131,68,2366,133,567,105
6001430200,"Census Tract 4302, Alameda County, California",2388,79,2336,89,21,30
6001430300,"Census Tract 4303, Alameda County, California",1301,31,1283,39,12,20
6001430400,"Census Tract 4304, Alameda County, California",747,20,711,38,25,24
6001430500,"Census Tract 4305, Alameda County, California",2078,49,1408,152,45,37
6001430600,"Census Tract 4306, Alameda County, California",2129,46,1944,94,89,95
6001430700,"Census Tract 4307, Alameda County, California",1376,28,1243,66,22,26
6001430800,"Census Tract 4308, Alameda County, California",2135,51,1634,129,135,54
6001430900,"Census Tract 4309, Alameda County, California",1851,65,267,84,230,85
6001431000,"Census Tract 4310, Alameda County, California",1174,46,500,92,71,44
6001431100,"Census Tract 4311, Alameda County, California",1342,39,504,107,130,53
6001431200,"Census Tract 4312, Alameda County, California",2674,49,1218,171,212,104
6001432100,"Census Tract 4321, Alameda County, California",1305,37,1144,60,32,30
6001432200,"Census Tract 4322, Alameda County, California",1515,59,754,89,93,58
6001432300,"Census Tract 4323, Alameda County, California",1407,54,1070,86,72,49
6001432400,"Census Tract 4324, Alameda County, California",1697,52,1234,106,59,32
6001432500,"Census Tract 4325, Alameda County, California",2634,72,1893,171,95,62
6001432600,"Census Tract 4326, Alameda County, California",2754,75,689,184,170,101
6001432700,"Census Tract 4327, Alameda County, California",996,32,779,71,59,56
6001432800,"Census Tract 4328, Alameda County, California",1363,49,1247,72,52,54
6001433000,"Census Tract 4330, Alameda County, California",1304,32,1149,75,84,48
6001433101,"Census Tract 4331.01, Alameda County, California",2960,97,477,135,272,83
6001433102,"Census Tract 4331.02, Alameda County, California",1202,34,757,114,59,36
6001433200,"Census Tract 4332, Alameda County, California",2472,64,987,116,75,52
6001433300,"Census Tract 4333, Alameda County, California",1971,59,1725,98,110,69
6001433400,"Census Tract 4334, Alameda County, California",2127,52,1149,128,310,94
6001433500,"Census Tract 4335, Alameda County, California",1287,35,1176,56,16,19
6001433600,"Census Tract 4336, Alameda County, California",1964,52,1221,136,21,20
6001433700,"Census Tract 4337, Alameda County, California",1032,35,453,98,155,93
6001433800,"Census Tract 4338, Alameda County, California",2489,51,1412,159,161,81
6001433900,"Census Tract 4339, Alameda County, California",2187,66,553,137,48,63
6001434000,"Census Tract 4340, Alameda County, California",1703,39,741,110,107,53
6001435101,"Census Tract 4351.01, Alameda County, California",4132,71,2141,165,207,90
6001435102,"Census Tract 4351.02, Alameda County, California",1772,133,1086,110,167,70
6001435200,"Census Tract 4352, Alameda County, California",1411,33,1282,82,100,68
6001435300,"Census Tract 4353, Alameda County, California",1740,53,890,144,164,75
6001435400,"Census Tract 4354, Alameda County, California",2176,76,493,134,382,98
6001435500,"Census Tract 4355, Alameda County, California",1542,42,661,124,89,55
6001435600,"Census Tract 4356, Alameda County, California",3209,78,1684,226,748,184
6001435700,"Census Tract 4357, Alameda County, California",1501,31,1163,113,32,23
6001435800,"Census Tract 4358, Alameda County, California",1619,34,1531,69,56,56
6001435900,"Census Tract 4359, Alameda County, California",1599,56,1378,98,177,85
6001436000,"Census Tract 4360, Alameda County, California",1421,43,1398,53,11,18
6001436100,"Census Tract 4361, Alameda County, California",1726,59,1133,120,66,51
6001436200,"Census Tract 4362, Alameda County, California",1089,93,323,81,207,66
6001436300,"Census Tract 4363, Alameda County, California",2066,83,921,130,290,91
6001436401,"Census Tract 4364.01, Alameda County, California",2969,80,1712,156,354,134
6001436402,"Census Tract 4364.02, Alameda County, California",1098,26,1076,37,22,24
6001436500,"Census Tract 4365, Alameda County, California",1852,60,626,129,140,59
6001436601,"Census Tract 4366.01, Alameda County, California",2026,60,1226,168,100,48
6001436602,"Census Tract 4366.02, Alameda County, California",1707,50,435,91,67,38
6001436700,"Census Tract 4367, Alameda County, California",1104,56,780,116,75,68
6001436800,"Census Tract 4368, Alameda County, California",1405,42,691,107,266,101
6001436900,"Census Tract 4369, Alameda County, California",1965,47,1087,125,78,52
6001437000,"Census Tract 4370, Alameda County, California",1264,58,758,113,65,64
6001437100,"Census Tract 4371, Alameda County, California",3299,89,2080,213,641,173
6001437200,"Census Tract 4372, Alameda County, California",2291,74,1233,143,114,75
6001437300,"Census Tract 4373, Alameda County, California",898,84,590,100,24,22
6001437400,"Census Tract 4374, Alameda County, California",973,27,973,27,0,132
6001437500,"Census Tract 4375, Alameda County, California",1211,67,304,94,104,57
6001437600,"Census Tract 4376, Alameda County, California",949,30,575,80,37,37
6001437700,"Census Tract 4377, Alameda County, California",2260,87,387,141,264,102
6001437800,"Census Tract 4378, Alameda County, California",1369,36,986,115,144,80
6001437900,"Census Tract 4379, Alameda County, California",742,26,467,98,57,45
6001438000,"Census Tract 4380, Alameda County, California",1126,35,810,90,13,22
6001438100,"Census Tract 4381, Alameda County, California",2163,60,2029,98,18,28
6001438201,"Census Tract 4382.01, Alameda County, California",1234,50,753,126,68,81
6001438202,"Census Tract 4382.02, Alameda County, California",3230,73,1684,158,189,94
6001438300,"Census Tract 4383, Alameda County, California",980,33,941,49,24,26
6001438400,"Census Tract 4384, Alameda County, California",754,19,585,54,0,132
6001440100,"Census Tract 4401, Alameda County, California",815,32,405,70,181,87
6001440200,"Census Tract 4402, Alameda County, California",1604,93,1110,124,270,101
6001440301,"Census Tract 4403.01, Alameda County, California",2331,100,1659,202,48,45
6001440302,"Census Tract 4403.02, Alameda County, California",2072,74,1888,100,134,73
6001440304,"Census Tract 4403.04, Alameda County, California",1439,54,762,126,525,131
6001440305,"Census Tract 4403.05, Alameda County, California",1086,53,1073,56,0,132
6001440306,"Census Tract 4403.06, Alameda County, California",1068,52,392,98,560,126
6001440307,"Census Tract 4403.07, Alameda County, California",1705,82,564,86,151,56
6001440308,"Census Tract 4403.08, Alameda County, California",2106,84,1177,184,130,70
6001440309,"Census Tract 4403.09, Alameda County, California",3284,110,2031,170,296,130
6001440331,"Census Tract 4403.31, Alameda County, California",944,78,449,97,163,72
6001440332,"Census Tract 4403.32, Alameda County, California",948,36,907,52,19,22
6001441100,"Census Tract 4411, Alameda County, California",1582,53,1255,96,33,29
6001441200,"Census Tract 4412, Alameda County, California",2513,57,1617,149,396,118
6001441301,"Census Tract 4413.01, Alameda County, California",1143,32,637,74,16,19
6001441302,"Census Tract 4413.02, Alameda County, California",1791,45,1535,89,8,12
6001441401,"Census Tract 4414.01, Alameda County, California",2305,52,1256,146,503,120
6001441402,"Census Tract 4414.02, Alameda County, California",1661,38,1292,85,224,71
6001441501,"Census Tract 4415.01, Alameda County, California",1770,65,1600,108,120,74
6001441503,"Census Tract 4415.03, Alameda County, California",4005,95,1457,208,1491,245
6001441521,"Census Tract 4415.21, Alameda County, California",1766,42,1497,80,86,36
6001441522,"Census Tract 4415.22, Alameda County, California",1405,42,1129,88,276,77
6001441601,"Census Tract 4416.01, Alameda County, California",1417,35,1196,75,131,53
6001441602,"Census Tract 4416.02, Alameda County, California",2223,51,1226,163,180,94
6001441700,"Census Tract 4417, Alameda County, California",2585,47,925,145,558,177
6001441800,"Census Tract 4418, Alameda County, California",2318,51,903,152,649,147
6001441901,"Census Tract 4419.01, Alameda County, California",5321,131,988,180,992,175
6001441921,"Census Tract 4419.21, Alameda County, California",1264,39,557,98,10,15
6001441922,"Census Tract 4419.22, Alameda County, California",3174,76,248,93,544,164
6001441923,"Census Tract 4419.23, Alameda County, California",2158,95,74,62,112,80
6001442000,"Census Tract 4420, Alameda County, California",981,28,963,32,18,20
6001442100,"Census Tract 4421, Alameda County, California",1588,38,1250,93,278,89
6001442200,"Census Tract 4422, Alameda County, California",2100,64,1827,104,160,83
6001442300,"Census Tract 4423, Alameda County, California",3053,76,1229,171,387,133
6001442400,"Census Tract 4424, Alameda County, California",1825,43,1445,88,30,29
6001442500,"Census Tract 4425, Alameda County, California",2172,75,1478,131,145,79
6001442600,"Census Tract 4426, Alameda County, California",2935,64,1986,151,198,101
6001442700,"Census Tract 4427, Alameda County, California",1046,34,805,57,24,29
6001442800,"Census Tract 4428, Alameda County, California",921,21,761,86,120,93
6001442900,"Census Tract 4429, Alameda County, California",2328,49,1752,147,117,65
6001443001,"Census Tract 4430.01, Alameda County, California",807,21,796,28,0,132
6001443002,"Census Tract 4430.02, Alameda County, California",1756,78,1131,106,202,84
6001443101,"Census Tract 4431.01, Alameda County, California",2984,83,2222,158,538,130
6001443102,"Census Tract 4431.02, Alameda County, California",1430,44,1411,49,9,14
6001443103,"Census Tract 4431.03, Alameda County, California",1123,27,962,69,161,66
6001443200,"Census Tract 4432, Alameda County, California",1090,47,1078,47,0,132
6001443301,"Census Tract 4433.01, Alameda County, California",1193,32,1161,50,0,132
6001443302,"Census Tract 4433.02, Alameda County, California",2159,53,1056,128,253,82
6001444100,"Census Tract 4441, Alameda County, California",2553,78,2246,114,144,77
6001444200,"Census Tract 4442, Alameda County, California",1979,67,1423,119,367,104
6001444300,"Census Tract 4443, Alameda County, California",2493,96,1885,158,117,82
6001444400,"Census Tract 4444, Alameda County, California",1515,48,1013,114,200,69
6001444500,"Census Tract 4445, Alameda County, California",2042,67,1027,131,258,112
6001444600,"Census Tract 4446, Alameda County, California",3084,104,1885,195,505,165
6001450100,"Census Tract 4501, Alameda County, California",2842,106,1158,107,231,55
6001450200,"Census Tract 4502, Alameda County, California",2264,85,465,92,285,91
6001450300,"Census Tract 4503, Alameda County, California",1867,69,1228,113,179,60
6001450400,"Census Tract 4504, Alameda County, California",2011,65,1646,115,124,78
6001450500,"Census Tract 4505, Alameda County, California",2685,83,1902,144,428,129
6001450601,"Census Tract 4506.01, Alameda County, California",1277,36,1054,71,40,29
6001450602,"Census Tract 4506.02, Alameda County, California",3254,76,1740,119,489,102
6001450603,"Census Tract 4506.03, Alameda County, California",1432,35,1418,38,0,132
6001450604,"Census Tract 4506.04, Alameda County, California",1616,40,1342,70,49,37
6001450605,"Census Tract 4506.05, Alameda County, California",1255,93,845,85,182,62
6001450606,"Census Tract 4506.06, Alameda County, California",1844,58,1680,74,90,36
6001450607,"Census Tract 4506.07, Alameda County, California",1915,77,568,98,110,53
6001450701,"Census Tract 4507.01, Alameda County, California",2464,73,2184,97,142,70
6001450703,"Census Tract 4507.03, Alameda County, California",2763,91,1970,166,487,103
6001450721,"Census Tract 4507.21, Alameda County, California",2819,169,1485,169,717,212
6001450722,"Census Tract 4507.22, Alameda County, California",3774,119,1454,153,622,151
6001450741,"Census Tract 4507.41, Alameda County, California",1706,41,1008,83,112,48
6001450742,"Census Tract 4507.42, Alameda County, California",1670,68,901,65,259,75
6001451101,"Census Tract 4511.01, Alameda County, California",2336,72,1781,123,195,85
6001451102,"Census Tract 4511.02, Alameda County, California",1286,59,1261,66,4,7
6001451201,"Census Tract 4512.01, Alameda County, California",2592,63,1377,157,589,143
6001451202,"Census Tract 4512.02, Alameda County, California",1186,36,1108,72,24,27
6001451300,"Census Tract 4513, Alameda County, California",2367,56,1878,117,124,82
6001451401,"Census Tract 4514.01, Alameda County, California",2200,56,1139,136,223,98
6001451402,"Census Tract 4514.02, Alameda County, California",2937,79,2113,186,335,113
6001451501,"Census Tract 4515.01, Alameda County, California",1745,43,1277,78,51,33
6001451502,"Census Tract 4515.02, Alameda County, California",2780,82,1947,147,236,85
6001451503,"Census Tract 4515.03, Alameda County, California",2096,67,1587,112,49,31
6001451601,"Census Tract 4516.01, Alameda County, California",1721,45,1220,115,188,76
6001451602,"Census Tract 4516.02, Alameda County, California",2623,94,1539,136,196,103
6001451701,"Census Tract 4517.01, Alameda County, California",1053,33,1032,41,0,132
6001451702,"Census Tract 4517.02, Alameda County, California",2957,72,2585,110,30,37
6003010000,"Census Tract 100, Alpine County, California",1752,54,1012,76,22,18
6005000100,"Census Tract 1, Amador County, California",4231,195,4022,204,42,51
6005000200,"Census Tract 2, Amador County, California",2414,115,2097,149,26,28
6005000301,"Census Tract 3.01, Amador County, California",734,50,584,82,11,18
6005000302,"Census Tract 3.02, Amador County, California",3771,214,2900,235,70,66
6005000401,"Census Tract 4.01, Amador County, California",2424,175,1507,166,131,72
6005000402,"Census Tract 4.02, Amador County, California",2221,136,1955,158,9,14
6005000500,"Census Tract 5, Amador County, California",1443,157,1193,159,97,80
6007000101,"Census Tract 1.01, Butte County, California",3317,139,2304,202,76,50
6007000102,"Census Tract 1.02, Butte County, California",1611,93,1224,120,46,53
6007000201,"Census Tract 2.01, Butte County, California",1732,102,562,94,91,50
6007000202,"Census Tract 2.02, Butte County, California",1874,71,624,111,90,52
6007000300,"Census Tract 3, Butte County, California",1790,112,489,98,91,56
6007000400,"Census Tract 4, Butte County, California",3626,84,2341,240,289,139
6007000501,"Census Tract 5.01, Butte County, California",1603,125,951,108,173,106
6007000502,"Census Tract 5.02, Butte County, California",2187,148,432,111,66,49
6007000601,"Census Tract 6.01, Butte County, California",1372,77,1121,145,47,35
6007000603,"Census Tract 6.03, Butte County, California",1163,87,682,132,21,18
6007000604,"Census Tract 6.04, Butte County, California",1862,125,352,110,56,30
6007000700,"Census Tract 7, Butte County, California",2510,137,1453,160,96,78
6007000800,"Census Tract 8, Butte County, California",2267,135,1770,140,176,92
6007000900,"Census Tract 9, Butte County, California",6075,229,3313,209,177,66
6007001000,"Census Tract 10, Butte County, California",2373,142,1117,195,157,80
6007001100,"Census Tract 11, Butte County, California",2038,105,727,98,66,72
6007001200,"Census Tract 12, Butte County, California",1576,83,858,135,93,77
6007001300,"Census Tract 13, Butte County, California",1557,87,913,133,105,59
6007001400,"Census Tract 14, Butte County, California",2149,122,1706,165,0,132
6007001500,"Census Tract 15, Butte County, California",2239,94,1829,148,96,65
6007001600,"Census Tract 16, Butte County, California",2616,146,2261,161,19,23
6007001701,"Census Tract 17.01, Butte County, California",2902,149,1772,250,14,22
6007001702,"Census Tract 17.02, Butte County, California",2747,128,1622,211,42,52
6007001800,"Census Tract 18, Butte County, California",2858,160,1802,185,50,36
6007001900,"Census Tract 19, Butte County, California",1676,92,1310,116,5,9
6007002000,"Census Tract 20, Butte County, California",2578,123,1927,170,46,40
6007002100,"Census Tract 21, Butte County, California",2338,121,1559,169,131,62
6007002200,"Census Tract 22, Butte County, California",2634,93,2066,165,76,58
6007002300,"Census Tract 23, Butte County, California",2616,113,1598,158,41,40
6007002400,"Census Tract 24, Butte County, California",2753,137,1669,165,67,51
6007002500,"Census Tract 25, Butte County, California",1543,122,828,137,77,52
6007002600,"Census Tract 26, Butte County, California",3033,100,1922,194,29,32
6007002700,"Census Tract 27, Butte County, California",2139,191,1575,186,32,33
6007002800,"Census Tract 28, Butte County, California",1971,177,771,142,80,45
6007002900,"Census Tract 29, Butte County, California",2888,143,1875,226,57,48
6007003000,"Census Tract 30, Butte County, California",2483,127,1835,179,51,59
6007003100,"Census Tract 31, Butte County, California",1801,86,1486,124,52,48
6007003200,"Census Tract 32, Butte County, California",1651,91,706,129,17,22
6007003300,"Census Tract 33, Butte County, California",1711,106,992,124,8,10
6007003400,"Census Tract 34, Butte County, California",1096,68,761,88,126,75
6007003500,"Census Tract 35, Butte County, California",2548,268,2185,265,54,40
6007003600,"Census Tract 36, Butte County, California",1240,177,1036,183,47,30
6009000110,"Census Tract 1.10, Calaveras County, California",4467,358,3247,311,133,98
6009000120,"Census Tract 1.20, Calaveras County, California",2430,121,2003,164,69,81
6009000210,"Census Tract 2.10, Calaveras County, California",3856,168,3493,212,12,19
6009000220,"Census Tract 2.20, Calaveras County, California",2370,123,2293,121,0,132
6009000300,"Census Tract 3, Calaveras County, California",3291,153,2612,213,34,37
6009000400,"Census Tract 4, Calaveras County, California",2477,151,2165,199,0,132
6009000500,"Census Tract 5, Calaveras County, California",8014,170,7757,232,58,72
