Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6001405700,"Census Tract 4057, Alameda County, California",1518,39
6001405800,"Census Tract 4058, Alameda County, California",1460,55
6001405900,"Census Tract 4059, Alameda County, California",2263,96
6001406000,"Census Tract 4060, Alameda County, California",1588,85
6001406100,"Census Tract 4061, Alameda County, California",1580,56
6001406201,"Census Tract 4062.01, Alameda County, California",1654,45
6001406202,"Census Tract 4062.02, Alameda County, California",1388,34
6001406300,"Census Tract 4063, Alameda County, California",1399,34
6001406400,"Census Tract 4064, Alameda County, California",765,24
6001406500,"Census Tract 4065, Alameda County, California",2140,45
6001406600,"Census Tract 4066, Alameda County, California",2964,68
6001406700,"Census Tract 4067, Alameda County, California",2405,46
6001406800,"Census Tract 4068, Alameda County, California",1538,28
6001406900,"Census Tract 4069, Alameda County, California",1654,34
6001407000,"Census Tract 4070, Alameda County, California",2376,47
6001407100,"Census Tract 4071, Alameda County, California",2565,73
6001407200,"Census Tract 4072, Alameda County, California",1915,75
6001407300,"Census Tract 4073, Alameda County, California",825,37
6001407400,"Census Tract 4074, Alameda County, California",1259,48
6001407500,"Census Tract 4075, Alameda County, California",1459,57
6001407600,"Census Tract 4076, Alameda County, California",2432,53
6001407700,"Census Tract 4077, Alameda County, California",1939,61
6001407800,"Census Tract 4078, Alameda County, California",865,34
6001407900,"Census Tract 4079, Alameda County, California",1230,51
6001408000,"Census Tract 4080, Alameda County, California",1052,22
6001408100,"Census Tract 4081, Alameda County, California",2672,57
6001408200,"Census Tract 4082, Alameda County, California",1961,37
6001408300,"Census Tract 4083, Alameda County, California",1967,37
6001408400,"Census Tract 4084, Alameda County, California",1438,38
6001408500,"Census Tract 4085, Alameda County, California",1787,60
6001408600,"Census Tract 4086, Alameda County, California",1941,59
6001408700,"Census Tract 4087, Alameda County, California",2647,71
6001408800,"Census Tract 4088, Alameda County, California",1699,99
6001408900,"Census Tract 4089, Alameda County, California",1117,58
6001409000,"Census Tract 4090, Alameda County, California",1108,51
6001409100,"Census Tract 4091, Alameda County, California",713,33
6001409200,"Census Tract 4092, Alameda County, California",886,50
6001409300,"Census Tract 4093, Alameda County, California",1823,63
6001409400,"Census Tract 4094, Alameda County, California",1191,67
6001409500,"Census Tract 4095, Alameda County, California",983,62
6001409600,"Census Tract 4096, Alameda County, California",1679,67
6001409700,"Census Tract 4097, Alameda County, California",1826,44
6001409800,"Census Tract 4098, Alameda County, California",1359,33
6001409900,"Census Tract 4099, Alameda County, California",1457,78
6001410000,"Census Tract 4100, Alameda County, California",1253,34
6001410100,"Census Tract 4101, Alameda County, California",1047,54
6001410200,"Census Tract 4102, Alameda County, California",1270,52
6001410300,"Census Tract 4103, Alameda County, California",1131,34
6001410400,"Census Tract 4104, Alameda County, California",1358,44
6001420100,"Census Tract 4201, Alameda County, California",863,40
6001420200,"Census Tract 4202, Alameda County, California",1167,71
6001420300,"Census Tract 4203, Alameda County, California",1928,88
6001420400,"Census Tract 4204, Alameda County, California",717,94
6001420500,"Census Tract 4205, Alameda County, California",899,38
6001420600,"Census Tract 4206, Alameda County, California",1218,60
6001421100,"Census Tract 4211, Alameda County, California",776,38
6001421200,"Census Tract 4212, Alameda County, California",1374,55
6001421300,"Census Tract 4213, Alameda County, California",1595,55
6001421400,"Census Tract 4214, Alameda County, California",646,30
6001421500,"Census Tract 4215, Alameda County, California",1507,58
6001421600,"Census Tract 4216, Alameda County, California",1603,58
6001421700,"Census Tract 4217, Alameda County, California",1571,56
6001421800,"Census Tract 4218, Alameda County, California",862,33
6001421900,"Census Tract 4219, Alameda County, California",1697,58
6001422000,"Census Tract 4220, Alameda County, California",537,68
6001422100,"Census Tract 4221, Alameda County, California",1088,40
6001422200,"Census Tract 4222, Alameda County, California",1544,54
6001422300,"Census Tract 4223, Alameda County, California",1589,71
6001422400,"Census Tract 4224, Alameda County, California",2039,90
6001422500,"Census Tract 4225, Alameda County, California",1531,78
6001422600,"Census Tract 4226, Alameda County, California",24,13
6001422700,"Census Tract 4227, Alameda County, California",1021,50
6001422800,"Census Tract 4228, Alameda County, California",1335,66
6001422900,"Census Tract 4229, Alameda County, California",1586,83
6001423000,"Census Tract 4230, Alameda County, California",1999,104
6001423100,"Census Tract 4231, Alameda County, California",1793,58
6001423200,"Census Tract 4232, Alameda County, California",1102,43
6001423300,"Census Tract 4233, Alameda County, California",1520,60
6001423400,"Census Tract 4234, Alameda County, California",1990,76
6001423500,"Census Tract 4235, Alameda County, California",1315,50
6001423601,"Census Tract 4236.01, Alameda County, California",1205,57
6001423602,"Census Tract 4236.02, Alameda County, California",2270,117
6001423700,"Census Tract 4237, Alameda County, California",1282,62
6001423800,"Census Tract 4238, Alameda County, California",1307,48
6001423901,"Census Tract 4239.01, Alameda County, California",853,35
6001423902,"Census Tract 4239.02, Alameda County, California",762,34
6001424001,"Census Tract 4240.01, Alameda County, California",1497,54
6001424002,"Census Tract 4240.02, Alameda County, California",816,51
6001425100,"Census Tract 4251, Alameda County, California",5729,389
6001426100,"Census Tract 4261, Alameda County, California",1990,91
6001426200,"Census Tract 4262, Alameda County, California",1592,64
6001427100,"Census Tract 4271, Alameda County, California",1432,42
6001427200,"Census Tract 4272, Alameda County, California",1522,85
6001427300,"Census Tract 4273, Alameda County, California",2097,83
6001427400,"Census Tract 4274, Alameda County, California",736,24
6001427500,"Census Tract 4275, Alameda County, California",308,62
6001427600,"Census Tract 4276, Alameda County, California",1596,80
6001427700,"Census Tract 4277, Alameda County, California",2448,95
6001427800,"Census Tract 4278, Alameda County, California",2058,59
6001427900,"Census Tract 4279, Alameda County, California",2188,67
6001428000,"Census Tract 4280, Alameda County, California",1362,43
6001428100,"Census Tract 4281, Alameda County, California",2010,58
6001428200,"Census Tract 4282, Alameda County, California",2610,100
6001428301,"Census Tract 4283.01, Alameda County, California",2378,63
6001428302,"Census Tract 4283.02, Alameda County, California",2565,70
6001428400,"Census Tract 4284, Alameda County, California",1961,47
6001428500,"Census Tract 4285, Alameda County, California",1470,41
6001428600,"Census Tract 4286, Alameda County, California",1524,60
6001430100,"Census Tract 4301, Alameda County, California",3131,68
6001430200,"Census Tract 4302, Alameda County, California",2388,79
6001430300,"Census Tract 4303, Alameda County, California",1301,31
6001430400,"Census Tract 4304, Alameda County, California",747,20
6001430500,"Census Tract 4305, Alameda County, California",2078,49
6001430600,"Census Tract 4306, Alameda County, California",2129,46
6001430700,"Census Tract 4307, Alameda County, California",1376,28
6001430800,"Census Tract 4308, Alameda County, California",2135,51
6001430900,"Census Tract 4309, Alameda County, California",1851,65
6001431000,"Census Tract 4310, Alameda County, California",1174,46
6001431100,"Census Tract 4311, Alameda County, California",1342,39
6001431200,"Census Tract 4312, Alameda County, California",2674,49
6001432100,"Census Tract 4321, Alameda County, California",1305,37
6001432200,"Census Tract 4322, Alameda County, California",1515,59
6001432300,"Census Tract 4323, Alameda County, California",1407,54
6001432400,"Census Tract 4324, Alameda County, California",1697,52
6001432500,"Census Tract 4325, Alameda County, California",2634,72
6001432600,"Census Tract 4326, Alameda County, California",2754,75
6001432700,"Census Tract 4327, Alameda County, California",996,32
6001432800,"Census Tract 4328, Alameda County, California",1363,49
6001433000,"Census Tract 4330, Alameda County, California",1304,32
6001433101,"Census Tract 4331.01, Alameda County, California",2960,97
6001433102,"Census Tract 4331.02, Alameda County, California",1202,34
6001433200,"Census Tract 4332, Alameda County, California",2472,64
6001433300,"Census Tract 4333, Alameda County, California",1971,59
6001433400,"Census Tract 4334, Alameda County, California",2127,52
6001433500,"Census Tract 4335, Alameda County, California",1287,35
6001433600,"Census Tract 4336, Alameda County, California",1964,52
6001433700,"Census Tract 4337, Alameda County, California",1032,35
6001433800,"Census Tract 4338, Alameda County, California",2489,51
6001433900,"Census Tract 4339, Alameda County, California",2187,66
6001434000,"Census Tract 4340, Alameda County, California",1703,39
6001435101,"Census Tract 4351.01, Alameda County, California",4132,71
6001435102,"Census Tract 4351.02, Alameda County, California",1772,133
6001435200,"Census Tract 4352, Alameda County, California",1411,33
6001435300,"Census Tract 4353, Alameda County, California",1740,53
6001435400,"Census Tract 4354, Alameda County, California",2176,76
6001435500,"Census Tract 4355, Alameda County, California",1542,42
6001435600,"Census Tract 4356, Alameda County, California",3209,78
6001435700,"Census Tract 4357, Alameda County, California",1501,31
6001435800,"Census Tract 4358, Alameda County, California",1619,34
6001435900,"Census Tract 4359, Alameda County, California",1599,56
6001436000,"Census Tract 4360, Alameda County, California",1421,43
6001436100,"Census Tract 4361, Alameda County, California",1726,59
6001436200,"Census Tract 4362, Alameda County, California",1089,93
6001436300,"Census Tract 4363, Alameda County, California",2066,83
6001436401,"Census Tract 4364.01, Alameda County, California",2969,80
6001436402,"Census Tract 4364.02, Alameda County, California",1098,26
6001436500,"Census Tract 4365, Alameda County, California",1852,60
6001436601,"Census Tract 4366.01, Alameda County, California",2026,60
6001436602,"Census Tract 4366.02, Alameda County, California",1707,50
6001436700,"Census Tract 4367, Alameda County, California",1104,56
6001436800,"Census Tract 4368, Alameda County, California",1405,42
6001436900,"Census Tract 4369, Alameda County, California",1965,47
6001437000,"Census Tract 4370, Alameda County, California",1264,58
6001437100,"Census Tract 4371, Alameda County, California",3299,89
6001437200,"Census Tract 4372, Alameda County, California",2291,74
6001437300,"Census Tract 4373, Alameda County, California",898,84
6001437400,"Census Tract 4374, Alameda County, California",973,27
6001437500,"Census Tract 4375, Alameda County, California",1211,67
6001437600,"Census Tract 4376, Alameda County, California",949,30
6001437700,"Census Tract 4377, Alameda County, California",2260,87
6001437800,"Census Tract 4378, Alameda County, California",1369,36
6001437900,"Census Tract 4379, Alameda County, California",742,26
6001438000,"Census Tract 4380, Alameda County, California",1126,35
6001438100,"Census Tract 4381, Alameda County, California",2163,60
6001438201,"Census Tract 4382.01, Alameda County, California",1234,50
6001438202,"Census Tract 4382.02, Alameda County, California",3230,73
6001438300,"Census Tract 4383, Alameda County, California",980,33
6001438400,"Census Tract 4384, Alameda County, California",754,19
6001440100,"Census Tract 4401, Alameda County, California",815,32
6001440200,"Census Tract 4402, Alameda County, California",1604,93
6001440301,"Census Tract 4403.01, Alameda County, California",2331,100
6001440302,"Census Tract 4403.02, Alameda County, California",2072,74
6001440304,"Census Tract 4403.04, Alameda County, California",1439,54
6001440305,"Census Tract 4403.05, Alameda County, California",1086,53
6001440306,"Census Tract 4403.06, Alameda County, California",1068,52
6001440307,"Census Tract 4403.07, Alameda County, California",1705,82
6001440308,"Census Tract 4403.08, Alameda County, California",2106,84
6001440309,"Census Tract 4403.09, Alameda County, California",3284,110
6001440331,"Census Tract 4403.31, Alameda County, California",944,78
6001440332,"Census Tract 4403.32, Alameda County, California",948,36
6001441100,"Census Tract 4411, Alameda County, California",1582,53
6001441200,"Census Tract 4412, Alameda County, California",2513,57
6001441301,"Census Tract 4413.01, Alameda County, California",1143,32
6001441302,"Census Tract 4413.02, Alameda County, California",1791,45
6001441401,"Census Tract 4414.01, Alameda County, California",2305,52
6001441402,"Census Tract 4414.02, Alameda County, California",1661,38
6001441501,"Census Tract 4415.01, Alameda County, California",1770,65
6001441503,"Census Tract 4415.03, Alameda County, California",4005,95
6001441521,"Census Tract 4415.21, Alameda County, California",1766,42
6001441522,"Census Tract 4415.22, Alameda County, California",1405,42
6001441601,"Census Tract 4416.01, Alameda County, California",1417,35
6001441602,"Census Tract 4416.02, Alameda County, California",2223,51
6001441700,"Census Tract 4417, Alameda County, California",2585,47
6001441800,"Census Tract 4418, Alameda County, California",2318,51
6001441901,"Census Tract 4419.01, Alameda County, California",5321,131
6001441921,"Census Tract 4419.21, Alameda County, California",1264,39
6001441922,"Census Tract 4419.22, Alameda County, California",3174,76
6001441923,"Census Tract 4419.23, Alameda County, California",2158,95
6001442000,"Census Tract 4420, Alameda County, California",981,28
6001442100,"Census Tract 4421, Alameda County, California",1588,38
6001442200,"Census Tract 4422, Alameda County, California",2100,64
6001442300,"Census Tract 4423, Alameda County, California",3053,76
6001442400,"Census Tract 4424, Alameda County, California",1825,43
6001442500,"Census Tract 4425, Alameda County, California",2172,75
6001442600,"Census Tract 4426, Alameda County, California",2935,64
6001442700,"Census Tract 4427, Alameda County, California",1046,34
6001442800,"Census Tract 4428, Alameda County, California",921,21
6001442900,"Census Tract 4429, Alameda County, California",2328,49
6001443001,"Census Tract 4430.01, Alameda County, California",807,21
6001443002,"Census Tract 4430.02, Alameda County, California",1756,78
6001443101,"Census Tract 4431.01, Alameda County, California",2984,83
6001443102,"Census Tract 4431.02, Alameda County, California",1430,44
6001443103,"Census Tract 4431.03, Alameda County, California",1123,27
6001443200,"Census Tract 4432, Alameda County, California",1090,47
6001443301,"Census Tract 4433.01, Alameda County, California",1193,32
6001443302,"Census Tract 4433.02, Alameda County, California",2159,53
6001444100,"Census Tract 4441, Alameda County, California",2553,78
6001444200,"Census Tract 4442, Alameda County, California",1979,67
6001444300,"Census Tract 4443, Alameda County, California",2493,96
6001444400,"Census Tract 4444, Alameda County, California",1515,48
6001444500,"Census Tract 4445, Alameda County, California",2042,67
6001444600,"Census Tract 4446, Alameda County, California",3084,104
6001450100,"Census Tract 4501, Alameda County, California",2842,106
6001450200,"Census Tract 4502, Alameda County, California",2264,85
6001450300,"Census Tract 4503, Alameda County, California",1867,69
6001450400,"Census Tract 4504, Alameda County, California",2011,65
6001450500,"Census Tract 4505, Alameda County, California",2685,83
6001450601,"Census Tract 4506.01, Alameda County, California",1277,36
6001450602,"Census Tract 4506.02, Alameda County, California",3254,76
6001450603,"Census Tract 4506.03, Alameda County, California",1432,35
6001450604,"Census Tract 4506.04, Alameda County, California",1616,40
6001450605,"Census Tract 4506.05, Alameda County, California",1255,93
6001450606,"Census Tract 4506.06, Alameda County, California",1844,58
6001450607,"Census Tract 4506.07, Alameda County, California",1915,77
6001450701,"Census Tract 4507.01, Alameda County, California",2464,73
6001450703,"Census Tract 4507.03, Alameda County, California",2763,91
6001450721,"Census Tract 4507.21, Alameda County, California",2819,169
6001450722,"Census Tract 4507.22, Alameda County, California",3774,119
6001450741,"Census Tract 4507.41, Alameda County, California",1706,41
6001450742,"Census Tract 4507.42, Alameda County, California",1670,68
6001451101,"Census Tract 4511.01, Alameda County, California",2336,72
6001451102,"Census Tract 4511.02, Alameda County, California",1286,59
6001451201,"Census Tract 4512.01, Alameda County, California",2592,63
6001451202,"Census Tract 4512.02, Alameda County, California",1186,36
6001451300,"Census Tract 4513, Alameda County, California",2367,56
6001451401,"Census Tract 4514.01, Alameda County, California",2200,56
6001451402,"Census Tract 4514.02, Alameda County, California",2937,79
6001451501,"Census Tract 4515.01, Alameda County, California",1745,43
6001451502,"Census Tract 4515.02, Alameda County, California",2780,82
6001451503,"Census Tract 4515.03, Alameda County, California",2096,67
6001451601,"Census Tract 4516.01, Alameda County, California",1721,45
6001451602,"Census Tract 4516.02, Alameda County, California",2623,94
6001451701,"Census Tract 4517.01, Alameda County, California",1053,33
6001451702,"Census Tract 4517.02, Alameda County, California",2957,72
6003010000,"Census Tract 100, Alpine County, California",1752,54
6005000100,"Census Tract 1, Amador County, California",4231,195
6005000200,"Census Tract 2, Amador County, California",2414,115
6005000301,"Census Tract 3.01, Amador County, California",734,50
6005000302,"Census Tract 3.02, Amador County, California",3771,214
6005000401,"Census Tract 4.01, Amador County, California",2424,175
6005000402,"Census Tract 4.02, Amador County, California",2221,136
6005000500,"Census Tract 5, Amador County, California",1443,157
6007000101,"Census Tract 1.01, Butte County, California",3317,139
6007000102,"Census Tract 1.02, Butte County, California",1611,93
6007000201,"Census Tract 2.01, Butte County, California",1732,102
6007000202,"Census Tract 2.02, Butte County, California",1874,71
6007000300,"Census Tract 3, Butte County, California",1790,112
6007000400,"Census Tract 4, Butte County, California",3626,84
6007000501,"Census Tract 5.01, Butte County, California",1603,125
6007000502,"Census Tract 5.02, Butte County, California",2187,148
6007000601,"Census Tract 6.01, Butte County, California",1372,77
6007000603,"Census Tract 6.03, Butte County, California",1163,87
6007000604,"Census Tract 6.04, Butte County, California",1862,125
6007000700,"Census Tract 7, Butte County, California",2510,137
6007000800,"Census Tract 8, Butte County, California",2267,135
6007000900,"Census Tract 9, Butte County, California",6075,229
6007001000,"Census Tract 10, Butte County, California",2373,142
6007001100,"Census Tract 11, Butte County, California",2038,105
6007001200,"Census Tract 12, Butte County, California",1576,83
6007001300,"Census Tract 13, Butte County, California",1557,87
6007001400,"Census Tract 14, Butte County, California",2149,122
6007001500,"Census Tract 15, Butte County, California",2239,94
6007001600,"Census Tract 16, Butte County, California",2616,146
6007001701,"Census Tract 17.01, Butte County, California",2902,149
6007001702,"Census Tract 17.02, Butte County, California",2747,128
6007001800,"Census Tract 18, Butte County, California",2858,160
6007001900,"Census Tract 19, Butte County, California",1676,92
6007002000,"Census Tract 20, Butte County, California",2578,123
6007002100,"Census Tract 21, Butte County, California",2338,121
6007002200,"Census Tract 22, Butte County, California",2634,93
6007002300,"Census Tract 23, Butte County, California",2616,113
6007002400,"Census Tract 24, Butte County, California",2753,137
6007002500,"Census Tract 25, Butte County, California",1543,122
6007002600,"Census Tract 26, Butte County, California",3033,100
6007002700,"Census Tract 27, Butte County, California",2139,191
6007002800,"Census Tract 28, Butte County, California",1971,177
6007002900,"Census Tract 29, Butte County, California",2888,143
6007003000,"Census Tract 30, Butte County, California",2483,127
6007003100,"Census Tract 31, Butte County, California",1801,86
6007003200,"Census Tract 32, Butte County, California",1651,91
6007003300,"Census Tract 33, Butte County, California",1711,106
6007003400,"Census Tract 34, Butte County, California",1096,68
6007003500,"Census Tract 35, Butte County, California",2548,268
6007003600,"Census Tract 36, Butte County, California",1240,177
6009000110,"Census Tract 1.10, Calaveras County, California",4467,358
6009000120,"Census Tract 1.20, Calaveras County, California",2430,121
6009000210,"Census Tract 2.10, Calaveras County, California",3856,168
6009000220,"Census Tract 2.20, Calaveras County, California",2370,123
6009000300,"Census Tract 3, Calaveras County, California",3291,153
6009000400,"Census Tract 4, Calaveras County, California",2477,151
6009000500,"Census Tract 5, Calaveras County, California",8014,170
6011000100,"Census Tract 1, Colusa County, California",1730,153
6011000200,"Census Tract 2, Colusa County, California",1868,111
6011000300,"Census Tract 3, Colusa County, California",1456,483
6011000400,"Census Tract 4, Colusa County, California",1185,86
6011000500,"Census Tract 5, Colusa County, California",1204,113
6013301000,"Census Tract 3010, Contra Costa County, California",1923,123
6013302002,"Census Tract 3020.02, Contra Costa County, California",3279,190
6013302003,"Census Tract 3020.03, Contra Costa County, California",3614,190
6013302004,"Census Tract 3020.04, Contra Costa County, California",4321,177
6013303100,"Census Tract 3031, Contra Costa County, California",5084,203
6013303200,"Census Tract 3032, Contra Costa County, California",13142,408
6013304000,"Census Tract 3040, Contra Costa County, California",7305,144
6013305000,"Census Tract 3050, Contra Costa County, California",2414,116
6013306001,"Census Tract 3060.01, Contra Costa County, California",3026,88
6013306002,"Census Tract 3060.02, Contra Costa County, California",1178,52
6013307101,"Census Tract 3071.01, Contra Costa County, California",1509,53
6013307102,"Census Tract 3071.02, Contra Costa County, California",1842,56
6013307201,"Census Tract 3072.01, Contra Costa County, California",946,37
6013307202,"Census Tract 3072.02, Contra Costa County, California",1615,48
6013307204,"Census Tract 3072.04, Contra Costa County, California",1374,63
6013307205,"Census Tract 3072.05, Contra Costa County, California",2746,83
6013308001,"Census Tract 3080.01, Contra Costa County, California",2547,67
6013308002,"Census Tract 3080.02, Contra Costa County, California",1384,48
6013309000,"Census Tract 3090, Contra Costa County, California",1251,62
6013310000,"Census Tract 3100, Contra Costa County, California",1641,80
6013311000,"Census Tract 3110, Contra Costa County, California",1571,72
6013312000,"Census Tract 3120, Contra Costa County, California",868,47
6013313101,"Census Tract 3131.01, Contra Costa County, California",3216,112
6013313102,"Census Tract 3131.02, Contra Costa County, California",1470,66
6013313103,"Census Tract 3131.03, Contra Costa County, California",2559,96
6013313201,"Census Tract 3132.01, Contra Costa County, California",2380,92
6013313202,"Census Tract 3132.02, Contra Costa County, California",3109,94
6013314102,"Census Tract 3141.02, Contra Costa County, California",1934,94
6013314103,"Census Tract 3141.03, Contra Costa County, California",1820,79
6013314104,"Census Tract 3141.04, Contra Costa County, California",2596,138
6013314200,"Census Tract 3142, Contra Costa County, California",1984,65
6013315000,"Census Tract 3150, Contra Costa County, California",1389,34
6013316000,"Census Tract 3160, Contra Costa County, California",502,19
6013317000,"Census Tract 3170, Contra Costa County, California",1081,53
6013318000,"Census Tract 3180, Contra Costa County, California",1700,69
6013319000,"Census Tract 3190, Contra Costa County, California",3257,92
6013320001,"Census Tract 3200.01, Contra Costa County, California",1275,113
6013320002,"Census Tract 3200.02, Contra Costa County, California",3616,137
6013321101,"Census Tract 3211.01, Contra Costa County, California",2549,117
6013321102,"Census Tract 3211.02, Contra Costa County, California",2805,65
6013321103,"Census Tract 3211.03, Contra Costa County, California",1952,67
6013321200,"Census Tract 3212, Contra Costa County, California",2426,98
6013322000,"Census Tract 3220, Contra Costa County, California",2552,91
6013323000,"Census Tract 3230, Contra Costa County, California",1732,76
6013324000,"Census Tract 3240, Contra Costa County, California",5254,172
6013325000,"Census Tract 3250, Contra Costa County, California",2157,91
6013326000,"Census Tract 3260, Contra Costa County, California",1347,47
6013327000,"Census Tract 3270, Contra Costa County, California",2997,67
6013328000,"Census Tract 3280, Contra Costa County, California",1176,30
6013329000,"Census Tract 3290, Contra Costa County, California",2360,63
6013330000,"Census Tract 3300, Contra Costa County, California",1968,57
6013331000,"Census Tract 3310, Contra Costa County, California",2688,110
6013332000,"Census Tract 3320, Contra Costa County, California",2852,74
6013333100,"Census Tract 3331, Contra Costa County, California",3118,77
6013333200,"Census Tract 3332, Contra Costa County, California",2241,55
6013334001,"Census Tract 3340.01, Contra Costa County, California",1441,43
6013334003,"Census Tract 3340.03, Contra Costa County, California",1312,37
6013334004,"Census Tract 3340.04, Contra Costa County, California",3322,105
6013334005,"Census Tract 3340.05, Contra Costa County, California",444,20
6013335000,"Census Tract 3350, Contra Costa County, California",1293,44
6013336101,"Census Tract 3361.01, Contra Costa County, California",1757,48
6013336102,"Census Tract 3361.02, Contra Costa County, California",2669,87
6013336200,"Census Tract 3362, Contra Costa County, California",2815,84
6013337100,"Census Tract 3371, Contra Costa County, California",1166,47
6013337200,"Census Tract 3372, Contra Costa County, California",3150,80
6013337300,"Census Tract 3373, Contra Costa County, California",2346,47
6013338100,"Census Tract 3381, Contra Costa County, California",3144,60
6013338201,"Census Tract 3382.01, Contra Costa County, California",1403,46
6013338202,"Census Tract 3382.02, Contra Costa County, California",5929,97
6013338301,"Census Tract 3383.01, Contra Costa County, California",1037,45
6013338302,"Census Tract 3383.02, Contra Costa County, California",2162,54
6013339000,"Census Tract 3390, Contra Costa County, California",5268,145
6013340001,"Census Tract 3400.01, Contra Costa County, California",2642,65
6013340002,"Census Tract 3400.02, Contra Costa County, California",3177,64
6013341000,"Census Tract 3410, Contra Costa County, California",2223,91
6013342000,"Census Tract 3420, Contra Costa County, California",2405,92
6013343001,"Census Tract 3430.01, Contra Costa County, California",2182,75
6013343002,"Census Tract 3430.02, Contra Costa County, California",2086,94
6013343003,"Census Tract 3430.03, Contra Costa County, California",1539,66
6013344000,"Census Tract 3440, Contra Costa County, California",532,14
6013345101,"Census Tract 3451.01, Contra Costa County, California",1655,83
6013345102,"Census Tract 3451.02, Contra Costa County, California",1081,35
6013345103,"Census Tract 3451.03, Contra Costa County, California",1556,55
6013345105,"Census Tract 3451.05, Contra Costa County, California",1999,68
6013345107,"Census Tract 3451.07, Contra Costa County, California",3759,114
6013345108,"Census Tract 3451.08, Contra Costa County, California",2728,68
6013345109,"Census Tract 3451.09, Contra Costa County, California",3353,82
6013345110,"Census Tract 3451.10, Contra Costa County, California",2220,74
6013345201,"Census Tract 3452.01, Contra Costa County, California",4076,94
6013345202,"Census Tract 3452.02, Contra Costa County, California",2683,71
6013346101,"Census Tract 3461.01, Contra Costa County, California",1369,30
6013346102,"Census Tract 3461.02, Contra Costa County, California",2170,57
6013346201,"Census Tract 3462.01, Contra Costa County, California",2621,93
6013346202,"Census Tract 3462.02, Contra Costa County, California",3771,124
6013347000,"Census Tract 3470, Contra Costa County, California",2341,64
6013348000,"Census Tract 3480, Contra Costa County, California",1690,70
6013349000,"Census Tract 3490, Contra Costa County, California",2021,94
6013350000,"Census Tract 3500, Contra Costa County, California",2499,94
6013351100,"Census Tract 3511, Contra Costa County, California",6581,166
6013351200,"Census Tract 3512, Contra Costa County, California",2078,83
6013352101,"Census Tract 3521.01, Contra Costa County, California",814,49
6013352102,"Census Tract 3521.02, Contra Costa County, California",1883,88
