Id2,Geography,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Percent of population 25 years and over  with Bachelor's degree,MOE Percent of population 25 years and over  with Bachelor's degree
6001407300,"Census Tract 4073, Alameda County, California",1530,273,8.1,4.6
6001407400,"Census Tract 4074, Alameda County, California",2112,390,5.3,3.3
6001407500,"Census Tract 4075, Alameda County, California",2150,233,3.9,2.8
6001407600,"Census Tract 4076, Alameda County, California",4079,497,14.1,4.3
6001407700,"Census Tract 4077, Alameda County, California",3232,356,16.6,3.8
6001407800,"Census Tract 4078, Alameda County, California",1846,618,17.1,7.2
6001407900,"Census Tract 4079, Alameda County, California",2337,269,29.1,5.8
6001408000,"Census Tract 4080, Alameda County, California",1775,137,29.8,6.9
6001408100,"Census Tract 4081, Alameda County, California",4384,320,25.8,5.6
6001408200,"Census Tract 4082, Alameda County, California",2826,215,11,4.2
6001408300,"Census Tract 4083, Alameda County, California",3027,212,16.6,4.1
6001408400,"Census Tract 4084, Alameda County, California",2714,402,8.4,4.4
6001408500,"Census Tract 4085, Alameda County, California",2822,359,5.7,3.4
6001408600,"Census Tract 4086, Alameda County, California",3257,254,8.7,4.7
6001408700,"Census Tract 4087, Alameda County, California",4514,557,9.5,3.6
6001408800,"Census Tract 4088, Alameda County, California",3135,362,5.4,5.5
6001408900,"Census Tract 4089, Alameda County, California",2080,446,5.6,3.9
6001409000,"Census Tract 4090, Alameda County, California",2543,687,2.7,2.2
6001409100,"Census Tract 4091, Alameda County, California",1496,314,10.2,6.9
6001409200,"Census Tract 4092, Alameda County, California",1610,235,6.6,4.6
6001409300,"Census Tract 4093, Alameda County, California",3196,419,8.8,4.7
6001409400,"Census Tract 4094, Alameda County, California",2531,469,7.9,6
6001409500,"Census Tract 4095, Alameda County, California",1828,334,5.3,4
6001409600,"Census Tract 4096, Alameda County, California",3412,414,5.8,3.1
6001409700,"Census Tract 4097, Alameda County, California",2597,482,4.2,2.7
6001409800,"Census Tract 4098, Alameda County, California",2277,240,13.9,5.1
6001409900,"Census Tract 4099, Alameda County, California",2556,203,21.6,4.6
6001410000,"Census Tract 4100, Alameda County, California",2240,300,27.4,8.6
6001410100,"Census Tract 4101, Alameda County, California",1402,166,13.1,6.3
6001410200,"Census Tract 4102, Alameda County, California",1937,266,7.4,3.6
6001410300,"Census Tract 4103, Alameda County, California",2462,489,5.6,3.4
6001410400,"Census Tract 4104, Alameda County, California",3097,497,5.7,3.8
6001420100,"Census Tract 4201, Alameda County, California",1571,106,31.8,7.4
6001420200,"Census Tract 4202, Alameda County, California",1720,161,29.7,7.1
6001420300,"Census Tract 4203, Alameda County, California",3018,226,36,5.6
6001420400,"Census Tract 4204, Alameda County, California",1321,191,27.4,8
6001420500,"Census Tract 4205, Alameda County, California",1385,105,25,7.1
6001420600,"Census Tract 4206, Alameda County, California",2115,143,26,4.9
6001421100,"Census Tract 4211, Alameda County, California",1340,151,32.9,7.3
6001421200,"Census Tract 4212, Alameda County, California",2606,185,25,5
6001421300,"Census Tract 4213, Alameda County, California",2602,159,32.9,4.7
6001421400,"Census Tract 4214, Alameda County, California",1156,109,31,8.4
6001421500,"Census Tract 4215, Alameda County, California",2585,172,39.6,5.2
6001421600,"Census Tract 4216, Alameda County, California",2841,214,35.4,5.7
6001421700,"Census Tract 4217, Alameda County, California",2448,198,36.3,6.1
6001421800,"Census Tract 4218, Alameda County, California",1425,133,28.7,7.7
6001421900,"Census Tract 4219, Alameda County, California",2847,195,34.6,5.3
6001422000,"Census Tract 4220, Alameda County, California",859,260,26.4,11.7
6001422100,"Census Tract 4221, Alameda County, California",1586,220,24.5,5.7
6001422200,"Census Tract 4222, Alameda County, California",2249,287,36.6,8.5
6001422300,"Census Tract 4223, Alameda County, California",2138,228,35.6,5.9
6001422400,"Census Tract 4224, Alameda County, California",2768,351,29.2,6
6001422500,"Census Tract 4225, Alameda County, California",2778,958,23.8,6.6
6001422600,"Census Tract 4226, Alameda County, California",27,25,0,63.3
6001422700,"Census Tract 4227, Alameda County, California",901,160,39.2,14.1
6001422800,"Census Tract 4228, Alameda County, California",740,189,48.4,10.6
6001422900,"Census Tract 4229, Alameda County, California",1412,239,40.9,9.5
6001423000,"Census Tract 4230, Alameda County, California",3032,283,31.7,5.8
6001423100,"Census Tract 4231, Alameda County, California",2582,259,27.1,8.2
6001423200,"Census Tract 4232, Alameda County, California",1541,183,22.6,6.7
6001423300,"Census Tract 4233, Alameda County, California",2393,292,28.2,9.2
6001423400,"Census Tract 4234, Alameda County, California",2613,241,25.6,6.9
6001423500,"Census Tract 4235, Alameda County, California",3179,1306,25.9,11
6001423601,"Census Tract 4236.01, Alameda County, California",1820,266,33,8.5
6001423602,"Census Tract 4236.02, Alameda County, California",1953,305,30.9,8.6
6001423700,"Census Tract 4237, Alameda County, California",1496,155,30.1,7.4
6001423800,"Census Tract 4238, Alameda County, California",2217,174,30.3,6
6001423901,"Census Tract 4239.01, Alameda County, California",1195,126,29.7,6.4
6001423902,"Census Tract 4239.02, Alameda County, California",1247,99,27.5,7
6001424001,"Census Tract 4240.01, Alameda County, California",2371,324,26,6.8
6001424002,"Census Tract 4240.02, Alameda County, California",1283,150,24.9,7.2
6001425100,"Census Tract 4251, Alameda County, California",7611,341,35.9,5.1
6001426100,"Census Tract 4261, Alameda County, California",3915,186,38,5.8
6001426200,"Census Tract 4262, Alameda County, California",2765,171,35.9,4.9
6001427100,"Census Tract 4271, Alameda County, California",2950,288,30.3,4.7
6001427200,"Census Tract 4272, Alameda County, California",2917,263,20.1,5.2
6001427300,"Census Tract 4273, Alameda County, California",3801,381,24.1,5
6001427400,"Census Tract 4274, Alameda County, California",819,204,24.5,9.2
6001427500,"Census Tract 4275, Alameda County, California",540,223,11.9,9.3
6001427600,"Census Tract 4276, Alameda County, California",2242,288,16,4.9
6001427700,"Census Tract 4277, Alameda County, California",3722,297,30.9,5.7
6001427800,"Census Tract 4278, Alameda County, California",3234,322,22.4,4.9
6001427900,"Census Tract 4279, Alameda County, California",3479,315,25.4,6.4
6001428000,"Census Tract 4280, Alameda County, California",2066,218,26.8,6.7
6001428100,"Census Tract 4281, Alameda County, California",3308,345,34,6.6
6001428200,"Census Tract 4282, Alameda County, California",4412,315,34.3,6.4
6001428301,"Census Tract 4283.01, Alameda County, California",4302,246,30.5,4.7
6001428302,"Census Tract 4283.02, Alameda County, California",4739,263,38.2,4.7
6001428400,"Census Tract 4284, Alameda County, California",3236,796,30.3,6.9
6001428500,"Census Tract 4285, Alameda County, California",2477,356,24.2,5.9
6001428600,"Census Tract 4286, Alameda County, California",2577,275,30.8,6.3
6001430100,"Census Tract 4301, Alameda County, California",5923,290,31.7,4.7
6001430200,"Census Tract 4302, Alameda County, California",4531,251,25.7,4.4
6001430300,"Census Tract 4303, Alameda County, California",2518,156,28.7,5
6001430400,"Census Tract 4304, Alameda County, California",1441,88,34.6,8.3
6001430500,"Census Tract 4305, Alameda County, California",3901,474,17.3,5.1
6001430600,"Census Tract 4306, Alameda County, California",4152,359,23.1,5.4
6001430700,"Census Tract 4307, Alameda County, California",2316,190,22.8,5.9
6001430800,"Census Tract 4308, Alameda County, California",3657,182,16.1,4.2
6001430900,"Census Tract 4309, Alameda County, California",2940,251,18.3,5.3
6001431000,"Census Tract 4310, Alameda County, California",1805,120,14.7,6
6001431100,"Census Tract 4311, Alameda County, California",2202,181,24.3,6.1
6001431200,"Census Tract 4312, Alameda County, California",4063,311,23.7,6.2
6001432100,"Census Tract 4321, Alameda County, California",2225,120,30.1,4.8
6001432200,"Census Tract 4322, Alameda County, California",2523,241,24.9,7.1
6001432300,"Census Tract 4323, Alameda County, California",2465,289,20.7,5.7
6001432400,"Census Tract 4324, Alameda County, California",3244,319,20.7,6.9
6001432500,"Census Tract 4325, Alameda County, California",6418,491,17.2,4.7
6001432600,"Census Tract 4326, Alameda County, California",4532,326,14.9,4.7
6001432700,"Census Tract 4327, Alameda County, California",1758,129,26.8,6.6
6001432800,"Census Tract 4328, Alameda County, California",2431,169,29,5.4
6001433000,"Census Tract 4330, Alameda County, California",2447,182,20.6,6.8
6001433101,"Census Tract 4331.01, Alameda County, California",4307,375,22.1,7.2
6001433102,"Census Tract 4331.02, Alameda County, California",2373,236,17.9,4.7
6001433200,"Census Tract 4332, Alameda County, California",4440,365,19.2,4.5
6001433300,"Census Tract 4333, Alameda County, California",4214,303,19.4,4.7
6001433400,"Census Tract 4334, Alameda County, California",4429,380,16.4,4.8
6001433500,"Census Tract 4335, Alameda County, California",2772,166,13.8,3.8
6001433600,"Census Tract 4336, Alameda County, California",3826,364,15.8,5.8
6001433700,"Census Tract 4337, Alameda County, California",1701,271,7.5,4
6001433800,"Census Tract 4338, Alameda County, California",5539,670,16.4,4.5
6001433900,"Census Tract 4339, Alameda County, California",3699,459,7.6,3.7
6001434000,"Census Tract 4340, Alameda County, California",2620,370,6.1,3.8
6001435101,"Census Tract 4351.01, Alameda County, California",7299,404,28.5,4.7
6001435102,"Census Tract 4351.02, Alameda County, California",3202,351,32.4,6
6001435200,"Census Tract 4352, Alameda County, California",2633,233,18.3,4.9
6001435300,"Census Tract 4353, Alameda County, California",3438,343,17.5,4.9
6001435400,"Census Tract 4354, Alameda County, California",2926,294,17.9,5.2
6001435500,"Census Tract 4355, Alameda County, California",2284,294,12.6,3.7
6001435600,"Census Tract 4356, Alameda County, California",5700,568,12.2,4.9
6001435700,"Census Tract 4357, Alameda County, California",2779,208,12.5,3.7
6001435800,"Census Tract 4358, Alameda County, California",3335,295,17.1,6.4
6001435900,"Census Tract 4359, Alameda County, California",3384,227,24.9,5.6
6001436000,"Census Tract 4360, Alameda County, California",2935,326,16.9,5
6001436100,"Census Tract 4361, Alameda County, California",3173,277,17,5.8
6001436200,"Census Tract 4362, Alameda County, California",2071,382,7,3.3
6001436300,"Census Tract 4363, Alameda County, California",3909,394,9.9,3.3
6001436401,"Census Tract 4364.01, Alameda County, California",5256,594,18.6,3.6
6001436402,"Census Tract 4364.02, Alameda County, California",2255,295,22.7,6.6
6001436500,"Census Tract 4365, Alameda County, California",2781,240,20.2,6.3
6001436601,"Census Tract 4366.01, Alameda County, California",3836,451,5.9,3
6001436602,"Census Tract 4366.02, Alameda County, California",2931,292,10.3,3.9
6001436700,"Census Tract 4367, Alameda County, California",2327,308,23.2,9.7
6001436800,"Census Tract 4368, Alameda County, California",2719,347,21.6,5.6
6001436900,"Census Tract 4369, Alameda County, California",3674,371,12.7,4.9
6001437000,"Census Tract 4370, Alameda County, California",2207,240,27.4,6.8
6001437100,"Census Tract 4371, Alameda County, California",7577,598,22.4,4.6
6001437200,"Census Tract 4372, Alameda County, California",4289,410,24.2,6.9
6001437300,"Census Tract 4373, Alameda County, California",2005,215,10.2,4.9
6001437400,"Census Tract 4374, Alameda County, California",2272,278,7.4,4
6001437500,"Census Tract 4375, Alameda County, California",2477,424,7.5,3.6
6001437600,"Census Tract 4376, Alameda County, California",2147,306,16.3,6.2
6001437700,"Census Tract 4377, Alameda County, California",4044,611,7.8,4.7
6001437800,"Census Tract 4378, Alameda County, California",2749,270,14.2,6.4
6001437900,"Census Tract 4379, Alameda County, California",1296,237,15,10.7
6001438000,"Census Tract 4380, Alameda County, California",1976,251,18.9,8
6001438100,"Census Tract 4381, Alameda County, California",4801,543,19.5,3.9
6001438201,"Census Tract 4382.01, Alameda County, California",2991,396,10.5,5
6001438202,"Census Tract 4382.02, Alameda County, California",7132,421,14.6,3.6
6001438300,"Census Tract 4383, Alameda County, California",2399,302,13,4.8
6001438400,"Census Tract 4384, Alameda County, California",1360,125,17.3,8.3
6001440100,"Census Tract 4401, Alameda County, California",2233,1491,27.2,6.3
6001440200,"Census Tract 4402, Alameda County, California",4104,362,11.2,4.4
6001440301,"Census Tract 4403.01, Alameda County, California",4719,426,22.2,5.2
6001440302,"Census Tract 4403.02, Alameda County, California",4631,337,27.5,4.2
6001440304,"Census Tract 4403.04, Alameda County, California",3198,332,36,7.4
6001440305,"Census Tract 4403.05, Alameda County, California",3036,301,29.8,8.4
6001440306,"Census Tract 4403.06, Alameda County, California",2902,318,21.1,7.5
6001440307,"Census Tract 4403.07, Alameda County, California",3035,341,23.1,6.1
6001440308,"Census Tract 4403.08, Alameda County, California",4430,378,23.4,6.8
6001440309,"Census Tract 4403.09, Alameda County, California",6902,471,32.7,4.6
6001440331,"Census Tract 4403.31, Alameda County, California",1874,306,21.2,5.6
6001440332,"Census Tract 4403.32, Alameda County, California",2100,213,41.3,6.7
6001441100,"Census Tract 4411, Alameda County, California",3004,318,22.4,5
6001441200,"Census Tract 4412, Alameda County, California",4782,345,24.8,4.6
6001441301,"Census Tract 4413.01, Alameda County, California",2120,189,35.9,7.1
6001441302,"Census Tract 4413.02, Alameda County, California",3600,231,26.8,5.2
6001441401,"Census Tract 4414.01, Alameda County, California",4695,414,27.6,5.2
6001441402,"Census Tract 4414.02, Alameda County, California",3271,292,33.2,6.8
6001441501,"Census Tract 4415.01, Alameda County, California",4104,321,27.8,6.4
6001441503,"Census Tract 4415.03, Alameda County, California",7653,411,39.1,4.2
6001441521,"Census Tract 4415.21, Alameda County, California",4092,240,29.7,4.6
6001441522,"Census Tract 4415.22, Alameda County, California",3191,239,28.3,5.5
6001441601,"Census Tract 4416.01, Alameda County, California",3186,306,22.1,6.5
6001441602,"Census Tract 4416.02, Alameda County, California",4482,529,22.7,6.2
6001441700,"Census Tract 4417, Alameda County, California",4244,324,22.5,5.5
6001441800,"Census Tract 4418, Alameda County, California",5258,1637,26.6,6.8
6001441901,"Census Tract 4419.01, Alameda County, California",8915,709,34.5,4.4
6001441921,"Census Tract 4419.21, Alameda County, California",2184,297,20.3,6.5
6001441922,"Census Tract 4419.22, Alameda County, California",4673,545,36.6,6.1
6001441923,"Census Tract 4419.23, Alameda County, California",3870,522,26,6.7
6001442000,"Census Tract 4420, Alameda County, California",2119,149,40.1,6.1
6001442100,"Census Tract 4421, Alameda County, California",3124,155,34,6.2
6001442200,"Census Tract 4422, Alameda County, California",4447,301,30.5,5.3
6001442300,"Census Tract 4423, Alameda County, California",5489,363,18.2,4
6001442400,"Census Tract 4424, Alameda County, California",3917,436,16.8,4.6
6001442500,"Census Tract 4425, Alameda County, California",4741,554,16.6,4.7
6001442600,"Census Tract 4426, Alameda County, California",5521,291,27.1,5.1
6001442700,"Census Tract 4427, Alameda County, California",1928,139,25.1,6.2
6001442800,"Census Tract 4428, Alameda County, California",1912,227,20.9,7.2
6001442900,"Census Tract 4429, Alameda County, California",4473,424,20.7,5.8
6001443001,"Census Tract 4430.01, Alameda County, California",1900,199,13.2,4
6001443002,"Census Tract 4430.02, Alameda County, California",3656,261,17.4,4.1
6001443101,"Census Tract 4431.01, Alameda County, California",6244,448,27.3,3.9
6001443102,"Census Tract 4431.02, Alameda County, California",3330,320,30.9,5.3
6001443103,"Census Tract 4431.03, Alameda County, California",3234,1190,39.6,8.6
6001443200,"Census Tract 4432, Alameda County, California",2323,159,37.6,6.1
6001443301,"Census Tract 4433.01, Alameda County, California",2522,169,34,6.8
6001443302,"Census Tract 4433.02, Alameda County, California",3755,309,30.6,5.6
6001444100,"Census Tract 4441, Alameda County, California",5213,352,24.6,5.6
6001444200,"Census Tract 4442, Alameda County, California",3907,290,17.2,4.1
6001444300,"Census Tract 4443, Alameda County, California",5404,423,22.4,4.9
6001444400,"Census Tract 4444, Alameda County, California",3211,403,15,4.8
6001444500,"Census Tract 4445, Alameda County, California",4080,549,19,5.3
6001444600,"Census Tract 4446, Alameda County, California",5838,443,28.9,5.2
6001450100,"Census Tract 4501, Alameda County, California",8852,420,25.1,2.5
6001450200,"Census Tract 4502, Alameda County, California",3302,291,32.6,6.9
6001450300,"Census Tract 4503, Alameda County, California",3137,205,26.7,5.1
6001450400,"Census Tract 4504, Alameda County, California",4021,253,22.7,4.9
6001450500,"Census Tract 4505, Alameda County, California",4959,277,31.6,5.6
6001450601,"Census Tract 4506.01, Alameda County, California",2243,160,41.5,5.8
6001450602,"Census Tract 4506.02, Alameda County, California",5623,323,34.8,4.5
6001450603,"Census Tract 4506.03, Alameda County, California",2673,146,32.2,5
6001450604,"Census Tract 4506.04, Alameda County, California",3145,191,37.5,5.8
6001450605,"Census Tract 4506.05, Alameda County, California",2299,165,38.5,5.5
6001450606,"Census Tract 4506.06, Alameda County, California",3659,139,35,5.2
6001450607,"Census Tract 4506.07, Alameda County, California",3091,443,28.8,6.3
6001450701,"Census Tract 4507.01, Alameda County, California",4862,183,40.8,4.6
6001450703,"Census Tract 4507.03, Alameda County, California",4963,266,35,4.7
6001450721,"Census Tract 4507.21, Alameda County, California",5067,345,38.7,4.6
6001450722,"Census Tract 4507.22, Alameda County, California",6293,382,36,4.7
6001450741,"Census Tract 4507.41, Alameda County, California",3068,371,25.1,5
6001450742,"Census Tract 4507.42, Alameda County, California",3007,171,27.7,4.4
6001451101,"Census Tract 4511.01, Alameda County, California",4376,297,28.2,5.1
6001451102,"Census Tract 4511.02, Alameda County, California",2670,150,42.1,6.4
6001451201,"Census Tract 4512.01, Alameda County, California",4042,333,21.3,4.2
6001451202,"Census Tract 4512.02, Alameda County, California",2135,167,14,4.5
6001451300,"Census Tract 4513, Alameda County, California",4366,268,23,6.9
6001451401,"Census Tract 4514.01, Alameda County, California",3441,322,35.5,7.4
6001451402,"Census Tract 4514.02, Alameda County, California",5604,427,12.6,3.8
6001451501,"Census Tract 4515.01, Alameda County, California",3167,296,19.6,5.3
6001451502,"Census Tract 4515.02, Alameda County, California",4564,301,23.1,3.9
6001451503,"Census Tract 4515.03, Alameda County, California",3677,275,23.4,5.8
6001451601,"Census Tract 4516.01, Alameda County, California",2954,259,22.8,4.8
6001451602,"Census Tract 4516.02, Alameda County, California",4353,336,21,4.8
6001451701,"Census Tract 4517.01, Alameda County, California",2093,208,21.8,5.4
6001451702,"Census Tract 4517.02, Alameda County, California",5677,281,24.6,4.8
6003010000,"Census Tract 100, Alpine County, California",735,101,13.1,4.7
6005000100,"Census Tract 1, Amador County, California",5084,380,11.4,3.2
6005000200,"Census Tract 2, Amador County, California",3506,277,15.4,4.9
6005000301,"Census Tract 3.01, Amador County, California",4657,197,6,1.8
6005000302,"Census Tract 3.02, Amador County, California",5809,446,13.4,3.5
6005000401,"Census Tract 4.01, Amador County, California",3483,340,14.2,4.3
6005000402,"Census Tract 4.02, Amador County, California",3962,287,19.4,4.2
6005000500,"Census Tract 5, Amador County, California",2098,289,19.1,6.5
6007000101,"Census Tract 1.01, Butte County, California",4683,329,19.1,3.9
6007000102,"Census Tract 1.02, Butte County, California",2355,195,16.3,4.8
6007000201,"Census Tract 2.01, Butte County, California",2244,171,22.4,5.1
6007000202,"Census Tract 2.02, Butte County, California",2169,193,13.7,4.4
6007000300,"Census Tract 3, Butte County, California",2421,308,14.8,4.6
6007000400,"Census Tract 4, Butte County, California",5535,292,21.4,3.5
6007000501,"Census Tract 5.01, Butte County, California",2044,179,36.5,6.1
6007000502,"Census Tract 5.02, Butte County, California",1261,192,22.8,8.1
6007000601,"Census Tract 6.01, Butte County, California",2136,242,34.1,6.6
6007000603,"Census Tract 6.03, Butte County, California",1058,200,24.6,9.2
6007000604,"Census Tract 6.04, Butte County, California",1103,159,18.9,7.1
6007000700,"Census Tract 7, Butte County, California",2742,233,31.8,7.2
6007000800,"Census Tract 8, Butte County, California",3486,318,31.9,5.6
6007000900,"Census Tract 9, Butte County, California",8272,388,28.4,3.6
6007001000,"Census Tract 10, Butte County, California",1815,260,21.3,7.5
6007001100,"Census Tract 11, Butte County, California",1738,207,14.8,5.5
6007001200,"Census Tract 12, Butte County, California",1735,227,20.5,7.1
6007001300,"Census Tract 13, Butte County, California",1882,161,13.9,4.2
6007001400,"Census Tract 14, Butte County, California",3976,224,26.6,5.2
6007001500,"Census Tract 15, Butte County, California",3417,217,26.6,4.6
6007001600,"Census Tract 16, Butte County, California",3757,328,23.1,4.3
6007001701,"Census Tract 17.01, Butte County, California",4071,332,10.1,3.5
6007001702,"Census Tract 17.02, Butte County, California",4194,308,8.3,3.2
6007001800,"Census Tract 18, Butte County, California",4461,371,11.9,3.7
6007001900,"Census Tract 19, Butte County, California",2799,332,14.6,4.2
6007002000,"Census Tract 20, Butte County, California",3752,386,11.8,3.6
6007002100,"Census Tract 21, Butte County, California",3444,326,18.1,5.3
6007002200,"Census Tract 22, Butte County, California",3933,283,12.8,3.9
6007002300,"Census Tract 23, Butte County, California",4100,283,17,4.3
6007002400,"Census Tract 24, Butte County, California",3614,241,9,2.3
6007002500,"Census Tract 25, Butte County, California",2564,246,6.3,3
6007002600,"Census Tract 26, Butte County, California",4848,474,17.5,4.2
6007002700,"Census Tract 27, Butte County, California",3043,285,11.9,3.6
6007002800,"Census Tract 28, Butte County, California",2304,291,6.2,2.7
6007002900,"Census Tract 29, Butte County, California",4574,401,4.9,3.5
6007003000,"Census Tract 30, Butte County, California",3492,426,2.5,1.9
6007003100,"Census Tract 31, Butte County, California",2802,195,9.5,3.7
6007003200,"Census Tract 32, Butte County, California",2513,292,2.7,1.7
6007003300,"Census Tract 33, Butte County, California",3084,267,5.8,2.2
6007003400,"Census Tract 34, Butte County, California",1870,193,6.7,2.4
6007003500,"Census Tract 35, Butte County, California",3875,452,9,3.1
6007003600,"Census Tract 36, Butte County, California",2080,264,10.5,4.2
6009000110,"Census Tract 1.10, Calaveras County, California",6735,579,15.9,2.9
6009000120,"Census Tract 1.20, Calaveras County, California",3108,398,9.1,3.3
6009000210,"Census Tract 2.10, Calaveras County, California",6654,423,7.5,2.1
6009000220,"Census Tract 2.20, Calaveras County, California",4518,410,8.8,3.5
6009000300,"Census Tract 3, Calaveras County, California",5100,492,16.2,4.8
6009000400,"Census Tract 4, Calaveras County, California",3538,466,9.2,3.6
6009000500,"Census Tract 5, Calaveras County, California",4432,595,19.6,5.2
6011000100,"Census Tract 1, Colusa County, California",2750,290,13.8,5.1
6011000200,"Census Tract 2, Colusa County, California",3413,265,6.8,2.7
6011000300,"Census Tract 3, Colusa County, California",3099,312,6.5,3.3
6011000400,"Census Tract 4, Colusa County, California",1583,157,10.7,3.7
6011000500,"Census Tract 5, Colusa County, California",1725,205,10.2,5.3
6013301000,"Census Tract 3010, Contra Costa County, California",2553,317,5.4,3.5
6013302002,"Census Tract 3020.02, Contra Costa County, California",5780,501,9.1,2.7
