Id2,Geography,Estimate; Total,Margin of Error; Total
6001422500,"Census Tract 4225, Alameda County, California",5417,2015
6001422600,"Census Tract 4226, Alameda County, California",1149,612
6001422700,"Census Tract 4227, Alameda County, California",3130,763
6001422800,"Census Tract 4228, Alameda County, California",6628,1184
6001422900,"Census Tract 4229, Alameda County, California",2647,334
6001423000,"Census Tract 4230, Alameda County, California",3948,430
6001423100,"Census Tract 4231, Alameda County, California",3532,308
6001423200,"Census Tract 4232, Alameda County, California",2307,255
6001423300,"Census Tract 4233, Alameda County, California",3379,383
6001423400,"Census Tract 4234, Alameda County, California",3695,294
6001423500,"Census Tract 4235, Alameda County, California",4250,1370
6001423601,"Census Tract 4236.01, Alameda County, California",3022,678
6001423602,"Census Tract 4236.02, Alameda County, California",4414,421
6001423700,"Census Tract 4237, Alameda County, California",3350,536
6001423800,"Census Tract 4238, Alameda County, California",2737,214
6001423901,"Census Tract 4239.01, Alameda County, California",1567,146
6001423902,"Census Tract 4239.02, Alameda County, California",1467,133
6001424001,"Census Tract 4240.01, Alameda County, California",3432,458
6001424002,"Census Tract 4240.02, Alameda County, California",1862,242
6001425100,"Census Tract 4251, Alameda County, California",9149,23
6001426100,"Census Tract 4261, Alameda County, California",5970,242
6001426200,"Census Tract 4262, Alameda County, California",4470,246
6001427100,"Census Tract 4271, Alameda County, California",3848,305
6001427200,"Census Tract 4272, Alameda County, California",4277,390
6001427300,"Census Tract 4273, Alameda County, California",4810,437
6001427400,"Census Tract 4274, Alameda County, California",1409,370
6001427500,"Census Tract 4275, Alameda County, California",1131,251
6001427600,"Census Tract 4276, Alameda County, California",3501,377
6001427700,"Census Tract 4277, Alameda County, California",4888,419
6001427800,"Census Tract 4278, Alameda County, California",4603,448
6001427900,"Census Tract 4279, Alameda County, California",4632,387
6001428000,"Census Tract 4280, Alameda County, California",2907,340
6001428100,"Census Tract 4281, Alameda County, California",4477,381
6001428200,"Census Tract 4282, Alameda County, California",6012,395
6001428301,"Census Tract 4283.01, Alameda County, California",6018,463
6001428302,"Census Tract 4283.02, Alameda County, California",6810,335
6001428400,"Census Tract 4284, Alameda County, California",4241,812
6001428500,"Census Tract 4285, Alameda County, California",3256,450
6001428600,"Census Tract 4286, Alameda County, California",3260,290
6001430100,"Census Tract 4301, Alameda County, California",8573,412
6001430200,"Census Tract 4302, Alameda County, California",6577,327
6001430300,"Census Tract 4303, Alameda County, California",3703,250
6001430400,"Census Tract 4304, Alameda County, California",1971,154
6001430500,"Census Tract 4305, Alameda County, California",5686,567
6001430600,"Census Tract 4306, Alameda County, California",5605,379
6001430700,"Census Tract 4307, Alameda County, California",3401,303
6001430800,"Census Tract 4308, Alameda County, California",5235,307
6001430900,"Census Tract 4309, Alameda County, California",4410,376
6001431000,"Census Tract 4310, Alameda County, California",2652,243
6001431100,"Census Tract 4311, Alameda County, California",3134,278
6001431200,"Census Tract 4312, Alameda County, California",5783,582
6001432100,"Census Tract 4321, Alameda County, California",3370,180
6001432200,"Census Tract 4322, Alameda County, California",3161,275
6001432300,"Census Tract 4323, Alameda County, California",3709,388
6001432400,"Census Tract 4324, Alameda County, California",5033,459
6001432500,"Census Tract 4325, Alameda County, California",9394,713
6001432600,"Census Tract 4326, Alameda County, California",6089,384
6001432700,"Census Tract 4327, Alameda County, California",2379,136
6001432800,"Census Tract 4328, Alameda County, California",3207,232
6001433000,"Census Tract 4330, Alameda County, California",3466,381
6001433101,"Census Tract 4331.01, Alameda County, California",6601,528
6001433102,"Census Tract 4331.02, Alameda County, California",3593,359
6001433200,"Census Tract 4332, Alameda County, California",6149,473
6001433300,"Census Tract 4333, Alameda County, California",6080,420
6001433400,"Census Tract 4334, Alameda County, California",6259,459
6001433500,"Census Tract 4335, Alameda County, California",3893,282
6001433600,"Census Tract 4336, Alameda County, California",5780,573
6001433700,"Census Tract 4337, Alameda County, California",2559,357
6001433800,"Census Tract 4338, Alameda County, California",7913,899
6001433900,"Census Tract 4339, Alameda County, California",6146,712
6001434000,"Census Tract 4340, Alameda County, California",4618,499
6001435101,"Census Tract 4351.01, Alameda County, California",10779,622
6001435102,"Census Tract 4351.02, Alameda County, California",4480,435
6001435200,"Census Tract 4352, Alameda County, California",3520,411
6001435300,"Census Tract 4353, Alameda County, California",4751,533
6001435400,"Census Tract 4354, Alameda County, California",3931,421
6001435500,"Census Tract 4355, Alameda County, California",3467,528
6001435600,"Census Tract 4356, Alameda County, California",8970,857
6001435700,"Census Tract 4357, Alameda County, California",4071,385
6001435800,"Census Tract 4358, Alameda County, California",5419,491
6001435900,"Census Tract 4359, Alameda County, California",4895,492
6001436000,"Census Tract 4360, Alameda County, California",4440,427
6001436100,"Census Tract 4361, Alameda County, California",4600,298
6001436200,"Census Tract 4362, Alameda County, California",3273,438
6001436300,"Census Tract 4363, Alameda County, California",6785,633
6001436401,"Census Tract 4364.01, Alameda County, California",7467,820
6001436402,"Census Tract 4364.02, Alameda County, California",2860,319
6001436500,"Census Tract 4365, Alameda County, California",4816,474
6001436601,"Census Tract 4366.01, Alameda County, California",6574,592
6001436602,"Census Tract 4366.02, Alameda County, California",4580,556
6001436700,"Census Tract 4367, Alameda County, California",3597,368
6001436800,"Census Tract 4368, Alameda County, California",4012,473
6001436900,"Census Tract 4369, Alameda County, California",6189,658
6001437000,"Census Tract 4370, Alameda County, California",3124,401
6001437100,"Census Tract 4371, Alameda County, California",10868,754
6001437200,"Census Tract 4372, Alameda County, California",6258,517
6001437300,"Census Tract 4373, Alameda County, California",2901,398
6001437400,"Census Tract 4374, Alameda County, California",3712,449
6001437500,"Census Tract 4375, Alameda County, California",4144,544
6001437600,"Census Tract 4376, Alameda County, California",3328,434
6001437700,"Census Tract 4377, Alameda County, California",7306,920
6001437800,"Census Tract 4378, Alameda County, California",4113,440
6001437900,"Census Tract 4379, Alameda County, California",2333,365
6001438000,"Census Tract 4380, Alameda County, California",2733,346
6001438100,"Census Tract 4381, Alameda County, California",7794,948
6001438201,"Census Tract 4382.01, Alameda County, California",4392,516
6001438202,"Census Tract 4382.02, Alameda County, California",9920,707
6001438300,"Census Tract 4383, Alameda County, California",3584,440
6001438400,"Census Tract 4384, Alameda County, California",1991,211
6001440100,"Census Tract 4401, Alameda County, California",2819,1501
6001440200,"Census Tract 4402, Alameda County, California",6654,654
6001440301,"Census Tract 4403.01, Alameda County, California",7033,768
6001440302,"Census Tract 4403.02, Alameda County, California",6991,457
6001440304,"Census Tract 4403.04, Alameda County, California",4880,462
6001440305,"Census Tract 4403.05, Alameda County, California",4128,323
6001440306,"Census Tract 4403.06, Alameda County, California",4195,370
6001440307,"Census Tract 4403.07, Alameda County, California",3986,410
6001440308,"Census Tract 4403.08, Alameda County, California",6552,522
6001440309,"Census Tract 4403.09, Alameda County, California",9486,732
6001440331,"Census Tract 4403.31, Alameda County, California",2977,429
6001440332,"Census Tract 4403.32, Alameda County, California",3378,290
6001441100,"Census Tract 4411, Alameda County, California",4108,501
6001441200,"Census Tract 4412, Alameda County, California",6722,385
6001441301,"Census Tract 4413.01, Alameda County, California",3005,256
6001441302,"Census Tract 4413.02, Alameda County, California",5427,505
6001441401,"Census Tract 4414.01, Alameda County, California",6431,586
6001441402,"Census Tract 4414.02, Alameda County, California",4757,381
6001441501,"Census Tract 4415.01, Alameda County, California",6259,546
6001441503,"Census Tract 4415.03, Alameda County, California",11749,661
6001441521,"Census Tract 4415.21, Alameda County, California",6089,289
6001441522,"Census Tract 4415.22, Alameda County, California",5035,308
6001441601,"Census Tract 4416.01, Alameda County, California",4370,403
6001441602,"Census Tract 4416.02, Alameda County, California",6975,803
6001441700,"Census Tract 4417, Alameda County, California",5997,423
6001441800,"Census Tract 4418, Alameda County, California",7088,1587
6001441901,"Census Tract 4419.01, Alameda County, California",11782,844
6001441921,"Census Tract 4419.21, Alameda County, California",3618,605
6001441922,"Census Tract 4419.22, Alameda County, California",6473,747
6001441923,"Census Tract 4419.23, Alameda County, California",5417,631
6001442000,"Census Tract 4420, Alameda County, California",3352,199
6001442100,"Census Tract 4421, Alameda County, California",4722,222
6001442200,"Census Tract 4422, Alameda County, California",6562,445
6001442300,"Census Tract 4423, Alameda County, California",8029,473
6001442400,"Census Tract 4424, Alameda County, California",5661,549
6001442500,"Census Tract 4425, Alameda County, California",7032,694
6001442600,"Census Tract 4426, Alameda County, California",8328,489
6001442700,"Census Tract 4427, Alameda County, California",2700,179
6001442800,"Census Tract 4428, Alameda County, California",2601,349
6001442900,"Census Tract 4429, Alameda County, California",6450,662
6001443001,"Census Tract 4430.01, Alameda County, California",3306,339
6001443002,"Census Tract 4430.02, Alameda County, California",5306,403
6001443101,"Census Tract 4431.01, Alameda County, California",9522,567
6001443102,"Census Tract 4431.02, Alameda County, California",4881,375
6001443103,"Census Tract 4431.03, Alameda County, California",4589,1217
6001443200,"Census Tract 4432, Alameda County, California",3456,284
6001443301,"Census Tract 4433.01, Alameda County, California",3784,194
6001443302,"Census Tract 4433.02, Alameda County, California",5608,485
6001444100,"Census Tract 4441, Alameda County, California",7575,556
6001444200,"Census Tract 4442, Alameda County, California",5942,481
6001444300,"Census Tract 4443, Alameda County, California",8571,815
6001444400,"Census Tract 4444, Alameda County, California",5148,537
6001444500,"Census Tract 4445, Alameda County, California",6257,565
6001444600,"Census Tract 4446, Alameda County, California",8124,459
6001450100,"Census Tract 4501, Alameda County, California",12325,507
6001450200,"Census Tract 4502, Alameda County, California",4634,369
6001450300,"Census Tract 4503, Alameda County, California",5113,420
6001450400,"Census Tract 4504, Alameda County, California",6084,323
6001450500,"Census Tract 4505, Alameda County, California",7451,351
6001450601,"Census Tract 4506.01, Alameda County, California",3187,257
6001450602,"Census Tract 4506.02, Alameda County, California",8275,459
6001450603,"Census Tract 4506.03, Alameda County, California",4473,419
6001450604,"Census Tract 4506.04, Alameda County, California",4729,225
6001450605,"Census Tract 4506.05, Alameda County, California",3424,211
6001450606,"Census Tract 4506.06, Alameda County, California",5611,211
6001450607,"Census Tract 4506.07, Alameda County, California",4533,514
6001450701,"Census Tract 4507.01, Alameda County, California",7740,333
6001450703,"Census Tract 4507.03, Alameda County, California",8129,414
6001450721,"Census Tract 4507.21, Alameda County, California",7398,535
6001450722,"Census Tract 4507.22, Alameda County, California",9627,590
6001450741,"Census Tract 4507.41, Alameda County, California",4095,376
6001450742,"Census Tract 4507.42, Alameda County, California",4302,209
6001451101,"Census Tract 4511.01, Alameda County, California",6706,477
6001451102,"Census Tract 4511.02, Alameda County, California",3973,235
6001451201,"Census Tract 4512.01, Alameda County, California",6198,661
6001451202,"Census Tract 4512.02, Alameda County, California",3370,278
6001451300,"Census Tract 4513, Alameda County, California",6455,438
6001451401,"Census Tract 4514.01, Alameda County, California",5172,418
6001451402,"Census Tract 4514.02, Alameda County, California",8700,671
6001451501,"Census Tract 4515.01, Alameda County, California",4737,420
6001451502,"Census Tract 4515.02, Alameda County, California",7578,361
6001451503,"Census Tract 4515.03, Alameda County, California",5463,409
6001451601,"Census Tract 4516.01, Alameda County, California",4150,364
6001451602,"Census Tract 4516.02, Alameda County, California",6137,442
6001451701,"Census Tract 4517.01, Alameda County, California",3259,264
6001451702,"Census Tract 4517.02, Alameda County, California",8819,466
6003010000,"Census Tract 100, Alpine County, California",1153,159
6005000100,"Census Tract 1, Amador County, California",6192,532
6005000200,"Census Tract 2, Amador County, California",4889,416
6005000301,"Census Tract 3.01, Amador County, California",5791,287
6005000302,"Census Tract 3.02, Amador County, California",8389,603
6005000401,"Census Tract 4.01, Amador County, California",4563,462
6005000402,"Census Tract 4.02, Amador County, California",5552,486
6005000500,"Census Tract 5, Amador County, California",2663,368
6007000101,"Census Tract 1.01, Butte County, California",7840,571
6007000102,"Census Tract 1.02, Butte County, California",3584,340
6007000201,"Census Tract 2.01, Butte County, California",3481,317
6007000202,"Census Tract 2.02, Butte County, California",3161,322
6007000300,"Census Tract 3, Butte County, California",4163,437
6007000400,"Census Tract 4, Butte County, California",8550,515
6007000501,"Census Tract 5.01, Butte County, California",4707,651
6007000502,"Census Tract 5.02, Butte County, California",4857,538
6007000601,"Census Tract 6.01, Butte County, California",3499,390
6007000603,"Census Tract 6.03, Butte County, California",3625,622
6007000604,"Census Tract 6.04, Butte County, California",4637,520
6007000700,"Census Tract 7, Butte County, California",4703,430
6007000800,"Census Tract 8, Butte County, California",5595,474
6007000900,"Census Tract 9, Butte County, California",14417,737
6007001000,"Census Tract 10, Butte County, California",5268,768
6007001100,"Census Tract 11, Butte County, California",4269,457
6007001200,"Census Tract 12, Butte County, California",3844,521
6007001300,"Census Tract 13, Butte County, California",3520,528
6007001400,"Census Tract 14, Butte County, California",5664,385
6007001500,"Census Tract 15, Butte County, California",5374,388
6007001600,"Census Tract 16, Butte County, California",5305,569
6007001701,"Census Tract 17.01, Butte County, California",6142,590
6007001702,"Census Tract 17.02, Butte County, California",5911,448
6007001800,"Census Tract 18, Butte County, California",6216,462
6007001900,"Census Tract 19, Butte County, California",3547,352
6007002000,"Census Tract 20, Butte County, California",5023,487
6007002100,"Census Tract 21, Butte County, California",4307,421
6007002200,"Census Tract 22, Butte County, California",5182,401
6007002300,"Census Tract 23, Butte County, California",5066,373
6007002400,"Census Tract 24, Butte County, California",5122,366
6007002500,"Census Tract 25, Butte County, California",4714,415
6007002600,"Census Tract 26, Butte County, California",6291,626
6007002700,"Census Tract 27, Butte County, California",4801,424
6007002800,"Census Tract 28, Butte County, California",3697,443
6007002900,"Census Tract 29, Butte County, California",7963,748
6007003000,"Census Tract 30, Butte County, California",6600,915
6007003100,"Census Tract 31, Butte County, California",4780,344
6007003200,"Census Tract 32, Butte County, California",3982,458
6007003300,"Census Tract 33, Butte County, California",4881,595
6007003400,"Census Tract 34, Butte County, California",2921,353
6007003500,"Census Tract 35, Butte County, California",7404,528
6007003600,"Census Tract 36, Butte County, California",3304,385
6009000110,"Census Tract 1.10, Calaveras County, California",9315,626
6009000120,"Census Tract 1.20, Calaveras County, California",4229,491
6009000210,"Census Tract 2.10, Calaveras County, California",9773,655
6009000220,"Census Tract 2.20, Calaveras County, California",6402,618
6009000300,"Census Tract 3, Calaveras County, California",6621,628
6009000400,"Census Tract 4, Calaveras County, California",4680,634
6009000500,"Census Tract 5, Calaveras County, California",5528,689
6011000100,"Census Tract 1, Colusa County, California",5002,363
6011000200,"Census Tract 2, Colusa County, California",5290,368
6011000300,"Census Tract 3, Colusa County, California",5923,398
6011000400,"Census Tract 4, Colusa County, California",2402,291
6011000500,"Census Tract 5, Colusa County, California",2384,295
6013301000,"Census Tract 3010, Contra Costa County, California",3604,517
6013302002,"Census Tract 3020.02, Contra Costa County, California",10258,729
6013302003,"Census Tract 3020.03, Contra Costa County, California",10317,612
6013302004,"Census Tract 3020.04, Contra Costa County, California",14514,870
6013303100,"Census Tract 3031, Contra Costa County, California",15086,646
6013303200,"Census Tract 3032, Contra Costa County, California",37710,999
6013304000,"Census Tract 3040, Contra Costa County, California",16733,1001
6013305000,"Census Tract 3050, Contra Costa County, California",5735,720
6013306001,"Census Tract 3060.01, Contra Costa County, California",8431,743
6013306002,"Census Tract 3060.02, Contra Costa County, California",3481,426
6013307101,"Census Tract 3071.01, Contra Costa County, California",4134,321
6013307102,"Census Tract 3071.02, Contra Costa County, California",4779,487
6013307201,"Census Tract 3072.01, Contra Costa County, California",2558,348
6013307202,"Census Tract 3072.02, Contra Costa County, California",3749,625
6013307204,"Census Tract 3072.04, Contra Costa County, California",4007,295
6013307205,"Census Tract 3072.05, Contra Costa County, California",6661,711
6013308001,"Census Tract 3080.01, Contra Costa County, California",7234,656
6013308002,"Census Tract 3080.02, Contra Costa County, California",4506,359
6013309000,"Census Tract 3090, Contra Costa County, California",2916,246
6013310000,"Census Tract 3100, Contra Costa County, California",5060,557
6013311000,"Census Tract 3110, Contra Costa County, California",4610,611
6013312000,"Census Tract 3120, Contra Costa County, California",2292,464
6013313101,"Census Tract 3131.01, Contra Costa County, California",7267,807
6013313102,"Census Tract 3131.02, Contra Costa County, California",4394,576
6013313103,"Census Tract 3131.03, Contra Costa County, California",7316,611
6013313201,"Census Tract 3132.01, Contra Costa County, California",8804,775
6013313202,"Census Tract 3132.02, Contra Costa County, California",9292,772
6013314102,"Census Tract 3141.02, Contra Costa County, California",6678,597
6013314103,"Census Tract 3141.03, Contra Costa County, California",5674,531
6013314104,"Census Tract 3141.04, Contra Costa County, California",7167,590
6013314200,"Census Tract 3142, Contra Costa County, California",6491,624
6013315000,"Census Tract 3150, Contra Costa County, California",4157,393
6013316000,"Census Tract 3160, Contra Costa County, California",1413,341
6013317000,"Census Tract 3170, Contra Costa County, California",1916,242
6013318000,"Census Tract 3180, Contra Costa County, California",3845,484
6013319000,"Census Tract 3190, Contra Costa County, California",7826,597
6013320001,"Census Tract 3200.01, Contra Costa County, California",3632,282
6013320002,"Census Tract 3200.02, Contra Costa County, California",8142,492
6013321101,"Census Tract 3211.01, Contra Costa County, California",6076,437
6013321102,"Census Tract 3211.02, Contra Costa County, California",6678,284
6013321103,"Census Tract 3211.03, Contra Costa County, California",4855,326
6013321200,"Census Tract 3212, Contra Costa County, California",5502,434
6013322000,"Census Tract 3220, Contra Costa County, California",6204,347
6013323000,"Census Tract 3230, Contra Costa County, California",3924,248
6013324000,"Census Tract 3240, Contra Costa County, California",9283,737
6013325000,"Census Tract 3250, Contra Costa County, California",5449,484
6013326000,"Census Tract 3260, Contra Costa County, California",3339,272
6013327000,"Census Tract 3270, Contra Costa County, California",6647,652
6013328000,"Census Tract 3280, Contra Costa County, California",2173,417
6013329000,"Census Tract 3290, Contra Costa County, California",6058,402
6013330000,"Census Tract 3300, Contra Costa County, California",5851,522
6013331000,"Census Tract 3310, Contra Costa County, California",6648,556
6013332000,"Census Tract 3320, Contra Costa County, California",7553,539
6013333100,"Census Tract 3331, Contra Costa County, California",8685,536
6013333200,"Census Tract 3332, Contra Costa County, California",5637,401
6013334001,"Census Tract 3340.01, Contra Costa County, California",3945,287
6013334003,"Census Tract 3340.03, Contra Costa County, California",3780,212
6013334004,"Census Tract 3340.04, Contra Costa County, California",7023,472
6013334005,"Census Tract 3340.05, Contra Costa County, California",1209,158
6013335000,"Census Tract 3350, Contra Costa County, California",3715,426
6013336101,"Census Tract 3361.01, Contra Costa County, California",4295,454
6013336102,"Census Tract 3361.02, Contra Costa County, California",7108,517
6013336200,"Census Tract 3362, Contra Costa County, California",8547,755
6013337100,"Census Tract 3371, Contra Costa County, California",3305,376
6013337200,"Census Tract 3372, Contra Costa County, California",6650,395
6013337300,"Census Tract 3373, Contra Costa County, California",6419,364
6013338100,"Census Tract 3381, Contra Costa County, California",8153,857
6013338201,"Census Tract 3382.01, Contra Costa County, California",3717,265
6013338202,"Census Tract 3382.02, Contra Costa County, California",10449,470
6013338301,"Census Tract 3383.01, Contra Costa County, California",2895,143
6013338302,"Census Tract 3383.02, Contra Costa County, California",5773,328
6013339000,"Census Tract 3390, Contra Costa County, California",8221,761
6013340001,"Census Tract 3400.01, Contra Costa County, California",5311,403
6013340002,"Census Tract 3400.02, Contra Costa County, California",7456,370
6013341000,"Census Tract 3410, Contra Costa County, California",5470,331
6013342000,"Census Tract 3420, Contra Costa County, California",6056,362
6013343001,"Census Tract 3430.01, Contra Costa County, California",4887,281
6013343002,"Census Tract 3430.02, Contra Costa County, California",4951,373
6013343003,"Census Tract 3430.03, Contra Costa County, California",3880,278
6013344000,"Census Tract 3440, Contra Costa County, California",1321,198
6013345101,"Census Tract 3451.01, Contra Costa County, California",4248,234
6013345102,"Census Tract 3451.02, Contra Costa County, California",3204,165
6013345103,"Census Tract 3451.03, Contra Costa County, California",4237,288
6013345105,"Census Tract 3451.05, Contra Costa County, California",5832,410
6013345107,"Census Tract 3451.07, Contra Costa County, California",9950,380
6013345108,"Census Tract 3451.08, Contra Costa County, California",5382,357
6013345109,"Census Tract 3451.09, Contra Costa County, California",8255,454
6013345110,"Census Tract 3451.10, Contra Costa County, California",6576,368
6013345201,"Census Tract 3452.01, Contra Costa County, California",10237,498
6013345202,"Census Tract 3452.02, Contra Costa County, California",6359,383
6013346101,"Census Tract 3461.01, Contra Costa County, California",3559,155
6013346102,"Census Tract 3461.02, Contra Costa County, California",6056,422
6013346201,"Census Tract 3462.01, Contra Costa County, California",7815,455
6013346202,"Census Tract 3462.02, Contra Costa County, California",10929,512
6013347000,"Census Tract 3470, Contra Costa County, California",6391,356
6013348000,"Census Tract 3480, Contra Costa County, California",4515,313
6013349000,"Census Tract 3490, Contra Costa County, California",4852,300
6013350000,"Census Tract 3500, Contra Costa County, California",5759,385
6013351100,"Census Tract 3511, Contra Costa County, California",8122,372
6013351200,"Census Tract 3512, Contra Costa County, California",6275,307
