Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
6001407600,"Census Tract 4076, Alameda County, California",486200,52575
6001407700,"Census Tract 4077, Alameda County, California",477400,28349
6001407800,"Census Tract 4078, Alameda County, California",486700,58703
6001407900,"Census Tract 4079, Alameda County, California",607600,18227
6001408000,"Census Tract 4080, Alameda County, California",764400,45487
6001408100,"Census Tract 4081, Alameda County, California",754200,74781
6001408200,"Census Tract 4082, Alameda County, California",464100,29663
6001408300,"Census Tract 4083, Alameda County, California",442400,34672
6001408400,"Census Tract 4084, Alameda County, California",356500,35636
6001408500,"Census Tract 4085, Alameda County, California",384800,26280
6001408600,"Census Tract 4086, Alameda County, California",393300,53961
6001408700,"Census Tract 4087, Alameda County, California",392400,30731
6001408800,"Census Tract 4088, Alameda County, California",376000,34165
6001408900,"Census Tract 4089, Alameda County, California",239900,94882
6001409000,"Census Tract 4090, Alameda County, California",384500,40422
6001409100,"Census Tract 4091, Alameda County, California",295000,75652
6001409200,"Census Tract 4092, Alameda County, California",416400,36666
6001409300,"Census Tract 4093, Alameda County, California",414500,47491
6001409400,"Census Tract 4094, Alameda County, California",359300,43377
6001409500,"Census Tract 4095, Alameda County, California",432600,69047
6001409600,"Census Tract 4096, Alameda County, California",396400,40546
6001409700,"Census Tract 4097, Alameda County, California",391400,48314
6001409800,"Census Tract 4098, Alameda County, California",473800,69974
6001409900,"Census Tract 4099, Alameda County, California",654500,31448
6001410000,"Census Tract 4100, Alameda County, California",685200,54540
6001410100,"Census Tract 4101, Alameda County, California",444600,56132
6001410200,"Census Tract 4102, Alameda County, California",329300,49900
6001410300,"Census Tract 4103, Alameda County, California",433400,49258
6001410400,"Census Tract 4104, Alameda County, California",367000,22405
6001420100,"Census Tract 4201, Alameda County, California",680600,30421
6001420200,"Census Tract 4202, Alameda County, California",608400,31865
6001420300,"Census Tract 4203, Alameda County, California",518800,54240
6001420400,"Census Tract 4204, Alameda County, California",-,**
6001420500,"Census Tract 4205, Alameda County, California",610400,42148
6001420600,"Census Tract 4206, Alameda County, California",716900,44727
6001421100,"Census Tract 4211, Alameda County, California",876400,49656
6001421200,"Census Tract 4212, Alameda County, California","1,000,000+",***
6001421300,"Census Tract 4213, Alameda County, California",849600,21202
6001421400,"Census Tract 4214, Alameda County, California",843800,52139
6001421500,"Census Tract 4215, Alameda County, California",922700,39414
6001421600,"Census Tract 4216, Alameda County, California",887200,46748
6001421700,"Census Tract 4217, Alameda County, California",739000,97632
6001421800,"Census Tract 4218, Alameda County, California",764700,63419
6001421900,"Census Tract 4219, Alameda County, California",628100,34155
6001422000,"Census Tract 4220, Alameda County, California",582900,88894
6001422100,"Census Tract 4221, Alameda County, California",602100,42617
6001422200,"Census Tract 4222, Alameda County, California",603200,28742
6001422300,"Census Tract 4223, Alameda County, California",649100,43573
6001422400,"Census Tract 4224, Alameda County, California",620000,207000
6001422500,"Census Tract 4225, Alameda County, California",677300,124574
6001422600,"Census Tract 4226, Alameda County, California",-,**
6001422700,"Census Tract 4227, Alameda County, California","1,000,000+",***
6001422800,"Census Tract 4228, Alameda County, California",-,**
6001422900,"Census Tract 4229, Alameda County, California",473500,523662
6001423000,"Census Tract 4230, Alameda County, California",612000,42272
6001423100,"Census Tract 4231, Alameda County, California",587800,31148
6001423200,"Census Tract 4232, Alameda County, California",511300,73748
6001423300,"Census Tract 4233, Alameda County, California",585800,20157
6001423400,"Census Tract 4234, Alameda County, California",545900,46583
6001423500,"Census Tract 4235, Alameda County, California",672800,120653
6001423601,"Census Tract 4236.01, Alameda County, California",771600,102301
6001423602,"Census Tract 4236.02, Alameda County, California",589800,117044
6001423700,"Census Tract 4237, Alameda County, California","1,000,000+",***
6001423800,"Census Tract 4238, Alameda County, California","1,000,000+",***
6001423901,"Census Tract 4239.01, Alameda County, California",488200,89827
6001423902,"Census Tract 4239.02, Alameda County, California",823400,155573
6001424001,"Census Tract 4240.01, Alameda County, California",643700,83031
6001424002,"Census Tract 4240.02, Alameda County, California",431900,51871
6001425100,"Census Tract 4251, Alameda County, California",435100,35021
6001426100,"Census Tract 4261, Alameda County, California","1,000,000+",***
6001426200,"Census Tract 4262, Alameda County, California","1,000,000+",***
6001427100,"Census Tract 4271, Alameda County, California",813800,44317
6001427200,"Census Tract 4272, Alameda County, California",553900,60685
6001427300,"Census Tract 4273, Alameda County, California",597800,30874
6001427400,"Census Tract 4274, Alameda County, California",870900,45931
6001427500,"Census Tract 4275, Alameda County, California",-,**
6001427600,"Census Tract 4276, Alameda County, California",511000,237778
6001427700,"Census Tract 4277, Alameda County, California",626800,37725
6001427800,"Census Tract 4278, Alameda County, California",687300,53299
6001427900,"Census Tract 4279, Alameda County, California",701500,55234
6001428000,"Census Tract 4280, Alameda County, California",396200,210693
6001428100,"Census Tract 4281, Alameda County, California",687800,50153
6001428200,"Census Tract 4282, Alameda County, California",663400,27664
6001428301,"Census Tract 4283.01, Alameda County, California",602600,17415
6001428302,"Census Tract 4283.02, Alameda County, California",819100,24938
6001428400,"Census Tract 4284, Alameda County, California",610300,43058
6001428500,"Census Tract 4285, Alameda County, California",689300,85800
6001428600,"Census Tract 4286, Alameda County, California",503800,66886
6001430100,"Census Tract 4301, Alameda County, California",760800,39109
6001430200,"Census Tract 4302, Alameda County, California",683500,22089
6001430300,"Census Tract 4303, Alameda County, California",681800,32328
6001430400,"Census Tract 4304, Alameda County, California",671000,34826
6001430500,"Census Tract 4305, Alameda County, California",585400,33337
6001430600,"Census Tract 4306, Alameda County, California",629800,29300
6001430700,"Census Tract 4307, Alameda County, California",622600,26679
6001430800,"Census Tract 4308, Alameda County, California",567900,21113
6001430900,"Census Tract 4309, Alameda County, California",547200,91336
6001431000,"Census Tract 4310, Alameda County, California",455600,61542
6001431100,"Census Tract 4311, Alameda County, California",482700,55528
6001431200,"Census Tract 4312, Alameda County, California",449400,25533
6001432100,"Census Tract 4321, Alameda County, California",541200,33352
6001432200,"Census Tract 4322, Alameda County, California",584600,38505
6001432300,"Census Tract 4323, Alameda County, California",573000,31615
6001432400,"Census Tract 4324, Alameda County, California",536300,40280
6001432500,"Census Tract 4325, Alameda County, California",489700,32652
6001432600,"Census Tract 4326, Alameda County, California",415000,47997
6001432700,"Census Tract 4327, Alameda County, California",570000,31817
6001432800,"Census Tract 4328, Alameda County, California",715700,58168
6001433000,"Census Tract 4330, Alameda County, California",549700,32360
6001433101,"Census Tract 4331.01, Alameda County, California",440300,47494
6001433102,"Census Tract 4331.02, Alameda County, California",513800,46592
6001433200,"Census Tract 4332, Alameda County, California",496500,39043
6001433300,"Census Tract 4333, Alameda County, California",559800,27350
6001433400,"Census Tract 4334, Alameda County, California",489600,42104
6001433500,"Census Tract 4335, Alameda County, California",545400,25143
6001433600,"Census Tract 4336, Alameda County, California",489100,55736
6001433700,"Census Tract 4337, Alameda County, California",403400,45527
6001433800,"Census Tract 4338, Alameda County, California",498500,60100
6001433900,"Census Tract 4339, Alameda County, California",404700,116157
6001434000,"Census Tract 4340, Alameda County, California",447600,84377
6001435101,"Census Tract 4351.01, Alameda County, California",794100,49672
6001435102,"Census Tract 4351.02, Alameda County, California",696200,56982
6001435200,"Census Tract 4352, Alameda County, California",569900,33588
6001435300,"Census Tract 4353, Alameda County, California",515500,59255
6001435400,"Census Tract 4354, Alameda County, California",469700,40189
6001435500,"Census Tract 4355, Alameda County, California",494100,57465
6001435600,"Census Tract 4356, Alameda County, California",399500,35219
6001435700,"Census Tract 4357, Alameda County, California",489500,41688
6001435800,"Census Tract 4358, Alameda County, California",497100,37922
6001435900,"Census Tract 4359, Alameda County, California",531600,34176
6001436000,"Census Tract 4360, Alameda County, California",496200,47287
6001436100,"Census Tract 4361, Alameda County, California",489300,34683
6001436200,"Census Tract 4362, Alameda County, California",432600,43243
6001436300,"Census Tract 4363, Alameda County, California",506300,60427
6001436401,"Census Tract 4364.01, Alameda County, California",494700,39311
6001436402,"Census Tract 4364.02, Alameda County, California",717400,45460
6001436500,"Census Tract 4365, Alameda County, California",445100,28999
6001436601,"Census Tract 4366.01, Alameda County, California",460600,67786
6001436602,"Census Tract 4366.02, Alameda County, California",462300,60577
6001436700,"Census Tract 4367, Alameda County, California",431800,80095
6001436800,"Census Tract 4368, Alameda County, California",539900,47542
6001436900,"Census Tract 4369, Alameda County, California",549500,35391
6001437000,"Census Tract 4370, Alameda County, California",451700,81690
6001437100,"Census Tract 4371, Alameda County, California",495800,50816
6001437200,"Census Tract 4372, Alameda County, California",503500,49218
6001437300,"Census Tract 4373, Alameda County, California",479000,58526
6001437400,"Census Tract 4374, Alameda County, California",503500,58689
6001437500,"Census Tract 4375, Alameda County, California",452800,29974
6001437600,"Census Tract 4376, Alameda County, California",539800,39365
6001437700,"Census Tract 4377, Alameda County, California",338500,96266
6001437800,"Census Tract 4378, Alameda County, California",467000,30298
6001437900,"Census Tract 4379, Alameda County, California",480200,49943
6001438000,"Census Tract 4380, Alameda County, California",567300,36178
6001438100,"Census Tract 4381, Alameda County, California",493100,40482
6001438201,"Census Tract 4382.01, Alameda County, California",362000,74010
6001438202,"Census Tract 4382.02, Alameda County, California",363600,60583
6001438300,"Census Tract 4383, Alameda County, California",525900,62515
6001438400,"Census Tract 4384, Alameda County, California",377700,56988
6001440100,"Census Tract 4401, Alameda County, California",439800,76373
6001440200,"Census Tract 4402, Alameda County, California",527100,56699
6001440301,"Census Tract 4403.01, Alameda County, California",559500,40660
6001440302,"Census Tract 4403.02, Alameda County, California",617600,17265
6001440304,"Census Tract 4403.04, Alameda County, California",522800,50826
6001440305,"Census Tract 4403.05, Alameda County, California",602300,22001
6001440306,"Census Tract 4403.06, Alameda County, California",460300,23860
6001440307,"Census Tract 4403.07, Alameda County, California",278600,172036
6001440308,"Census Tract 4403.08, Alameda County, California",596000,35635
6001440309,"Census Tract 4403.09, Alameda County, California",660200,32420
6001440331,"Census Tract 4403.31, Alameda County, California",611900,40458
6001440332,"Census Tract 4403.32, Alameda County, California",843200,29765
6001441100,"Census Tract 4411, Alameda County, California",677000,38880
6001441200,"Census Tract 4412, Alameda County, California",702700,38644
6001441301,"Census Tract 4413.01, Alameda County, California",817100,77500
6001441302,"Census Tract 4413.02, Alameda County, California",625900,14876
6001441401,"Census Tract 4414.01, Alameda County, California",597800,20357
6001441402,"Census Tract 4414.02, Alameda County, California",677800,24784
6001441501,"Census Tract 4415.01, Alameda County, California",670100,37200
6001441503,"Census Tract 4415.03, Alameda County, California",628800,21336
6001441521,"Census Tract 4415.21, Alameda County, California",616100,16099
6001441522,"Census Tract 4415.22, Alameda County, California",623500,20908
6001441601,"Census Tract 4416.01, Alameda County, California",570600,20991
6001441602,"Census Tract 4416.02, Alameda County, California",535400,58388
6001441700,"Census Tract 4417, Alameda County, California",463200,38289
6001441800,"Census Tract 4418, Alameda County, California",576300,32002
6001441901,"Census Tract 4419.01, Alameda County, California",520500,37103
6001441921,"Census Tract 4419.21, Alameda County, California",562200,46185
6001441922,"Census Tract 4419.22, Alameda County, California",548200,43282
6001441923,"Census Tract 4419.23, Alameda County, California",411000,92027
6001442000,"Census Tract 4420, Alameda County, California","1,000,000+",***
6001442100,"Census Tract 4421, Alameda County, California",835500,34774
6001442200,"Census Tract 4422, Alameda County, California",859700,30092
6001442300,"Census Tract 4423, Alameda County, California",575800,30886
6001442400,"Census Tract 4424, Alameda County, California",578800,25069
6001442500,"Census Tract 4425, Alameda County, California",579000,28283
6001442600,"Census Tract 4426, Alameda County, California",718600,42398
6001442700,"Census Tract 4427, Alameda County, California",664700,23031
6001442800,"Census Tract 4428, Alameda County, California",589900,29034
6001442900,"Census Tract 4429, Alameda County, California",611900,11669
6001443001,"Census Tract 4430.01, Alameda County, California",558500,40125
6001443002,"Census Tract 4430.02, Alameda County, California",527900,26617
6001443101,"Census Tract 4431.01, Alameda County, California",948500,44119
6001443102,"Census Tract 4431.02, Alameda County, California",932800,37135
6001443103,"Census Tract 4431.03, Alameda County, California","1,000,000+",***
6001443200,"Census Tract 4432, Alameda County, California","1,000,000+",***
6001443301,"Census Tract 4433.01, Alameda County, California",773400,37378
6001443302,"Census Tract 4433.02, Alameda County, California",584700,46224
6001444100,"Census Tract 4441, Alameda County, California",671800,24919
6001444200,"Census Tract 4442, Alameda County, California",544300,23629
6001444300,"Census Tract 4443, Alameda County, California",603400,44004
6001444400,"Census Tract 4444, Alameda County, California",487200,31212
6001444500,"Census Tract 4445, Alameda County, California",502500,53155
6001444600,"Census Tract 4446, Alameda County, California",540200,30005
6001450100,"Census Tract 4501, Alameda County, California",785000,27154
6001450200,"Census Tract 4502, Alameda County, California",625500,59646
6001450300,"Census Tract 4503, Alameda County, California",607600,10969
6001450400,"Census Tract 4504, Alameda County, California",601700,18562
6001450500,"Census Tract 4505, Alameda County, California",725900,35601
6001450601,"Census Tract 4506.01, Alameda County, California","1,000,000+",***
6001450602,"Census Tract 4506.02, Alameda County, California",784800,46143
6001450603,"Census Tract 4506.03, Alameda County, California",647000,15484
6001450604,"Census Tract 4506.04, Alameda County, California",866100,15559
6001450605,"Census Tract 4506.05, Alameda County, California",778900,39061
6001450606,"Census Tract 4506.06, Alameda County, California",873300,16156
6001450607,"Census Tract 4506.07, Alameda County, California",900500,84758
6001450701,"Census Tract 4507.01, Alameda County, California","1,000,000+",***
6001450703,"Census Tract 4507.03, Alameda County, California",708200,30223
6001450721,"Census Tract 4507.21, Alameda County, California",738800,53489
6001450722,"Census Tract 4507.22, Alameda County, California",683200,29724
6001450741,"Census Tract 4507.41, Alameda County, California",814400,38675
6001450742,"Census Tract 4507.42, Alameda County, California",668600,45589
6001451101,"Census Tract 4511.01, Alameda County, California",689900,38029
6001451102,"Census Tract 4511.02, Alameda County, California",927800,57677
6001451201,"Census Tract 4512.01, Alameda County, California",526900,44413
6001451202,"Census Tract 4512.02, Alameda County, California",563100,30938
6001451300,"Census Tract 4513, Alameda County, California",588700,34885
6001451401,"Census Tract 4514.01, Alameda County, California",658600,29949
6001451402,"Census Tract 4514.02, Alameda County, California",550400,37474
6001451501,"Census Tract 4515.01, Alameda County, California",769800,55745
6001451502,"Census Tract 4515.02, Alameda County, California",627800,22235
6001451503,"Census Tract 4515.03, Alameda County, California",556100,37992
6001451601,"Census Tract 4516.01, Alameda County, California",775600,72059
6001451602,"Census Tract 4516.02, Alameda County, California",627900,32816
6001451701,"Census Tract 4517.01, Alameda County, California",573300,33289
6001451702,"Census Tract 4517.02, Alameda County, California",658200,21329
6003010000,"Census Tract 100, Alpine County, California",433300,48956
6005000100,"Census Tract 1, Amador County, California",344000,15214
6005000200,"Census Tract 2, Amador County, California",400900,66405
6005000301,"Census Tract 3.01, Amador County, California",362200,54175
6005000302,"Census Tract 3.02, Amador County, California",327600,21195
6005000401,"Census Tract 4.01, Amador County, California",357000,22775
6005000402,"Census Tract 4.02, Amador County, California",361400,24746
6005000500,"Census Tract 5, Amador County, California",386500,39846
6007000101,"Census Tract 1.01, Butte County, California",320900,16863
6007000102,"Census Tract 1.02, Butte County, California",264600,22435
6007000201,"Census Tract 2.01, Butte County, California",267700,93140
6007000202,"Census Tract 2.02, Butte County, California",154400,93870
6007000300,"Census Tract 3, Butte County, California",210300,19744
6007000400,"Census Tract 4, Butte County, California",342800,21436
6007000501,"Census Tract 5.01, Butte County, California",397900,31219
6007000502,"Census Tract 5.02, Butte County, California",304900,57557
6007000601,"Census Tract 6.01, Butte County, California",358700,17095
6007000603,"Census Tract 6.03, Butte County, California",344100,47653
6007000604,"Census Tract 6.04, Butte County, California",343000,32007
6007000700,"Census Tract 7, Butte County, California",347200,29693
6007000800,"Census Tract 8, Butte County, California",325200,19345
6007000900,"Census Tract 9, Butte County, California",359800,14137
6007001000,"Census Tract 10, Butte County, California",278500,50798
6007001100,"Census Tract 11, Butte County, California",285700,99252
6007001200,"Census Tract 12, Butte County, California",254500,44217
6007001300,"Census Tract 13, Butte County, California",227000,16400
6007001400,"Census Tract 14, Butte County, California",456900,51696
6007001500,"Census Tract 15, Butte County, California",470200,59496
6007001600,"Census Tract 16, Butte County, California",416900,36387
6007001701,"Census Tract 17.01, Butte County, California",198400,25133
6007001702,"Census Tract 17.02, Butte County, California",204300,20031
6007001800,"Census Tract 18, Butte County, California",231500,23292
6007001900,"Census Tract 19, Butte County, California",294200,42236
6007002000,"Census Tract 20, Butte County, California",226300,18365
6007002100,"Census Tract 21, Butte County, California",239600,20498
6007002200,"Census Tract 22, Butte County, California",293800,28779
6007002300,"Census Tract 23, Butte County, California",270700,46101
6007002400,"Census Tract 24, Butte County, California",209300,20861
6007002500,"Census Tract 25, Butte County, California",220000,24128
6007002600,"Census Tract 26, Butte County, California",276700,29333
6007002700,"Census Tract 27, Butte County, California",232100,17095
6007002800,"Census Tract 28, Butte County, California",189000,27740
6007002900,"Census Tract 29, Butte County, California",217200,20355
6007003000,"Census Tract 30, Butte County, California",165100,37384
6007003100,"Census Tract 31, Butte County, California",243400,20143
6007003200,"Census Tract 32, Butte County, California",160300,13842
6007003300,"Census Tract 33, Butte County, California",279800,31187
6007003400,"Census Tract 34, Butte County, California",266100,45071
6007003500,"Census Tract 35, Butte County, California",226300,13242
6007003600,"Census Tract 36, Butte County, California",245200,25885
6009000110,"Census Tract 1.10, Calaveras County, California",346500,34207
6009000120,"Census Tract 1.20, Calaveras County, California",360500,39376
6009000210,"Census Tract 2.10, Calaveras County, California",396600,27515
6009000220,"Census Tract 2.20, Calaveras County, California",351200,17631
6009000300,"Census Tract 3, Calaveras County, California",341200,24166
6009000400,"Census Tract 4, Calaveras County, California",331700,36071
6009000500,"Census Tract 5, Calaveras County, California",444200,41834
6011000100,"Census Tract 1, Colusa County, California",321200,32011
6011000200,"Census Tract 2, Colusa County, California",270900,30635
6011000300,"Census Tract 3, Colusa County, California",303600,40895
6011000400,"Census Tract 4, Colusa County, California",267200,60223
6011000500,"Census Tract 5, Colusa County, California",270100,41522
6013301000,"Census Tract 3010, Contra Costa County, California",296900,85709
6013302002,"Census Tract 3020.02, Contra Costa County, California",415400,35721
6013302003,"Census Tract 3020.03, Contra Costa County, California",410700,17460
6013302004,"Census Tract 3020.04, Contra Costa County, California",457400,22420
6013303100,"Census Tract 3031, Contra Costa County, California",523700,30007
6013303200,"Census Tract 3032, Contra Costa County, California",527300,22581
6013304000,"Census Tract 3040, Contra Costa County, California",642200,22973
6013305000,"Census Tract 3050, Contra Costa County, California",312500,72498
6013306001,"Census Tract 3060.01, Contra Costa County, California",398100,31976
6013306002,"Census Tract 3060.02, Contra Costa County, California",377500,51501
6013307101,"Census Tract 3071.01, Contra Costa County, California",432700,31415
6013307102,"Census Tract 3071.02, Contra Costa County, California",347700,33511
6013307201,"Census Tract 3072.01, Contra Costa County, California",356100,64481
6013307202,"Census Tract 3072.02, Contra Costa County, California",239700,29601
6013307204,"Census Tract 3072.04, Contra Costa County, California",424600,18671
6013307205,"Census Tract 3072.05, Contra Costa County, California",402800,46178
6013308001,"Census Tract 3080.01, Contra Costa County, California",424300,34024
6013308002,"Census Tract 3080.02, Contra Costa County, California",489500,49123
6013309000,"Census Tract 3090, Contra Costa County, California",442500,31352
6013310000,"Census Tract 3100, Contra Costa County, California",341200,30800
6013311000,"Census Tract 3110, Contra Costa County, California",341700,117692
6013312000,"Census Tract 3120, Contra Costa County, California",383500,38057
6013313101,"Census Tract 3131.01, Contra Costa County, California",356600,27120
6013313102,"Census Tract 3131.02, Contra Costa County, California",398900,34012
6013313103,"Census Tract 3131.03, Contra Costa County, California",477300,39211
6013313201,"Census Tract 3132.01, Contra Costa County, California",369000,39688
6013313202,"Census Tract 3132.02, Contra Costa County, California",466200,38279
6013314102,"Census Tract 3141.02, Contra Costa County, California",351900,40195
6013314103,"Census Tract 3141.03, Contra Costa County, California",350900,26022
6013314104,"Census Tract 3141.04, Contra Costa County, California",292300,26472
6013314200,"Census Tract 3142, Contra Costa County, California",333700,52407
6013315000,"Census Tract 3150, Contra Costa County, California",483600,28638
6013316000,"Census Tract 3160, Contra Costa County, California",-,**
6013317000,"Census Tract 3170, Contra Costa County, California",425400,101631
6013318000,"Census Tract 3180, Contra Costa County, California",463800,35575
6013319000,"Census Tract 3190, Contra Costa County, California",450400,25952
6013320001,"Census Tract 3200.01, Contra Costa County, California",489100,42287
6013320002,"Census Tract 3200.02, Contra Costa County, California",561900,24054
6013321101,"Census Tract 3211.01, Contra Costa County, California",576500,25634
6013321102,"Census Tract 3211.02, Contra Costa County, California",618200,24978
6013321103,"Census Tract 3211.03, Contra Costa County, California",661600,18528
6013321200,"Census Tract 3212, Contra Costa County, California",490300,64224
6013322000,"Census Tract 3220, Contra Costa County, California",654000,23305
6013323000,"Census Tract 3230, Contra Costa County, California",610100,19662
6013324000,"Census Tract 3240, Contra Costa County, California",547900,42853
6013325000,"Census Tract 3250, Contra Costa County, California",630200,32356
6013326000,"Census Tract 3260, Contra Costa County, California",732500,42646
6013327000,"Census Tract 3270, Contra Costa County, California",174900,32917
6013328000,"Census Tract 3280, Contra Costa County, California",331800,137548
6013329000,"Census Tract 3290, Contra Costa County, California",479900,40703
6013330000,"Census Tract 3300, Contra Costa County, California",457500,20034
6013331000,"Census Tract 3310, Contra Costa County, California",514100,45666
6013332000,"Census Tract 3320, Contra Costa County, California",499500,40033
6013333100,"Census Tract 3331, Contra Costa County, California",586700,21129
6013333200,"Census Tract 3332, Contra Costa County, California",540700,32899
6013334001,"Census Tract 3340.01, Contra Costa County, California",561600,40640
6013334003,"Census Tract 3340.03, Contra Costa County, California",624500,11080
6013334004,"Census Tract 3340.04, Contra Costa County, California",397600,44662
6013334005,"Census Tract 3340.05, Contra Costa County, California",564700,65854
6013335000,"Census Tract 3350, Contra Costa County, California",519400,49284
6013336101,"Census Tract 3361.01, Contra Costa County, California",454300,120311
6013336102,"Census Tract 3361.02, Contra Costa County, California",241900,34473
6013336200,"Census Tract 3362, Contra Costa County, California",357700,111999
6013337100,"Census Tract 3371, Contra Costa County, California",763800,52716
6013337200,"Census Tract 3372, Contra Costa County, California",298400,78287
6013337300,"Census Tract 3373, Contra Costa County, California",744000,33323
6013338100,"Census Tract 3381, Contra Costa County, California",478800,46319
6013338201,"Census Tract 3382.01, Contra Costa County, California",738400,63420
6013338202,"Census Tract 3382.02, Contra Costa County, California",552100,32881
6013338301,"Census Tract 3383.01, Contra Costa County, California",889800,25753
6013338302,"Census Tract 3383.02, Contra Costa County, California",860700,40370
6013339000,"Census Tract 3390, Contra Costa County, California",405900,39086
6013340001,"Census Tract 3400.01, Contra Costa County, California",612600,57906
6013340002,"Census Tract 3400.02, Contra Costa County, California",721200,36550
6013341000,"Census Tract 3410, Contra Costa County, California",843800,50528
6013342000,"Census Tract 3420, Contra Costa County, California","1,000,000+",***
6013343001,"Census Tract 3430.01, Contra Costa County, California",827900,57337
6013343002,"Census Tract 3430.02, Contra Costa County, California",758600,50053
6013343003,"Census Tract 3430.03, Contra Costa County, California",924700,45001
6013344000,"Census Tract 3440, Contra Costa County, California","1,000,000+",***
6013345101,"Census Tract 3451.01, Contra Costa County, California",649200,29930
6013345102,"Census Tract 3451.02, Contra Costa County, California",677500,27585
6013345103,"Census Tract 3451.03, Contra Costa County, California",751500,39765
6013345105,"Census Tract 3451.05, Contra Costa County, California",816000,31519
