Id2,Geography,All families - Total; Estimate; Families,All families - Total; Margin of Error; Families,All families - Percent  below poverty level; Estimate; Families,All families - Percent  below poverty level; Margin of Error; Families
6001403300,"Census Tract 4033, Alameda County, California",877,161,16.3,9.1
6001403400,"Census Tract 4034, Alameda County, California",684,203,1.5,2.7
6001403500,"Census Tract 4035, Alameda County, California",975,207,19.4,10.7
6001403600,"Census Tract 4036, Alameda County, California",794,180,1.8,3
6001403700,"Census Tract 4037, Alameda County, California",718,146,5.2,6
6001403800,"Census Tract 4038, Alameda County, California",750,132,0,5.2
6001403900,"Census Tract 4039, Alameda County, California",576,157,5.7,8.8
6001404000,"Census Tract 4040, Alameda County, California",491,108,3.3,4.8
6001404100,"Census Tract 4041, Alameda County, California",764,145,3.9,4.3
6001404200,"Census Tract 4042, Alameda County, California",872,79,0,4.5
6001404300,"Census Tract 4043, Alameda County, California",937,89,0,4.2
6001404400,"Census Tract 4044, Alameda County, California",1417,127,1.1,1.8
6001404501,"Census Tract 4045.01, Alameda County, California",520,78,2.7,4.2
6001404502,"Census Tract 4045.02, Alameda County, California",1683,211,2.1,2.4
6001404600,"Census Tract 4046, Alameda County, California",1418,106,0.8,1.2
6001404700,"Census Tract 4047, Alameda County, California",566,63,0,6.8
6001404800,"Census Tract 4048, Alameda County, California",546,122,0,7.1
6001404900,"Census Tract 4049, Alameda County, California",939,123,1.4,2.2
6001405000,"Census Tract 4050, Alameda County, California",753,94,1.3,1.7
6001405100,"Census Tract 4051, Alameda County, California",1394,86,2.7,2.4
6001405200,"Census Tract 4052, Alameda County, California",903,183,7.8,6.5
6001405300,"Census Tract 4053, Alameda County, California",1027,209,16.3,8.8
6001405400,"Census Tract 4054, Alameda County, California",1322,198,19.7,9.4
6001405500,"Census Tract 4055, Alameda County, California",722,154,23,12.8
6001405600,"Census Tract 4056, Alameda County, California",624,115,21.6,10
6001405700,"Census Tract 4057, Alameda County, California",604,114,11.8,11
6001405800,"Census Tract 4058, Alameda County, California",864,148,28.4,9.6
6001405900,"Census Tract 4059, Alameda County, California",1285,198,18.8,8.1
6001406000,"Census Tract 4060, Alameda County, California",513,135,18.1,10.7
6001406100,"Census Tract 4061, Alameda County, California",667,124,16.9,10.1
6001406201,"Census Tract 4062.01, Alameda County, California",1131,132,37.1,10.8
6001406202,"Census Tract 4062.02, Alameda County, California",854,118,28.3,13.6
6001406300,"Census Tract 4063, Alameda County, California",915,151,12.2,7.5
6001406400,"Census Tract 4064, Alameda County, California",408,67,23.3,10.7
6001406500,"Census Tract 4065, Alameda County, California",1245,176,12.9,6.3
6001406600,"Census Tract 4066, Alameda County, California",1804,212,10,5.6
6001406700,"Census Tract 4067, Alameda County, California",1278,168,6,4.6
6001406800,"Census Tract 4068, Alameda County, California",769,139,4.7,4.7
6001406900,"Census Tract 4069, Alameda County, California",1071,138,13.9,8.3
6001407000,"Census Tract 4070, Alameda County, California",1458,176,23.4,9.8
6001407100,"Census Tract 4071, Alameda County, California",1559,207,26.2,8.7
6001407200,"Census Tract 4072, Alameda County, California",1154,160,26,8.4
6001407300,"Census Tract 4073, Alameda County, California",567,91,31.6,10.7
6001407400,"Census Tract 4074, Alameda County, California",693,146,12,6.8
6001407500,"Census Tract 4075, Alameda County, California",858,124,25.2,10.1
6001407600,"Census Tract 4076, Alameda County, California",1620,222,26.5,10.7
6001407700,"Census Tract 4077, Alameda County, California",967,140,6.1,5.9
6001407800,"Census Tract 4078, Alameda County, California",437,100,2.7,4.6
6001407900,"Census Tract 4079, Alameda County, California",626,103,2.2,3.6
6001408000,"Census Tract 4080, Alameda County, California",697,75,0,5.6
6001408100,"Census Tract 4081, Alameda County, California",1446,200,2.2,2.7
6001408200,"Census Tract 4082, Alameda County, California",1074,134,18.2,9.2
6001408300,"Census Tract 4083, Alameda County, California",1150,148,22.3,8.5
6001408400,"Census Tract 4084, Alameda County, California",812,137,14.3,9.8
6001408500,"Census Tract 4085, Alameda County, California",1047,152,22.2,10.9
6001408600,"Census Tract 4086, Alameda County, California",1281,142,20,6.1
6001408700,"Census Tract 4087, Alameda County, California",1581,197,28.5,12.4
6001408800,"Census Tract 4088, Alameda County, California",1051,185,20.6,10.2
6001408900,"Census Tract 4089, Alameda County, California",564,132,32.4,15.4
6001409000,"Census Tract 4090, Alameda County, California",792,131,16.7,9.5
6001409100,"Census Tract 4091, Alameda County, California",483,99,18,12.6
6001409200,"Census Tract 4092, Alameda County, California",542,95,10.7,8.3
6001409300,"Census Tract 4093, Alameda County, California",1208,117,21.1,7.8
6001409400,"Census Tract 4094, Alameda County, California",863,129,17.5,7.7
6001409500,"Census Tract 4095, Alameda County, California",608,114,13.7,7.8
6001409600,"Census Tract 4096, Alameda County, California",1256,137,15.3,7.7
6001409700,"Census Tract 4097, Alameda County, California",1147,143,31.4,9.4
6001409800,"Census Tract 4098, Alameda County, California",822,114,15.7,7.9
6001409900,"Census Tract 4099, Alameda County, California",859,135,2.6,3.8
6001410000,"Census Tract 4100, Alameda County, California",762,141,2.4,3
6001410100,"Census Tract 4101, Alameda County, California",705,97,19.7,12.5
6001410200,"Census Tract 4102, Alameda County, California",631,120,11.4,9.8
6001410300,"Census Tract 4103, Alameda County, California",758,99,33.6,13.4
6001410400,"Census Tract 4104, Alameda County, California",854,138,22.7,9.5
6001420100,"Census Tract 4201, Alameda County, California",637,64,3.9,4.3
6001420200,"Census Tract 4202, Alameda County, California",596,79,5.9,5.1
6001420300,"Census Tract 4203, Alameda County, California",1079,128,4.9,5.2
6001420400,"Census Tract 4204, Alameda County, California",648,91,19.1,6.5
6001420500,"Census Tract 4205, Alameda County, California",470,77,1.7,2.7
6001420600,"Census Tract 4206, Alameda County, California",806,82,3,3.3
6001421100,"Census Tract 4211, Alameda County, California",525,73,7,7.9
6001421200,"Census Tract 4212, Alameda County, California",1093,88,7.5,7.3
6001421300,"Census Tract 4213, Alameda County, California",970,83,0.8,1.3
6001421400,"Census Tract 4214, Alameda County, California",379,59,0,10
6001421500,"Census Tract 4215, Alameda County, California",973,89,0,4
6001421600,"Census Tract 4216, Alameda County, California",892,91,2.4,2.6
6001421700,"Census Tract 4217, Alameda County, California",653,107,4.4,5.2
6001421800,"Census Tract 4218, Alameda County, California",432,86,0,8.8
6001421900,"Census Tract 4219, Alameda County, California",781,102,3.3,4.2
6001422000,"Census Tract 4220, Alameda County, California",235,65,7.7,9.1
6001422100,"Census Tract 4221, Alameda County, California",432,88,18.3,12.2
6001422200,"Census Tract 4222, Alameda County, California",512,109,4.1,5.6
6001422300,"Census Tract 4223, Alameda County, California",578,110,9.2,9.2
6001422400,"Census Tract 4224, Alameda County, California",520,133,12.5,10.4
6001422500,"Census Tract 4225, Alameda County, California",299,90,5.7,8.8
6001422600,"Census Tract 4226, Alameda County, California",9,15,100,100
6001422700,"Census Tract 4227, Alameda County, California",156,61,5.8,6.8
6001422800,"Census Tract 4228, Alameda County, California",151,99,4.6,8.7
6001422900,"Census Tract 4229, Alameda County, California",217,74,31.8,18.6
6001423000,"Census Tract 4230, Alameda County, California",885,142,2.1,3.3
6001423100,"Census Tract 4231, Alameda County, California",597,91,1.3,2
6001423200,"Census Tract 4232, Alameda County, California",463,84,9.1,6.4
6001423300,"Census Tract 4233, Alameda County, California",772,114,1.9,2.8
6001423400,"Census Tract 4234, Alameda County, California",914,126,9,6.1
6001423500,"Census Tract 4235, Alameda County, California",636,88,16.2,12.8
6001423601,"Census Tract 4236.01, Alameda County, California",500,87,3,3.4
6001423602,"Census Tract 4236.02, Alameda County, California",442,133,12.4,9.4
6001423700,"Census Tract 4237, Alameda County, California",373,66,2.1,3.3
6001423800,"Census Tract 4238, Alameda County, California",757,95,0,5.1
6001423901,"Census Tract 4239.01, Alameda County, California",336,69,10.1,9.7
6001423902,"Census Tract 4239.02, Alameda County, California",325,74,3.7,6.2
6001424001,"Census Tract 4240.01, Alameda County, California",519,107,14.3,10.2
6001424002,"Census Tract 4240.02, Alameda County, California",385,87,24.7,15.4
6001425100,"Census Tract 4251, Alameda County, California",1585,242,9.8,6.9
6001426100,"Census Tract 4261, Alameda County, California",1672,99,1.5,1.8
6001426200,"Census Tract 4262, Alameda County, California",1268,91,1.3,1.3
6001427100,"Census Tract 4271, Alameda County, California",966,85,2,3.1
6001427200,"Census Tract 4272, Alameda County, California",903,107,12.5,6.7
6001427300,"Census Tract 4273, Alameda County, California",1056,159,5.2,4.9
6001427400,"Census Tract 4274, Alameda County, California",371,91,5.7,9.5
6001427500,"Census Tract 4275, Alameda County, California",222,70,43.7,21.9
6001427600,"Census Tract 4276, Alameda County, California",740,100,12.7,6.1
6001427700,"Census Tract 4277, Alameda County, California",1186,177,13.1,6.9
6001427800,"Census Tract 4278, Alameda County, California",1109,159,10.7,7.6
6001427900,"Census Tract 4279, Alameda County, California",1020,149,4.1,4.9
6001428000,"Census Tract 4280, Alameda County, California",637,93,23.9,12.1
6001428100,"Census Tract 4281, Alameda County, California",991,140,7.5,8
6001428200,"Census Tract 4282, Alameda County, California",1394,185,0.9,1.4
6001428301,"Census Tract 4283.01, Alameda County, California",1582,148,2.6,2.3
6001428302,"Census Tract 4283.02, Alameda County, California",1977,137,1.3,1.5
6001428400,"Census Tract 4284, Alameda County, California",918,196,10.9,5.9
6001428500,"Census Tract 4285, Alameda County, California",729,126,14.7,9.9
6001428600,"Census Tract 4286, Alameda County, California",667,89,6.9,8
6001430100,"Census Tract 4301, Alameda County, California",2452,167,2.9,2.9
6001430200,"Census Tract 4302, Alameda County, California",1873,98,0.5,0.8
6001430300,"Census Tract 4303, Alameda County, California",989,79,1.3,2
6001430400,"Census Tract 4304, Alameda County, California",596,63,0,6.5
6001430500,"Census Tract 4305, Alameda County, California",1341,152,8.1,5.6
6001430600,"Census Tract 4306, Alameda County, California",1495,109,3.3,4.7
6001430700,"Census Tract 4307, Alameda County, California",912,101,5.9,5
6001430800,"Census Tract 4308, Alameda County, California",1334,112,2.4,3.5
6001430900,"Census Tract 4309, Alameda County, California",1181,145,7.2,4.5
6001431000,"Census Tract 4310, Alameda County, California",598,89,17.4,13.5
6001431100,"Census Tract 4311, Alameda County, California",738,103,6.5,4.5
6001431200,"Census Tract 4312, Alameda County, California",1389,169,9.1,7.7
6001432100,"Census Tract 4321, Alameda County, California",860,76,1,1.5
6001432200,"Census Tract 4322, Alameda County, California",819,95,3.3,3.7
6001432300,"Census Tract 4323, Alameda County, California",771,91,1.2,1.7
6001432400,"Census Tract 4324, Alameda County, California",1017,107,10.6,6.3
6001432500,"Census Tract 4325, Alameda County, California",1801,157,6.1,4.6
6001432600,"Census Tract 4326, Alameda County, California",1395,216,15.1,8.8
6001432700,"Census Tract 4327, Alameda County, California",629,84,0,6.2
6001432800,"Census Tract 4328, Alameda County, California",842,105,2,3
6001433000,"Census Tract 4330, Alameda County, California",829,106,9.5,7.5
6001433101,"Census Tract 4331.01, Alameda County, California",1416,227,6,5.1
6001433102,"Census Tract 4331.02, Alameda County, California",848,103,12.6,7.7
6001433200,"Census Tract 4332, Alameda County, California",1402,154,7.8,5
6001433300,"Census Tract 4333, Alameda County, California",1555,112,5.5,3.6
6001433400,"Census Tract 4334, Alameda County, California",1389,109,1.2,1.8
6001433500,"Census Tract 4335, Alameda County, California",846,82,1.4,2.1
6001433600,"Census Tract 4336, Alameda County, California",1333,135,8.4,6.1
6001433700,"Census Tract 4337, Alameda County, California",532,100,5.8,5.4
6001433800,"Census Tract 4338, Alameda County, California",1627,199,14,6.6
6001433900,"Census Tract 4339, Alameda County, California",1298,169,21.6,8.5
6001434000,"Census Tract 4340, Alameda County, California",970,113,23.2,9.1
6001435101,"Census Tract 4351.01, Alameda County, California",2733,226,1.4,1.5
6001435102,"Census Tract 4351.02, Alameda County, California",1077,99,2.5,2.5
6001435200,"Census Tract 4352, Alameda County, California",833,118,3,3.9
6001435300,"Census Tract 4353, Alameda County, California",940,149,16.7,8.7
6001435400,"Census Tract 4354, Alameda County, California",674,129,1.3,1.9
6001435500,"Census Tract 4355, Alameda County, California",712,121,6.6,4.6
6001435600,"Census Tract 4356, Alameda County, California",1918,216,15,6.5
6001435700,"Census Tract 4357, Alameda County, California",1090,108,13.5,8.4
6001435800,"Census Tract 4358, Alameda County, California",1270,114,6.9,6.2
6001435900,"Census Tract 4359, Alameda County, California",1207,110,5.5,5.4
6001436000,"Census Tract 4360, Alameda County, California",1001,106,2.2,2.4
6001436100,"Census Tract 4361, Alameda County, California",1108,133,4,4
6001436200,"Census Tract 4362, Alameda County, California",710,104,12.8,8.2
6001436300,"Census Tract 4363, Alameda County, California",1280,141,6,4.3
6001436401,"Census Tract 4364.01, Alameda County, California",1718,193,4.4,2.9
6001436402,"Census Tract 4364.02, Alameda County, California",681,97,1.3,2.2
6001436500,"Census Tract 4365, Alameda County, California",1039,126,6.4,5.1
6001436601,"Census Tract 4366.01, Alameda County, California",1372,144,19,8.5
6001436602,"Census Tract 4366.02, Alameda County, California",1001,157,10.5,7
6001436700,"Census Tract 4367, Alameda County, California",814,97,19.8,11
6001436800,"Census Tract 4368, Alameda County, California",968,129,1.7,2
6001436900,"Census Tract 4369, Alameda County, California",1462,148,12.2,6.9
6001437000,"Census Tract 4370, Alameda County, California",691,107,2.7,3.7
6001437100,"Census Tract 4371, Alameda County, California",2337,182,3.6,3.8
6001437200,"Census Tract 4372, Alameda County, California",1490,144,2.8,2.9
6001437300,"Census Tract 4373, Alameda County, California",682,109,4.7,4.4
6001437400,"Census Tract 4374, Alameda County, California",782,91,14.7,10.2
6001437500,"Census Tract 4375, Alameda County, California",847,121,21.4,9.8
6001437600,"Census Tract 4376, Alameda County, California",742,77,5.8,5.8
6001437700,"Census Tract 4377, Alameda County, California",1332,182,26.4,10.5
6001437800,"Census Tract 4378, Alameda County, California",997,126,1.2,1.8
6001437900,"Census Tract 4379, Alameda County, California",523,88,10.5,9.4
6001438000,"Census Tract 4380, Alameda County, California",604,123,4.6,5.8
6001438100,"Census Tract 4381, Alameda County, California",1585,146,0,2.5
6001438201,"Census Tract 4382.01, Alameda County, California",841,119,4.6,4.9
6001438202,"Census Tract 4382.02, Alameda County, California",2327,157,3.6,3.1
6001438300,"Census Tract 4383, Alameda County, California",774,100,3.5,4.7
6001438400,"Census Tract 4384, Alameda County, California",565,75,3.9,5.1
6001440100,"Census Tract 4401, Alameda County, California",490,101,0,7.8
6001440200,"Census Tract 4402, Alameda County, California",1292,127,14.7,6.9
6001440301,"Census Tract 4403.01, Alameda County, California",1807,182,7.8,5.1
6001440302,"Census Tract 4403.02, Alameda County, California",1640,110,4.8,3
6001440304,"Census Tract 4403.04, Alameda County, California",1161,104,5.8,5.1
6001440305,"Census Tract 4403.05, Alameda County, California",951,84,6.8,6.1
6001440306,"Census Tract 4403.06, Alameda County, California",860,83,12.8,10
6001440307,"Census Tract 4403.07, Alameda County, California",1087,129,10.9,6
6001440308,"Census Tract 4403.08, Alameda County, California",1639,158,9.1,4.8
6001440309,"Census Tract 4403.09, Alameda County, California",2519,192,3.3,2.5
6001440331,"Census Tract 4403.31, Alameda County, California",668,106,6.4,9.3
6001440332,"Census Tract 4403.32, Alameda County, California",859,75,0,4.5
6001441100,"Census Tract 4411, Alameda County, California",1051,121,0.6,1.1
6001441200,"Census Tract 4412, Alameda County, California",1680,163,4.2,4.3
6001441301,"Census Tract 4413.01, Alameda County, California",773,102,0,5
6001441302,"Census Tract 4413.02, Alameda County, California",1353,130,3.2,2.2
6001441401,"Census Tract 4414.01, Alameda County, California",1659,167,5.6,4
6001441402,"Census Tract 4414.02, Alameda County, California",1243,115,3,2.4
6001441501,"Census Tract 4415.01, Alameda County, California",1520,124,3,2.4
6001441503,"Census Tract 4415.03, Alameda County, California",3148,238,1.5,1.2
6001441521,"Census Tract 4415.21, Alameda County, California",1530,78,1.4,1.6
6001441522,"Census Tract 4415.22, Alameda County, California",1213,72,7.3,5.7
6001441601,"Census Tract 4416.01, Alameda County, California",1117,106,2.6,2
6001441602,"Census Tract 4416.02, Alameda County, California",1686,173,8.7,6.1
6001441700,"Census Tract 4417, Alameda County, California",1436,163,6.3,5.5
6001441800,"Census Tract 4418, Alameda County, California",1533,147,3.7,2.8
6001441901,"Census Tract 4419.01, Alameda County, California",3277,299,4.2,3
6001441921,"Census Tract 4419.21, Alameda County, California",855,128,4.3,2.9
6001441922,"Census Tract 4419.22, Alameda County, California",1731,242,2.6,2.7
6001441923,"Census Tract 4419.23, Alameda County, California",1285,186,4,3.6
6001442000,"Census Tract 4420, Alameda County, California",857,81,0,4.6
6001442100,"Census Tract 4421, Alameda County, California",1356,71,4,3.2
6001442200,"Census Tract 4422, Alameda County, California",1733,146,2.8,2.6
6001442300,"Census Tract 4423, Alameda County, California",1889,172,5,4.7
6001442400,"Census Tract 4424, Alameda County, California",1432,116,2.7,2.5
6001442500,"Census Tract 4425, Alameda County, California",1582,171,5.1,4.3
6001442600,"Census Tract 4426, Alameda County, California",2121,189,3.4,2.3
6001442700,"Census Tract 4427, Alameda County, California",777,67,0,5
6001442800,"Census Tract 4428, Alameda County, California",640,95,5,5.8
6001442900,"Census Tract 4429, Alameda County, California",1633,179,5.9,3.8
6001443001,"Census Tract 4430.01, Alameda County, California",695,60,5.8,4.2
6001443002,"Census Tract 4430.02, Alameda County, California",1348,126,3,3.4
6001443101,"Census Tract 4431.01, Alameda County, California",2470,128,2.5,1.9
6001443102,"Census Tract 4431.02, Alameda County, California",1306,74,1.1,1.6
6001443103,"Census Tract 4431.03, Alameda County, California",988,81,0,4
6001443200,"Census Tract 4432, Alameda County, California",952,71,0.9,1.4
6001443301,"Census Tract 4433.01, Alameda County, California",1056,59,2.2,3.5
6001443302,"Census Tract 4433.02, Alameda County, California",1361,153,0.8,1.3
6001444100,"Census Tract 4441, Alameda County, California",2083,134,4.2,2.6
6001444200,"Census Tract 4442, Alameda County, California",1412,128,1.8,2.1
6001444300,"Census Tract 4443, Alameda County, California",1950,179,10.5,5.2
6001444400,"Census Tract 4444, Alameda County, California",1140,110,7.9,6.3
6001444500,"Census Tract 4445, Alameda County, California",1386,128,10.3,7.1
6001444600,"Census Tract 4446, Alameda County, California",2159,188,2.4,2.1
6001450100,"Census Tract 4501, Alameda County, California",1655,128,2.8,1.8
6001450200,"Census Tract 4502, Alameda County, California",1023,145,8.3,6.5
6001450300,"Census Tract 4503, Alameda County, California",1362,116,3,2.3
6001450400,"Census Tract 4504, Alameda County, California",1601,127,4.2,3.7
6001450500,"Census Tract 4505, Alameda County, California",2128,131,0,1.9
6001450601,"Census Tract 4506.01, Alameda County, California",936,73,0,4.2
6001450602,"Census Tract 4506.02, Alameda County, California",2150,144,1.7,1.5
6001450603,"Census Tract 4506.03, Alameda County, California",1179,83,0.5,0.8
6001450604,"Census Tract 4506.04, Alameda County, California",1260,94,1.3,2
6001450605,"Census Tract 4506.05, Alameda County, California",911,79,1,1.7
6001450606,"Census Tract 4506.06, Alameda County, California",1633,82,0.7,0.9
6001450607,"Census Tract 4506.07, Alameda County, California",1081,119,4.3,3.4
6001450701,"Census Tract 4507.01, Alameda County, California",2129,117,2.8,2.2
6001450703,"Census Tract 4507.03, Alameda County, California",2070,136,2.9,2.6
6001450721,"Census Tract 4507.21, Alameda County, California",1979,184,0.4,0.6
6001450722,"Census Tract 4507.22, Alameda County, California",2463,209,0.8,1.2
6001450741,"Census Tract 4507.41, Alameda County, California",980,105,3.1,2.6
6001450742,"Census Tract 4507.42, Alameda County, California",1247,94,4.3,3.8
6001451101,"Census Tract 4511.01, Alameda County, California",1820,130,2.3,2.1
6001451102,"Census Tract 4511.02, Alameda County, California",1157,69,1,1.5
6001451201,"Census Tract 4512.01, Alameda County, California",1512,188,7.5,5.8
6001451202,"Census Tract 4512.02, Alameda County, California",865,99,4.4,3.9
6001451300,"Census Tract 4513, Alameda County, California",1722,156,0.9,1.3
6001451401,"Census Tract 4514.01, Alameda County, California",1293,157,5.6,4.8
6001451402,"Census Tract 4514.02, Alameda County, California",2084,202,6.3,4.3
6001451501,"Census Tract 4515.01, Alameda County, California",1174,119,4.4,4.5
6001451502,"Census Tract 4515.02, Alameda County, California",1988,152,9.2,4.9
6001451503,"Census Tract 4515.03, Alameda County, California",1463,108,3.2,3.2
6001451601,"Census Tract 4516.01, Alameda County, California",1094,103,1.8,3
6001451602,"Census Tract 4516.02, Alameda County, California",1412,137,2.3,2.6
6001451701,"Census Tract 4517.01, Alameda County, California",831,78,4.3,6.3
6001451702,"Census Tract 4517.02, Alameda County, California",2298,136,2.2,2.2
6003010000,"Census Tract 100, Alpine County, California",265,50,5.7,7.2
6005000100,"Census Tract 1, Amador County, California",2061,256,7.8,5.6
6005000200,"Census Tract 2, Amador County, California",1404,192,6.3,4.4
6005000301,"Census Tract 3.01, Amador County, California",460,79,3.7,3.1
6005000302,"Census Tract 3.02, Amador County, California",2520,238,8.5,4.6
6005000401,"Census Tract 4.01, Amador County, California",1212,142,2.7,2.3
6005000402,"Census Tract 4.02, Amador County, California",1609,204,4.7,4.1
6005000500,"Census Tract 5, Amador County, California",770,155,0.8,1.4
6007000101,"Census Tract 1.01, Butte County, California",1834,202,7.7,6.8
6007000102,"Census Tract 1.02, Butte County, California",951,104,17.1,10.1
6007000201,"Census Tract 2.01, Butte County, California",946,118,9,5.3
6007000202,"Census Tract 2.02, Butte County, California",774,128,15.4,10.7
6007000300,"Census Tract 3, Butte County, California",867,115,13.8,6.7
6007000400,"Census Tract 4, Butte County, California",2102,220,4.2,3.7
6007000501,"Census Tract 5.01, Butte County, California",960,133,11.9,7.8
6007000502,"Census Tract 5.02, Butte County, California",786,191,44.9,13.3
6007000601,"Census Tract 6.01, Butte County, California",866,117,7.7,5.5
6007000603,"Census Tract 6.03, Butte County, California",282,95,23.4,20.9
6007000604,"Census Tract 6.04, Butte County, California",524,86,45.4,12.2
6007000700,"Census Tract 7, Butte County, California",908,134,7.8,5.8
6007000800,"Census Tract 8, Butte County, California",1446,204,4.1,3.4
6007000900,"Census Tract 9, Butte County, California",3267,215,7.1,2.7
6007001000,"Census Tract 10, Butte County, California",693,165,30.3,14.6
6007001100,"Census Tract 11, Butte County, California",672,139,17.6,11.5
6007001200,"Census Tract 12, Butte County, California",547,117,17.9,10.8
6007001300,"Census Tract 13, Butte County, California",725,113,23.4,9.3
6007001400,"Census Tract 14, Butte County, California",1659,142,4.9,3.9
6007001500,"Census Tract 15, Butte County, California",1392,142,2.6,2.2
6007001600,"Census Tract 16, Butte County, California",1599,170,2.8,2.2
6007001701,"Census Tract 17.01, Butte County, California",1873,211,6,3.9
6007001702,"Census Tract 17.02, Butte County, California",1789,182,10.7,7.1
6007001800,"Census Tract 18, Butte County, California",1606,208,6.9,5.1
6007001900,"Census Tract 19, Butte County, California",948,106,9.6,7.2
6007002000,"Census Tract 20, Butte County, California",1337,176,9.6,5.6
6007002100,"Census Tract 21, Butte County, California",1041,170,9.2,5.3
6007002200,"Census Tract 22, Butte County, California",1454,160,5.8,4.5
6007002300,"Census Tract 23, Butte County, California",1478,151,9.1,5.9
6007002400,"Census Tract 24, Butte County, California",1374,133,14.6,4.7
6007002500,"Census Tract 25, Butte County, California",1062,138,27.8,8.6
6007002600,"Census Tract 26, Butte County, California",1681,199,1.9,2.3
6007002700,"Census Tract 27, Butte County, California",1174,152,4.9,4
6007002800,"Census Tract 28, Butte County, California",735,154,20.5,9.4
6007002900,"Census Tract 29, Butte County, California",1814,196,18.4,7.3
6007003000,"Census Tract 30, Butte County, California",1344,195,22.1,8.3
6007003100,"Census Tract 31, Butte County, California",1104,102,7,4.8
6007003200,"Census Tract 32, Butte County, California",1069,139,11.8,5.2
6007003300,"Census Tract 33, Butte County, California",1191,120,8.1,5
6007003400,"Census Tract 34, Butte County, California",724,84,21.7,7.4
6007003500,"Census Tract 35, Butte County, California",1732,200,20.6,9.2
6007003600,"Census Tract 36, Butte County, California",894,115,6.7,3.8
6009000110,"Census Tract 1.10, Calaveras County, California",2465,270,7,4.9
6009000120,"Census Tract 1.20, Calaveras County, California",1185,174,3.6,2.5
6009000210,"Census Tract 2.10, Calaveras County, California",2767,242,2.5,3.2
6009000220,"Census Tract 2.20, Calaveras County, California",1905,155,3.4,2.7
6009000300,"Census Tract 3, Calaveras County, California",1854,228,8.6,5.1
6009000400,"Census Tract 4, Calaveras County, California",1200,192,10.2,6.1
6009000500,"Census Tract 5, Calaveras County, California",1628,268,11.1,7.3
6011000100,"Census Tract 1, Colusa County, California",1253,146,14.4,8.3
6011000200,"Census Tract 2, Colusa County, California",1362,118,7,4.2
6011000300,"Census Tract 3, Colusa County, California",1013,350,14.7,7.2
6011000400,"Census Tract 4, Colusa County, California",623,84,10.4,5.7
6011000500,"Census Tract 5, Colusa County, California",626,125,16.8,12.9
6013301000,"Census Tract 3010, Contra Costa County, California",908,172,9.8,7.2
6013302002,"Census Tract 3020.02, Contra Costa County, California",2384,200,8.6,4.9
6013302003,"Census Tract 3020.03, Contra Costa County, California",2548,203,2.9,2.3
6013302004,"Census Tract 3020.04, Contra Costa County, California",3548,234,4,2.4
6013303100,"Census Tract 3031, Contra Costa County, California",3792,209,10.4,3.5
6013303200,"Census Tract 3032, Contra Costa County, California",9701,368,4,1.7
6013304000,"Census Tract 3040, Contra Costa County, California",4912,360,3,1.9
6013305000,"Census Tract 3050, Contra Costa County, California",1233,198,21.2,9.3
6013306001,"Census Tract 3060.01, Contra Costa County, California",1984,208,11.1,5.7
