Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
6001422200,"Census Tract 4222, Alameda County, California",1473,81,654,112,819,120
6001422300,"Census Tract 4223, Alameda County, California",1413,115,603,109,810,111
6001422400,"Census Tract 4224, Alameda County, California",2001,108,254,91,1747,132
6001422500,"Census Tract 4225, Alameda County, California",1447,92,276,69,1171,110
6001422600,"Census Tract 4226, Alameda County, California",24,13,0,132,24,13
6001422700,"Census Tract 4227, Alameda County, California",916,81,163,34,753,85
6001422800,"Census Tract 4228, Alameda County, California",1208,118,7,11,1201,118
6001422900,"Census Tract 4229, Alameda County, California",1445,95,25,25,1420,98
6001423000,"Census Tract 4230, Alameda County, California",1831,136,826,110,1005,142
6001423100,"Census Tract 4231, Alameda County, California",1641,100,667,94,974,106
6001423200,"Census Tract 4232, Alameda County, California",960,88,354,65,606,96
6001423300,"Census Tract 4233, Alameda County, California",1399,105,861,107,538,105
6001423400,"Census Tract 4234, Alameda County, California",1781,140,726,145,1055,164
6001423500,"Census Tract 4235, Alameda County, California",1246,63,514,94,732,106
6001423601,"Census Tract 4236.01, Alameda County, California",1125,70,410,76,715,90
6001423602,"Census Tract 4236.02, Alameda County, California",2037,159,320,95,1717,165
6001423700,"Census Tract 4237, Alameda County, California",1110,92,409,72,701,107
6001423800,"Census Tract 4238, Alameda County, California",1228,79,957,78,271,74
6001423901,"Census Tract 4239.01, Alameda County, California",793,67,368,68,425,91
6001423902,"Census Tract 4239.02, Alameda County, California",755,35,394,99,361,97
6001424001,"Census Tract 4240.01, Alameda County, California",1242,102,229,79,1013,143
6001424002,"Census Tract 4240.02, Alameda County, California",771,69,326,74,445,84
6001425100,"Census Tract 4251, Alameda County, California",5261,339,1829,248,3432,331
6001426100,"Census Tract 4261, Alameda County, California",1922,95,1765,114,157,78
6001426200,"Census Tract 4262, Alameda County, California",1481,91,1242,95,239,90
6001427100,"Census Tract 4271, Alameda County, California",1422,45,967,124,455,128
6001427200,"Census Tract 4272, Alameda County, California",1443,98,536,96,907,130
6001427300,"Census Tract 4273, Alameda County, California",1970,102,854,145,1116,158
6001427400,"Census Tract 4274, Alameda County, California",448,83,212,74,236,73
6001427500,"Census Tract 4275, Alameda County, California",280,61,0,132,280,61
6001427600,"Census Tract 4276, Alameda County, California",1241,129,218,67,1023,127
6001427700,"Census Tract 4277, Alameda County, California",2232,129,852,115,1380,160
6001427800,"Census Tract 4278, Alameda County, California",1909,106,802,143,1107,159
6001427900,"Census Tract 4279, Alameda County, California",2094,89,816,116,1278,128
6001428000,"Census Tract 4280, Alameda County, California",1265,92,152,52,1113,99
6001428100,"Census Tract 4281, Alameda County, California",1896,121,973,120,923,135
6001428200,"Census Tract 4282, Alameda County, California",2409,168,1448,153,961,179
6001428301,"Census Tract 4283.01, Alameda County, California",2162,126,1813,131,349,108
6001428302,"Census Tract 4283.02, Alameda County, California",2441,101,2156,144,285,106
6001428400,"Census Tract 4284, Alameda County, California",1746,118,545,86,1201,148
6001428500,"Census Tract 4285, Alameda County, California",1378,65,477,70,901,91
6001428600,"Census Tract 4286, Alameda County, California",1494,71,802,109,692,111
6001430100,"Census Tract 4301, Alameda County, California",3062,103,2669,157,393,142
6001430200,"Census Tract 4302, Alameda County, California",2305,83,2126,110,179,81
6001430300,"Census Tract 4303, Alameda County, California",1261,48,1135,74,126,58
6001430400,"Census Tract 4304, Alameda County, California",747,20,723,30,24,21
6001430500,"Census Tract 4305, Alameda County, California",1978,117,1214,176,764,188
6001430600,"Census Tract 4306, Alameda County, California",2023,113,1813,153,210,95
6001430700,"Census Tract 4307, Alameda County, California",1243,91,1031,92,212,88
6001430800,"Census Tract 4308, Alameda County, California",2088,80,1583,113,505,106
6001430900,"Census Tract 4309, Alameda County, California",1795,86,249,72,1546,109
6001431000,"Census Tract 4310, Alameda County, California",1174,46,563,80,611,91
6001431100,"Census Tract 4311, Alameda County, California",1293,70,503,88,790,99
6001431200,"Census Tract 4312, Alameda County, California",2475,152,1046,196,1429,205
6001432100,"Census Tract 4321, Alameda County, California",1195,72,970,92,225,79
6001432200,"Census Tract 4322, Alameda County, California",1349,94,597,84,752,107
6001432300,"Census Tract 4323, Alameda County, California",1283,95,878,119,405,92
6001432400,"Census Tract 4324, Alameda County, California",1558,104,835,124,723,138
6001432500,"Census Tract 4325, Alameda County, California",2587,85,1598,182,989,172
6001432600,"Census Tract 4326, Alameda County, California",2669,108,764,132,1905,163
6001432700,"Census Tract 4327, Alameda County, California",961,41,712,76,249,83
6001432800,"Census Tract 4328, Alameda County, California",1293,69,1110,85,183,80
6001433000,"Census Tract 4330, Alameda County, California",1246,54,1024,94,222,89
6001433101,"Census Tract 4331.01, Alameda County, California",2809,144,762,171,2047,185
6001433102,"Census Tract 4331.02, Alameda County, California",1167,49,738,107,429,117
6001433200,"Census Tract 4332, Alameda County, California",2397,95,997,117,1400,128
6001433300,"Census Tract 4333, Alameda County, California",1908,82,1608,128,300,110
6001433400,"Census Tract 4334, Alameda County, California",1994,88,1754,135,240,102
6001433500,"Census Tract 4335, Alameda County, California",1198,67,1050,84,148,68
6001433600,"Census Tract 4336, Alameda County, California",1873,91,1046,146,827,142
6001433700,"Census Tract 4337, Alameda County, California",842,119,382,98,460,115
6001433800,"Census Tract 4338, Alameda County, California",2341,140,1113,150,1228,172
6001433900,"Census Tract 4339, Alameda County, California",1937,125,421,136,1516,156
6001434000,"Census Tract 4340, Alameda County, California",1569,84,572,123,997,145
6001435101,"Census Tract 4351.01, Alameda County, California",3714,180,2311,203,1403,219
6001435102,"Census Tract 4351.02, Alameda County, California",1694,147,1197,136,497,210
6001435200,"Census Tract 4352, Alameda County, California",1296,86,998,115,298,108
6001435300,"Census Tract 4353, Alameda County, California",1615,107,596,91,1019,143
6001435400,"Census Tract 4354, Alameda County, California",1949,134,537,97,1412,150
6001435500,"Census Tract 4355, Alameda County, California",1385,85,439,90,946,105
6001435600,"Census Tract 4356, Alameda County, California",2929,141,1064,208,1865,219
6001435700,"Census Tract 4357, Alameda County, California",1355,91,971,123,384,120
6001435800,"Census Tract 4358, Alameda County, California",1588,48,1221,120,367,125
6001435900,"Census Tract 4359, Alameda County, California",1591,58,1353,128,238,117
6001436000,"Census Tract 4360, Alameda County, California",1312,84,1077,120,235,95
6001436100,"Census Tract 4361, Alameda County, California",1683,77,899,116,784,125
6001436200,"Census Tract 4362, Alameda County, California",996,100,238,75,758,110
6001436300,"Census Tract 4363, Alameda County, California",1884,126,675,101,1209,145
6001436401,"Census Tract 4364.01, Alameda County, California",2623,149,1636,187,987,188
6001436402,"Census Tract 4364.02, Alameda County, California",990,82,935,84,55,63
6001436500,"Census Tract 4365, Alameda County, California",1673,102,422,78,1251,140
6001436601,"Census Tract 4366.01, Alameda County, California",1939,94,717,109,1222,134
6001436602,"Census Tract 4366.02, Alameda County, California",1481,110,399,98,1082,151
6001436700,"Census Tract 4367, Alameda County, California",1094,56,660,111,434,115
6001436800,"Census Tract 4368, Alameda County, California",1296,99,698,131,598,144
6001436900,"Census Tract 4369, Alameda County, California",1719,124,834,128,885,127
6001437000,"Census Tract 4370, Alameda County, California",1113,100,936,81,177,94
6001437100,"Census Tract 4371, Alameda County, California",3054,166,2352,205,702,225
6001437200,"Census Tract 4372, Alameda County, California",2052,128,1446,145,606,157
6001437300,"Census Tract 4373, Alameda County, California",804,97,542,87,262,104
6001437400,"Census Tract 4374, Alameda County, California",965,33,702,108,263,96
6001437500,"Census Tract 4375, Alameda County, California",1119,85,290,79,829,102
6001437600,"Census Tract 4376, Alameda County, California",889,61,560,101,329,102
6001437700,"Census Tract 4377, Alameda County, California",1800,162,280,124,1520,193
6001437800,"Census Tract 4378, Alameda County, California",1225,95,930,105,295,91
6001437900,"Census Tract 4379, Alameda County, California",609,105,296,65,313,105
6001438000,"Census Tract 4380, Alameda County, California",1076,69,750,92,326,88
6001438100,"Census Tract 4381, Alameda County, California",2051,103,1728,179,323,150
6001438201,"Census Tract 4382.01, Alameda County, California",1165,83,996,118,169,96
6001438202,"Census Tract 4382.02, Alameda County, California",3067,136,2666,195,401,177
6001438300,"Census Tract 4383, Alameda County, California",949,56,793,83,156,74
6001438400,"Census Tract 4384, Alameda County, California",754,19,705,49,49,47
6001440100,"Census Tract 4401, Alameda County, California",676,90,482,92,194,73
6001440200,"Census Tract 4402, Alameda County, California",1542,105,848,125,694,145
6001440301,"Census Tract 4403.01, Alameda County, California",2086,149,1646,161,440,175
6001440302,"Census Tract 4403.02, Alameda County, California",1920,120,1575,148,345,137
6001440304,"Census Tract 4403.04, Alameda County, California",1330,93,1008,102,322,86
6001440305,"Census Tract 4403.05, Alameda County, California",1060,66,854,106,206,83
6001440306,"Census Tract 4403.06, Alameda County, California",973,79,742,87,231,72
6001440307,"Census Tract 4403.07, Alameda County, California",1504,136,1270,141,234,78
6001440308,"Census Tract 4403.08, Alameda County, California",1977,142,1179,174,798,179
6001440309,"Census Tract 4403.09, Alameda County, California",3107,145,2145,172,962,153
6001440331,"Census Tract 4403.31, Alameda County, California",807,118,461,110,346,114
6001440332,"Census Tract 4403.32, Alameda County, California",913,56,863,71,50,36
6001441100,"Census Tract 4411, Alameda County, California",1462,103,1099,133,363,111
6001441200,"Census Tract 4412, Alameda County, California",2391,111,1449,153,942,156
6001441301,"Census Tract 4413.01, Alameda County, California",1036,78,539,75,497,86
6001441302,"Census Tract 4413.02, Alameda County, California",1695,98,1195,127,500,113
6001441401,"Census Tract 4414.01, Alameda County, California",2188,118,1649,155,539,158
6001441402,"Census Tract 4414.02, Alameda County, California",1516,103,1220,110,296,87
6001441501,"Census Tract 4415.01, Alameda County, California",1741,77,1556,111,185,90
6001441503,"Census Tract 4415.03, Alameda County, California",3938,125,2541,178,1397,165
6001441521,"Census Tract 4415.21, Alameda County, California",1741,55,1429,113,312,103
6001441522,"Census Tract 4415.22, Alameda County, California",1405,42,1139,93,266,93
6001441601,"Census Tract 4416.01, Alameda County, California",1347,69,1035,108,312,97
6001441602,"Census Tract 4416.02, Alameda County, California",2129,107,1216,155,913,161
6001441700,"Census Tract 4417, Alameda County, California",2237,178,1463,185,774,189
6001441800,"Census Tract 4418, Alameda County, California",2281,73,1251,154,1030,149
6001441901,"Census Tract 4419.01, Alameda County, California",4747,245,2003,241,2744,291
6001441921,"Census Tract 4419.21, Alameda County, California",1205,69,352,94,853,85
6001441922,"Census Tract 4419.22, Alameda County, California",2690,210,846,137,1844,210
6001441923,"Census Tract 4419.23, Alameda County, California",1921,135,159,65,1762,147
6001442000,"Census Tract 4420, Alameda County, California",981,28,951,41,30,27
6001442100,"Census Tract 4421, Alameda County, California",1552,57,1382,86,170,74
6001442200,"Census Tract 4422, Alameda County, California",1994,110,1685,131,309,101
6001442300,"Census Tract 4423, Alameda County, California",2882,125,1207,178,1675,181
6001442400,"Census Tract 4424, Alameda County, California",1677,94,1315,110,362,95
6001442500,"Census Tract 4425, Alameda County, California",2045,131,1106,173,939,187
6001442600,"Census Tract 4426, Alameda County, California",2823,96,2022,150,801,141
6001442700,"Census Tract 4427, Alameda County, California",1018,55,780,68,238,58
6001442800,"Census Tract 4428, Alameda County, California",789,96,571,95,218,95
6001442900,"Census Tract 4429, Alameda County, California",2004,170,1387,166,617,170
6001443001,"Census Tract 4430.01, Alameda County, California",779,47,636,69,143,60
6001443002,"Census Tract 4430.02, Alameda County, California",1660,102,1294,143,366,109
6001443101,"Census Tract 4431.01, Alameda County, California",2811,139,2299,163,512,132
6001443102,"Census Tract 4431.02, Alameda County, California",1367,69,1160,98,207,73
6001443103,"Census Tract 4431.03, Alameda County, California",998,81,942,93,56,43
6001443200,"Census Tract 4432, Alameda County, California",1065,58,1043,59,22,23
6001443301,"Census Tract 4433.01, Alameda County, California",1162,59,1090,76,72,52
6001443302,"Census Tract 4433.02, Alameda County, California",1996,116,1337,158,659,141
6001444100,"Census Tract 4441, Alameda County, California",2446,115,2163,146,283,95
6001444200,"Census Tract 4442, Alameda County, California",1865,96,1460,135,405,134
6001444300,"Census Tract 4443, Alameda County, California",2420,116,1550,171,870,176
6001444400,"Census Tract 4444, Alameda County, California",1334,111,918,119,416,104
6001444500,"Census Tract 4445, Alameda County, California",1827,124,1093,160,734,138
6001444600,"Census Tract 4446, Alameda County, California",2850,166,2107,192,743,203
6001450100,"Census Tract 4501, Alameda County, California",2671,125,1369,118,1302,135
6001450200,"Census Tract 4502, Alameda County, California",2090,121,641,115,1449,157
6001450300,"Census Tract 4503, Alameda County, California",1724,91,1102,120,622,125
6001450400,"Census Tract 4504, Alameda County, California",1963,87,1424,156,539,144
6001450500,"Census Tract 4505, Alameda County, California",2685,83,2379,118,306,87
6001450601,"Census Tract 4506.01, Alameda County, California",1175,70,1056,68,119,57
6001450602,"Census Tract 4506.02, Alameda County, California",3092,128,2073,153,1019,140
6001450603,"Census Tract 4506.03, Alameda County, California",1375,61,1176,112,199,91
6001450604,"Census Tract 4506.04, Alameda County, California",1576,53,1240,93,336,87
6001450605,"Census Tract 4506.05, Alameda County, California",1223,97,976,91,247,97
6001450606,"Census Tract 4506.06, Alameda County, California",1837,58,1588,88,249,73
6001450607,"Census Tract 4506.07, Alameda County, California",1812,84,531,82,1281,109
6001450701,"Census Tract 4507.01, Alameda County, California",2450,82,2101,118,349,107
6001450703,"Census Tract 4507.03, Alameda County, California",2642,103,1996,158,646,161
6001450721,"Census Tract 4507.21, Alameda County, California",2657,181,2233,186,424,140
6001450722,"Census Tract 4507.22, Alameda County, California",3561,149,1951,168,1610,190
6001450741,"Census Tract 4507.41, Alameda County, California",1643,71,1015,112,628,101
6001450742,"Census Tract 4507.42, Alameda County, California",1636,80,1321,107,315,78
6001451101,"Census Tract 4511.01, Alameda County, California",2183,102,1656,143,527,144
6001451102,"Census Tract 4511.02, Alameda County, California",1286,59,1221,68,65,48
6001451201,"Census Tract 4512.01, Alameda County, California",2406,135,1675,183,731,166
6001451202,"Census Tract 4512.02, Alameda County, California",1130,75,972,76,158,67
6001451300,"Census Tract 4513, Alameda County, California",2304,85,1961,138,343,117
6001451401,"Census Tract 4514.01, Alameda County, California",1987,131,1407,165,580,165
6001451402,"Census Tract 4514.02, Alameda County, California",2805,128,1451,221,1354,220
6001451501,"Census Tract 4515.01, Alameda County, California",1715,62,1146,88,569,80
6001451502,"Census Tract 4515.02, Alameda County, California",2619,159,1930,178,689,166
6001451503,"Census Tract 4515.03, Alameda County, California",1980,101,1235,160,745,134
6001451601,"Census Tract 4516.01, Alameda County, California",1643,78,1137,116,506,110
6001451602,"Census Tract 4516.02, Alameda County, California",2464,126,1480,152,984,171
6001451701,"Census Tract 4517.01, Alameda County, California",1037,38,778,84,259,85
6001451702,"Census Tract 4517.02, Alameda County, California",2891,91,2490,101,401,107
6003010000,"Census Tract 100, Alpine County, California",444,76,296,50,148,64
6005000100,"Census Tract 1, Amador County, California",2871,225,2572,241,299,165
6005000200,"Census Tract 2, Amador County, California",2089,171,1687,168,402,133
6005000301,"Census Tract 3.01, Amador County, California",684,69,525,65,159,73
6005000302,"Census Tract 3.02, Amador County, California",3343,235,2445,230,898,218
6005000401,"Census Tract 4.01, Amador County, California",1966,184,1361,192,605,146
6005000402,"Census Tract 4.02, Amador County, California",2192,137,1789,185,403,159
6005000500,"Census Tract 5, Amador County, California",1219,174,846,174,373,120
6007000101,"Census Tract 1.01, Butte County, California",3065,178,1639,179,1426,244
6007000102,"Census Tract 1.02, Butte County, California",1468,120,991,145,477,124
6007000201,"Census Tract 2.01, Butte County, California",1550,127,835,99,715,128
6007000202,"Census Tract 2.02, Butte County, California",1667,125,830,110,837,139
6007000300,"Census Tract 3, Butte County, California",1586,150,551,113,1035,162
6007000400,"Census Tract 4, Butte County, California",3413,153,2304,163,1109,185
6007000501,"Census Tract 5.01, Butte County, California",1495,140,947,92,548,158
6007000502,"Census Tract 5.02, Butte County, California",1956,207,340,67,1616,206
6007000601,"Census Tract 6.01, Butte County, California",1325,87,762,77,563,102
6007000603,"Census Tract 6.03, Butte County, California",1140,92,217,76,923,103
6007000604,"Census Tract 6.04, Butte County, California",1666,163,148,51,1518,157
6007000700,"Census Tract 7, Butte County, California",2357,193,955,153,1402,228
6007000800,"Census Tract 8, Butte County, California",2148,156,1411,136,737,171
6007000900,"Census Tract 9, Butte County, California",5833,269,2865,228,2968,308
6007001000,"Census Tract 10, Butte County, California",2085,192,450,115,1635,200
6007001100,"Census Tract 11, Butte County, California",1749,139,658,75,1091,158
6007001200,"Census Tract 12, Butte County, California",1460,117,406,87,1054,143
6007001300,"Census Tract 13, Butte County, California",1321,140,438,93,883,156
6007001400,"Census Tract 14, Butte County, California",2122,129,1842,124,280,106
6007001500,"Census Tract 15, Butte County, California",1984,131,1362,126,622,140
6007001600,"Census Tract 16, Butte County, California",2084,175,1882,175,202,87
6007001701,"Census Tract 17.01, Butte County, California",2508,186,2074,202,434,179
6007001702,"Census Tract 17.02, Butte County, California",2429,191,2001,206,428,142
6007001800,"Census Tract 18, Butte County, California",2690,166,2134,170,556,175
6007001900,"Census Tract 19, Butte County, California",1501,127,1245,145,256,87
6007002000,"Census Tract 20, Butte County, California",2193,211,1438,192,755,161
6007002100,"Census Tract 21, Butte County, California",2202,156,1466,210,736,169
6007002200,"Census Tract 22, Butte County, California",2325,169,1720,180,605,167
6007002300,"Census Tract 23, Butte County, California",2383,168,1985,171,398,118
6007002400,"Census Tract 24, Butte County, California",2126,146,1756,147,370,115
6007002500,"Census Tract 25, Butte County, California",1417,125,591,109,826,108
6007002600,"Census Tract 26, Butte County, California",2655,174,2197,165,458,154
6007002700,"Census Tract 27, Butte County, California",2065,185,1220,169,845,184
6007002800,"Census Tract 28, Butte County, California",1679,190,480,92,1199,173
6007002900,"Census Tract 29, Butte County, California",2478,218,1735,201,743,206
6007003000,"Census Tract 30, Butte County, California",2014,191,1160,164,854,173
6007003100,"Census Tract 31, Butte County, California",1677,118,1366,102,311,127
6007003200,"Census Tract 32, Butte County, California",1400,171,1169,145,231,111
6007003300,"Census Tract 33, Butte County, California",1549,122,1351,130,198,68
6007003400,"Census Tract 34, Butte County, California",992,89,542,97,450,84
6007003500,"Census Tract 35, Butte County, California",2364,259,1445,274,919,171
6007003600,"Census Tract 36, Butte County, California",1086,135,769,128,317,96
6009000110,"Census Tract 1.10, Calaveras County, California",3754,317,2574,332,1180,251
6009000120,"Census Tract 1.20, Calaveras County, California",1633,193,1315,211,318,134
6009000210,"Census Tract 2.10, Calaveras County, California",3527,262,3179,277,348,150
6009000220,"Census Tract 2.20, Calaveras County, California",2191,149,1985,150,206,100
6009000300,"Census Tract 3, Calaveras County, California",2752,223,1926,235,826,174
