Id2,Geography,Total; Estimate; Population for whom poverty status is determined,Total; Margin of Error; Population for whom poverty status is determined,Number Bbelow poverty level; Estimate; Population for whom poverty status is determined,Number below poverty level; Margin of Error; Population for whom poverty status is determined,Percent below poverty level; Estimate; Population for whom poverty status is determined,Percent below poverty level; Margin of Error; Population for whom poverty status is determined
6001405901,"Census Tract 4059.01, Alameda County, California",4583,419,1599,348,34.9,8.5
6001405902,"Census Tract 4059.02, Alameda County, California",3101,287,931,205,30,5.9
6001406000,"Census Tract 4060, Alameda County, California",3184,379,1222,292,38.4,8.1
6001406100,"Census Tract 4061, Alameda County, California",4581,512,1127,503,24.6,10.8
6001406201,"Census Tract 4062.01, Alameda County, California",4313,467,1228,342,28.5,8.4
6001406202,"Census Tract 4062.02, Alameda County, California",4403,394,1731,349,39.3,7.6
6001406300,"Census Tract 4063, Alameda County, California",4128,366,1074,363,26,8.5
6001406400,"Census Tract 4064, Alameda County, California",2215,288,400,142,18.1,5.9
6001406500,"Census Tract 4065, Alameda County, California",6111,649,1364,508,22.3,7.6
6001406601,"Census Tract 4066.01, Alameda County, California",5181,428,915,328,17.7,6
6001406602,"Census Tract 4066.02, Alameda County, California",2815,323,587,307,20.9,10.6
6001406700,"Census Tract 4067, Alameda County, California",4962,383,363,175,7.3,3.4
6001406800,"Census Tract 4068, Alameda County, California",3607,300,321,172,8.9,4.9
6001406900,"Census Tract 4069, Alameda County, California",3918,310,375,147,9.6,3.8
6001407000,"Census Tract 4070, Alameda County, California",5891,792,1225,491,20.8,8.5
6001407101,"Census Tract 4071.01, Alameda County, California",3444,305,1132,355,32.9,9.9
6001407102,"Census Tract 4071.02, Alameda County, California",4087,485,860,355,21,7.8
6001407200,"Census Tract 4072, Alameda County, California",7009,768,2313,493,33,6.6
6001407300,"Census Tract 4073, Alameda County, California",2469,257,528,178,21.4,6.9
6001407400,"Census Tract 4074, Alameda County, California",4205,432,913,342,21.7,7.3
6001407500,"Census Tract 4075, Alameda County, California",4302,495,1528,506,35.5,9.8
6001407600,"Census Tract 4076, Alameda County, California",6497,802,1283,672,19.7,9.8
6001407700,"Census Tract 4077, Alameda County, California",4167,335,190,95,4.6,2.3
6001407800,"Census Tract 4078, Alameda County, California",1899,145,89,46,4.7,2.3
6001407900,"Census Tract 4079, Alameda County, California",2965,236,209,134,7,4.4
6001408000,"Census Tract 4080, Alameda County, California",2314,166,54,37,2.3,1.6
6001408100,"Census Tract 4081, Alameda County, California",6346,560,296,182,4.7,2.7
6001408200,"Census Tract 4082, Alameda County, California",4469,442,836,342,18.7,7
6001408300,"Census Tract 4083, Alameda County, California",5148,333,654,242,12.7,4.9
6001408400,"Census Tract 4084, Alameda County, California",3301,422,946,345,28.7,9.6
6001408500,"Census Tract 4085, Alameda County, California",5909,495,1322,564,22.4,8.9
6001408600,"Census Tract 4086, Alameda County, California",6661,746,1971,616,29.6,8.4
6001408700,"Census Tract 4087, Alameda County, California",7702,689,2044,800,26.5,9.4
6001408800,"Census Tract 4088, Alameda County, California",6223,695,2132,513,34.3,8.2
6001408900,"Census Tract 4089, Alameda County, California",3035,268,1104,243,36.4,7.4
6001409000,"Census Tract 4090, Alameda County, California",3747,361,766,242,20.4,6.1
6001409100,"Census Tract 4091, Alameda County, California",2214,298,554,212,25,8.8
6001409200,"Census Tract 4092, Alameda County, California",3595,260,577,208,16.1,5.6
6001409300,"Census Tract 4093, Alameda County, California",5101,542,1610,508,31.6,8
6001409400,"Census Tract 4094, Alameda County, California",5259,525,1398,472,26.6,8.8
6001409500,"Census Tract 4095, Alameda County, California",4588,343,1648,374,35.9,7.3
6001409600,"Census Tract 4096, Alameda County, California",4675,565,953,438,20.4,8.7
6001409700,"Census Tract 4097, Alameda County, California",5366,620,1103,446,20.6,7.3
6001409800,"Census Tract 4098, Alameda County, California",3496,414,404,176,11.6,5.3
6001409900,"Census Tract 4099, Alameda County, California",3410,286,292,123,8.6,3.5
6001410000,"Census Tract 4100, Alameda County, California",3506,352,155,95,4.4,2.7
6001410100,"Census Tract 4101, Alameda County, California",2754,245,494,168,17.9,6.3
6001410200,"Census Tract 4102, Alameda County, California",3370,428,714,300,21.2,9
6001410300,"Census Tract 4103, Alameda County, California",3598,334,736,203,20.5,5.4
6001410400,"Census Tract 4104, Alameda County, California",4142,383,566,220,13.7,5.4
6001410500,"Census Tract 4105, Alameda County, California",2209,202,922,207,41.7,8.3
6001420100,"Census Tract 4201, Alameda County, California",2434,126,83,52,3.4,2.1
6001420200,"Census Tract 4202, Alameda County, California",3180,284,220,111,6.9,3.5
6001420300,"Census Tract 4203, Alameda County, California",4928,363,369,217,7.5,4.3
6001420400,"Census Tract 4204, Alameda County, California",3232,206,925,268,28.6,8
6001420500,"Census Tract 4205, Alameda County, California",2474,156,228,111,9.2,4.4
6001420600,"Census Tract 4206, Alameda County, California",3344,235,64,44,1.9,1.3
6001421100,"Census Tract 4211, Alameda County, California",2085,174,51,53,2.4,2.6
6001421200,"Census Tract 4212, Alameda County, California",3650,164,112,62,3.1,1.7
6001421300,"Census Tract 4213, Alameda County, California",3891,282,169,100,4.3,2.5
6001421400,"Census Tract 4214, Alameda County, California",1709,129,69,29,4,1.6
6001421500,"Census Tract 4215, Alameda County, California",3775,256,111,68,2.9,1.7
6001421600,"Census Tract 4216, Alameda County, California",3545,354,295,138,8.3,3.8
6001421700,"Census Tract 4217, Alameda County, California",3572,239,402,127,11.3,3.3
6001421800,"Census Tract 4218, Alameda County, California",2234,102,113,60,5.1,2.6
6001421900,"Census Tract 4219, Alameda County, California",3947,318,349,124,8.8,3.2
6001422000,"Census Tract 4220, Alameda County, California",1954,165,400,161,20.5,8
6001422100,"Census Tract 4221, Alameda County, California",2593,279,172,89,6.6,3.4
6001422200,"Census Tract 4222, Alameda County, California",3553,256,324,141,9.1,3.7
6001422300,"Census Tract 4223, Alameda County, California",3890,393,590,208,15.2,5.2
6001422400,"Census Tract 4224, Alameda County, California",4187,350,1132,317,27,6.8
6001422500,"Census Tract 4225, Alameda County, California",3224,288,938,239,29.1,5.7
6001422600,"Census Tract 4226, Alameda County, California",96,82,0,12,0,29.7
6001422700,"Census Tract 4227, Alameda County, California",2849,416,1425,326,50,7.3
6001422800,"Census Tract 4228, Alameda County, California",3315,404,2068,387,62.4,7.1
6001422900,"Census Tract 4229, Alameda County, California",5047,743,2479,604,49.1,9.2
6001423000,"Census Tract 4230, Alameda County, California",4679,487,770,265,16.5,5.3
6001423100,"Census Tract 4231, Alameda County, California",4278,264,697,197,16.3,4.3
6001423200,"Census Tract 4232, Alameda County, California",3046,336,613,314,20.1,9.5
6001423300,"Census Tract 4233, Alameda County, California",4060,425,552,239,13.6,6
6001423400,"Census Tract 4234, Alameda County, California",5307,539,1017,490,19.2,8
6001423500,"Census Tract 4235, Alameda County, California",3163,290,594,151,18.8,4.3
6001423601,"Census Tract 4236.01, Alameda County, California",2803,274,422,191,15.1,6.3
6001423602,"Census Tract 4236.02, Alameda County, California",5141,900,2868,762,55.8,7.2
6001423700,"Census Tract 4237, Alameda County, California",3320,656,1049,654,31.6,14
6001423800,"Census Tract 4238, Alameda County, California",2910,240,121,72,4.2,2.4
6001423901,"Census Tract 4239.01, Alameda County, California",1986,169,258,101,13,4.8
6001423902,"Census Tract 4239.02, Alameda County, California",1514,136,144,59,9.5,3.8
6001424001,"Census Tract 4240.01, Alameda County, California",4300,292,745,217,17.3,4.8
6001424002,"Census Tract 4240.02, Alameda County, California",2503,267,373,151,14.9,6.1
6001425101,"Census Tract 4251.01, Alameda County, California",1738,166,238,159,13.7,8.6
6001425102,"Census Tract 4251.02, Alameda County, California",3494,227,455,187,13,5.3
6001425103,"Census Tract 4251.03, Alameda County, California",2871,199,208,130,7.2,4.5
6001425104,"Census Tract 4251.04, Alameda County, California",3411,260,449,198,13.2,5.4
6001426100,"Census Tract 4261, Alameda County, California",6315,212,372,368,5.9,5.7
6001426200,"Census Tract 4262, Alameda County, California",4957,206,176,104,3.6,2.1
6001427100,"Census Tract 4271, Alameda County, California",3640,205,155,101,4.3,2.8
6001427200,"Census Tract 4272, Alameda County, California",4076,332,639,300,15.7,7.3
6001427300,"Census Tract 4273, Alameda County, California",5169,289,555,171,10.7,3.3
6001427600,"Census Tract 4276, Alameda County, California",5661,357,1524,473,26.9,8.1
6001427700,"Census Tract 4277, Alameda County, California",5057,446,378,166,7.5,3.2
6001427800,"Census Tract 4278, Alameda County, California",5241,437,300,195,5.7,3.9
6001427900,"Census Tract 4279, Alameda County, California",4942,401,185,152,3.7,3.1
6001428000,"Census Tract 4280, Alameda County, California",2751,271,486,198,17.7,7
6001428100,"Census Tract 4281, Alameda County, California",4866,243,307,163,6.3,3.4
6001428200,"Census Tract 4282, Alameda County, California",6491,337,340,222,5.2,3.4
6001428301,"Census Tract 4283.01, Alameda County, California",6998,370,218,158,3.1,2.2
6001428302,"Census Tract 4283.02, Alameda County, California",7422,476,139,148,1.9,2
6001428400,"Census Tract 4284, Alameda County, California",4216,311,546,219,13,5.1
6001428500,"Census Tract 4285, Alameda County, California",3077,220,319,162,10.4,5.3
6001428600,"Census Tract 4286, Alameda County, California",3295,219,250,103,7.6,3.2
6001428700,"Census Tract 4287, Alameda County, California",4071,298,754,209,18.5,5.2
6001430101,"Census Tract 4301.01, Alameda County, California",6884,456,147,120,2.1,1.7
6001430102,"Census Tract 4301.02, Alameda County, California",2427,146,59,36,2.4,1.5
6001430200,"Census Tract 4302, Alameda County, California",6576,409,51,50,0.8,0.8
6001430300,"Census Tract 4303, Alameda County, California",3705,259,101,95,2.7,2.5
6001430400,"Census Tract 4304, Alameda County, California",2150,187,46,43,2.1,2
6001430500,"Census Tract 4305, Alameda County, California",5634,378,509,244,9,4.1
6001430600,"Census Tract 4306, Alameda County, California",6559,461,389,212,5.9,3.3
6001430700,"Census Tract 4307, Alameda County, California",4099,213,183,108,4.5,2.6
6001430800,"Census Tract 4308, Alameda County, California",5408,545,577,373,10.7,6.5
6001430900,"Census Tract 4309, Alameda County, California",5058,362,979,374,19.4,7
6001431000,"Census Tract 4310, Alameda County, California",2924,198,309,140,10.6,4.8
6001431100,"Census Tract 4311, Alameda County, California",3575,308,453,144,12.7,4.3
6001431200,"Census Tract 4312, Alameda County, California",5716,340,791,467,13.8,8
6001432100,"Census Tract 4321, Alameda County, California",3792,243,185,121,4.9,3.2
6001432200,"Census Tract 4322, Alameda County, California",4463,298,441,251,9.9,5.7
6001432300,"Census Tract 4323, Alameda County, California",4715,310,443,154,9.4,3.2
6001432400,"Census Tract 4324, Alameda County, California",6328,367,1177,359,18.6,5.5
6001432501,"Census Tract 4325.01, Alameda County, California",4737,415,514,265,10.9,5.4
6001432502,"Census Tract 4325.02, Alameda County, California",5097,316,313,172,6.1,3.4
6001432600,"Census Tract 4326, Alameda County, California",7263,462,1093,408,15,5.5
6001432700,"Census Tract 4327, Alameda County, California",2811,179,210,179,7.5,6.2
6001432800,"Census Tract 4328, Alameda County, California",3876,331,121,99,3.1,2.6
6001433000,"Census Tract 4330, Alameda County, California",3818,526,559,262,14.6,6.1
6001433102,"Census Tract 4331.02, Alameda County, California",4147,320,225,162,5.4,3.8
6001433103,"Census Tract 4331.03, Alameda County, California",3805,200,349,177,9.2,4.6
6001433104,"Census Tract 4331.04, Alameda County, California",3839,336,663,319,17.3,7.7
6001433200,"Census Tract 4332, Alameda County, California",7247,522,1152,549,15.9,7.4
6001433300,"Census Tract 4333, Alameda County, California",7841,439,982,565,12.5,7.1
6001433400,"Census Tract 4334, Alameda County, California",6546,488,404,354,6.2,5.3
6001433500,"Census Tract 4335, Alameda County, California",4664,252,252,217,5.4,4.6
6001433600,"Census Tract 4336, Alameda County, California",5726,401,822,387,14.4,6.8
6001433700,"Census Tract 4337, Alameda County, California",3663,405,326,212,8.9,5.5
6001433800,"Census Tract 4338, Alameda County, California",8105,666,914,441,11.3,5.5
6001433900,"Census Tract 4339, Alameda County, California",7478,703,2061,710,27.6,8.7
6001434000,"Census Tract 4340, Alameda County, California",5357,475,1504,406,28.1,7.6
6001435102,"Census Tract 4351.02, Alameda County, California",4588,295,341,139,7.4,3
6001435103,"Census Tract 4351.03, Alameda County, California",6894,470,314,220,4.6,3.2
6001435104,"Census Tract 4351.04, Alameda County, California",5870,432,1209,533,20.6,8.9
6001435200,"Census Tract 4352, Alameda County, California",4494,379,575,374,12.8,7.6
6001435300,"Census Tract 4353, Alameda County, California",4396,345,475,256,10.8,5.6
6001435400,"Census Tract 4354, Alameda County, California",4268,349,594,257,13.9,5.9
6001435500,"Census Tract 4355, Alameda County, California",4014,303,568,248,14.2,6.1
6001435601,"Census Tract 4356.01, Alameda County, California",5540,447,1210,497,21.8,8.4
6001435602,"Census Tract 4356.02, Alameda County, California",5352,644,1274,426,23.8,7.2
6001435700,"Census Tract 4357, Alameda County, California",4966,391,761,484,15.3,9.2
6001435800,"Census Tract 4358, Alameda County, California",5614,433,465,243,8.3,4.4
6001435900,"Census Tract 4359, Alameda County, California",5425,419,473,310,8.7,5.4
6001436000,"Census Tract 4360, Alameda County, California",4486,387,312,166,7,3.8
6001436100,"Census Tract 4361, Alameda County, California",6134,324,686,275,11.2,4.3
6001436200,"Census Tract 4362, Alameda County, California",3999,466,500,231,12.5,5.5
6001436300,"Census Tract 4363, Alameda County, California",8299,740,1179,491,14.2,5.9
6001436401,"Census Tract 4364.01, Alameda County, California",7750,525,838,363,10.8,4.5
6001436402,"Census Tract 4364.02, Alameda County, California",2678,253,116,78,4.3,2.9
6001436500,"Census Tract 4365, Alameda County, California",4998,328,1159,357,23.2,6.9
6001436601,"Census Tract 4366.01, Alameda County, California",6891,523,624,333,9.1,4.8
6001436602,"Census Tract 4366.02, Alameda County, California",5080,350,787,298,15.5,5.7
6001436700,"Census Tract 4367, Alameda County, California",3276,343,422,231,12.9,6.8
6001436800,"Census Tract 4368, Alameda County, California",4179,405,400,278,9.6,6.5
6001436900,"Census Tract 4369, Alameda County, California",6824,417,514,241,7.5,3.4
6001437000,"Census Tract 4370, Alameda County, California",3490,241,303,140,8.7,4
6001437101,"Census Tract 4371.01, Alameda County, California",7138,484,218,141,3.1,2
6001437102,"Census Tract 4371.02, Alameda County, California",4586,323,476,199,10.4,4.4
6001437200,"Census Tract 4372, Alameda County, California",7757,691,643,385,8.3,4.9
6001437300,"Census Tract 4373, Alameda County, California",3206,193,257,134,8,4.2
6001437400,"Census Tract 4374, Alameda County, California",3334,201,122,74,3.7,2.2
6001437500,"Census Tract 4375, Alameda County, California",4468,286,1053,371,23.6,7.8
6001437600,"Census Tract 4376, Alameda County, California",3625,230,455,150,12.6,4.1
6001437701,"Census Tract 4377.01, Alameda County, California",3688,296,440,169,11.9,4.7
6001437702,"Census Tract 4377.02, Alameda County, California",4746,298,893,317,18.8,6.7
6001437800,"Census Tract 4378, Alameda County, California",4654,343,238,131,5.1,2.9
6001437900,"Census Tract 4379, Alameda County, California",2448,227,272,145,11.1,5.8
6001438000,"Census Tract 4380, Alameda County, California",3877,346,286,207,7.4,5.3
6001438100,"Census Tract 4381, Alameda County, California",7491,595,307,247,4.1,3.3
6001438201,"Census Tract 4382.01, Alameda County, California",5001,442,378,330,7.6,6.4
6001438203,"Census Tract 4382.03, Alameda County, California",4295,296,218,106,5.1,2.4
6001438204,"Census Tract 4382.04, Alameda County, California",5442,254,137,80,2.5,1.5
6001438300,"Census Tract 4383, Alameda County, California",3997,381,383,248,9.6,6.1
6001438400,"Census Tract 4384, Alameda County, California",2416,203,106,63,4.4,2.6
6001440100,"Census Tract 4401, Alameda County, California",2389,217,125,67,5.2,2.8
6001440200,"Census Tract 4402, Alameda County, California",5958,404,633,306,10.6,5.1
6001440301,"Census Tract 4403.01, Alameda County, California",7356,508,1010,743,13.7,9.9
6001440304,"Census Tract 4403.04, Alameda County, California",5128,320,303,156,5.9,3
6001440305,"Census Tract 4403.05, Alameda County, California",4105,266,297,130,7.2,3.1
6001440306,"Census Tract 4403.06, Alameda County, California",4222,308,574,189,13.6,4.5
6001440307,"Census Tract 4403.07, Alameda County, California",4432,307,257,110,5.8,2.4
6001440308,"Census Tract 4403.08, Alameda County, California",6207,348,424,156,6.8,2.4
6001440331,"Census Tract 4403.31, Alameda County, California",3369,231,264,120,7.8,3.6
6001440332,"Census Tract 4403.32, Alameda County, California",3612,215,73,44,2,1.2
6001440333,"Census Tract 4403.33, Alameda County, California",3073,276,120,70,3.9,2.3
6001440334,"Census Tract 4403.34, Alameda County, California",4536,272,406,184,9,3.9
6001440335,"Census Tract 4403.35, Alameda County, California",6967,670,97,88,1.4,1.2
6001440336,"Census Tract 4403.36, Alameda County, California",4922,369,459,246,9.3,5.1
6001441100,"Census Tract 4411, Alameda County, California",4140,287,197,145,4.8,3.6
6001441200,"Census Tract 4412, Alameda County, California",6977,632,228,143,3.3,2
6001441301,"Census Tract 4413.01, Alameda County, California",3184,209,140,75,4.4,2.4
6001441302,"Census Tract 4413.02, Alameda County, California",5881,307,662,278,11.3,4.7
6001441401,"Census Tract 4414.01, Alameda County, California",8042,663,447,280,5.6,3.3
6001441402,"Census Tract 4414.02, Alameda County, California",5438,344,61,42,1.1,0.8
6001441501,"Census Tract 4415.01, Alameda County, California",6464,325,207,136,3.2,2.1
6001441503,"Census Tract 4415.03, Alameda County, California",6759,233,253,141,3.7,2.1
6001441521,"Census Tract 4415.21, Alameda County, California",6276,348,246,121,3.9,1.9
6001441522,"Census Tract 4415.22, Alameda County, California",5147,282,530,239,10.3,4.7
6001441523,"Census Tract 4415.23, Alameda County, California",4336,234,192,161,4.4,3.7
6001441524,"Census Tract 4415.24, Alameda County, California",4432,211,79,100,1.8,2.3
6001441601,"Census Tract 4416.01, Alameda County, California",5056,352,226,219,4.5,4.2
6001441602,"Census Tract 4416.02, Alameda County, California",8065,627,490,241,6.1,3
6001441700,"Census Tract 4417, Alameda County, California",8093,604,616,367,7.6,4.6
6001441800,"Census Tract 4418, Alameda County, California",7665,463,520,287,6.8,3.8
6001441921,"Census Tract 4419.21, Alameda County, California",3949,386,47,32,1.2,0.8
6001441923,"Census Tract 4419.23, Alameda County, California",6213,439,520,284,8.4,4.5
6001441924,"Census Tract 4419.24, Alameda County, California",8030,639,295,268,3.7,3.3
6001441925,"Census Tract 4419.25, Alameda County, California",6920,476,370,210,5.3,3
6001441926,"Census Tract 4419.26, Alameda County, California",4453,291,276,130,6.2,3
6001441927,"Census Tract 4419.27, Alameda County, California",4552,370,291,136,6.4,2.9
6001442000,"Census Tract 4420, Alameda County, California",3286,208,51,46,1.6,1.4
6001442100,"Census Tract 4421, Alameda County, California",5201,323,115,83,2.2,1.6
6001442200,"Census Tract 4422, Alameda County, California",7093,318,120,80,1.7,1.1
6001442301,"Census Tract 4423.01, Alameda County, California",4948,263,329,144,6.6,2.9
6001442302,"Census Tract 4423.02, Alameda County, California",5988,427,493,173,8.2,2.9
6001442400,"Census Tract 4424, Alameda County, California",6502,471,549,231,8.4,3.6
6001442500,"Census Tract 4425, Alameda County, California",7487,518,495,258,6.6,3.4
6001442601,"Census Tract 4426.01, Alameda County, California",4055,302,153,74,3.8,1.8
6001442602,"Census Tract 4426.02, Alameda County, California",4947,344,394,228,8,4.6
6001442700,"Census Tract 4427, Alameda County, California",3025,211,50,54,1.7,1.8
6001442800,"Census Tract 4428, Alameda County, California",2907,310,234,111,8,3.4
6001442900,"Census Tract 4429, Alameda County, California",7904,504,109,63,1.4,0.8
6001443001,"Census Tract 4430.01, Alameda County, California",2798,155,83,44,3,1.5
6001443002,"Census Tract 4430.02, Alameda County, California",6799,349,218,146,3.2,2.1
6001443102,"Census Tract 4431.02, Alameda County, California",4788,209,137,101,2.9,2.1
6001443103,"Census Tract 4431.03, Alameda County, California",3987,252,135,83,3.4,2
6001443104,"Census Tract 4431.04, Alameda County, California",5535,275,239,124,4.3,2.3
6001443105,"Census Tract 4431.05, Alameda County, California",4493,218,89,66,2,1.5
6001443200,"Census Tract 4432, Alameda County, California",3967,228,95,76,2.4,1.9
6001443301,"Census Tract 4433.01, Alameda County, California",4163,205,110,84,2.6,2
6001443321,"Census Tract 4433.21, Alameda County, California",3428,262,178,115,5.2,3.3
6001443322,"Census Tract 4433.22, Alameda County, California",3196,212,103,52,3.2,1.6
6001444100,"Census Tract 4441, Alameda County, California",7752,387,326,125,4.2,1.6
6001444200,"Census Tract 4442, Alameda County, California",6953,450,398,274,5.7,3.8
6001444301,"Census Tract 4443.01, Alameda County, California",4164,289,366,229,8.8,5.6
6001444302,"Census Tract 4443.02, Alameda County, California",4422,270,318,230,7.2,5.3
6001444400,"Census Tract 4444, Alameda County, California",4986,389,515,258,10.3,4.8
6001444500,"Census Tract 4445, Alameda County, California",7351,406,635,260,8.6,3.7
6001444601,"Census Tract 4446.01, Alameda County, California",5454,388,211,89,3.9,1.6
6001444602,"Census Tract 4446.02, Alameda County, California",4429,340,110,64,2.5,1.5
6001450101,"Census Tract 4501.01, Alameda County, California",5212,419,277,233,5.3,4.3
6001450102,"Census Tract 4501.02, Alameda County, California",4157,223,123,73,3,1.8
6001450200,"Census Tract 4502, Alameda County, California",6252,321,188,119,3,1.9
6001450300,"Census Tract 4503, Alameda County, California",5161,290,265,200,5.1,3.9
6001450400,"Census Tract 4504, Alameda County, California",6087,320,222,182,3.6,3
6001450501,"Census Tract 4505.01, Alameda County, California",3341,176,175,115,5.2,3.4
6001450502,"Census Tract 4505.02, Alameda County, California",5564,308,114,78,2,1.4
6001450601,"Census Tract 4506.01, Alameda County, California",3679,289,229,149,6.2,4
6001450602,"Census Tract 4506.02, Alameda County, California",9943,562,476,316,4.8,3.2
6001450603,"Census Tract 4506.03, Alameda County, California",5313,234,68,44,1.3,0.8
6001450604,"Census Tract 4506.04, Alameda County, California",5489,278,243,147,4.4,2.6
6001450605,"Census Tract 4506.05, Alameda County, California",3923,203,160,87,4.1,2.2
6001450606,"Census Tract 4506.06, Alameda County, California",6209,260,82,66,1.3,1
6001450607,"Census Tract 4506.07, Alameda County, California",5691,374,653,243,11.5,4.3
6001450701,"Census Tract 4507.01, Alameda County, California",8797,446,478,334,5.4,3.9
6001450741,"Census Tract 4507.41, Alameda County, California",5117,326,193,107,3.8,2.2
6001450742,"Census Tract 4507.42, Alameda County, California",4921,245,127,100,2.6,2
6001450743,"Census Tract 4507.43, Alameda County, California",6496,572,481,334,7.4,5
6001450744,"Census Tract 4507.44, Alameda County, California",5919,376,146,84,2.5,1.4
6001450745,"Census Tract 4507.45, Alameda County, California",6113,339,135,121,2.2,2
6001450746,"Census Tract 4507.46, Alameda County, California",3616,173,74,54,2,1.5
6001450750,"Census Tract 4507.50, Alameda County, California",4844,306,291,174,6,3.5
