Id2,Geography,Total number of households,Total number of households- MOE,Median income (dollars); All households,Median income (dollars)- MOE; All households
6001406400,"Census Tract 4064, Alameda County, California",725,66,49436,6636
6001406500,"Census Tract 4065, Alameda County, California",1926,126,37232,10542
6001406600,"Census Tract 4066, Alameda County, California",2815,153,49336,10470
6001406700,"Census Tract 4067, Alameda County, California",2180,151,78333,16050
6001406800,"Census Tract 4068, Alameda County, California",1439,92,78267,14653
6001406900,"Census Tract 4069, Alameda County, California",1531,95,74291,14309
6001407000,"Census Tract 4070, Alameda County, California",2129,151,33867,7332
6001407100,"Census Tract 4071, Alameda County, California",2159,186,41408,8714
6001407200,"Census Tract 4072, Alameda County, California",1604,151,37975,6735
6001407300,"Census Tract 4073, Alameda County, California",737,67,31479,13776
6001407400,"Census Tract 4074, Alameda County, California",1050,175,29238,4939
6001407500,"Census Tract 4075, Alameda County, California",1263,104,33671,5440
6001407600,"Census Tract 4076, Alameda County, California",2209,151,47019,7787
6001407700,"Census Tract 4077, Alameda County, California",1813,109,63199,11485
6001407800,"Census Tract 4078, Alameda County, California",798,78,54250,23350
6001407900,"Census Tract 4079, Alameda County, California",1087,106,104420,13857
6001408000,"Census Tract 4080, Alameda County, California",984,67,119423,39330
6001408100,"Census Tract 4081, Alameda County, California",2418,146,89113,14737
6001408200,"Census Tract 4082, Alameda County, California",1693,130,55547,13709
6001408300,"Census Tract 4083, Alameda County, California",1793,99,52524,10027
6001408400,"Census Tract 4084, Alameda County, California",1263,109,47772,7328
6001408500,"Census Tract 4085, Alameda County, California",1533,130,33236,6481
6001408600,"Census Tract 4086, Alameda County, California",1721,106,32867,3794
6001408700,"Census Tract 4087, Alameda County, California",2322,155,35208,13508
6001408800,"Census Tract 4088, Alameda County, California",1527,129,25482,4331
6001408900,"Census Tract 4089, Alameda County, California",949,94,21983,7500
6001409000,"Census Tract 4090, Alameda County, California",1026,91,37917,10553
6001409100,"Census Tract 4091, Alameda County, California",694,43,55270,29875
6001409200,"Census Tract 4092, Alameda County, California",782,77,45682,14817
6001409300,"Census Tract 4093, Alameda County, California",1704,98,33300,3837
6001409400,"Census Tract 4094, Alameda County, California",1134,98,43250,8320
6001409500,"Census Tract 4095, Alameda County, California",822,103,37292,11909
6001409600,"Census Tract 4096, Alameda County, California",1477,128,39646,11404
6001409700,"Census Tract 4097, Alameda County, California",1574,112,33476,5594
6001409800,"Census Tract 4098, Alameda County, California",1287,76,47188,22850
6001409900,"Census Tract 4099, Alameda County, California",1375,91,97734,32639
6001410000,"Census Tract 4100, Alameda County, California",1202,66,97895,47158
6001410100,"Census Tract 4101, Alameda County, California",963,85,55170,15051
6001410200,"Census Tract 4102, Alameda County, California",1049,107,41388,2721
6001410300,"Census Tract 4103, Alameda County, California",1042,80,32222,10255
6001410400,"Census Tract 4104, Alameda County, California",1246,77,51435,15441
6001420100,"Census Tract 4201, Alameda County, California",834,44,103816,22322
6001420200,"Census Tract 4202, Alameda County, California",1071,97,63750,20350
6001420300,"Census Tract 4203, Alameda County, California",1860,89,66711,16228
6001420400,"Census Tract 4204, Alameda County, California",701,93,31825,10414
6001420500,"Census Tract 4205, Alameda County, California",788,67,65000,31600
6001420600,"Census Tract 4206, Alameda County, California",1189,64,106875,13741
6001421100,"Census Tract 4211, Alameda County, California",736,66,133304,15621
6001421200,"Census Tract 4212, Alameda County, California",1287,74,149099,20604
6001421300,"Census Tract 4213, Alameda County, California",1503,80,115685,16334
6001421400,"Census Tract 4214, Alameda County, California",623,42,113542,24652
6001421500,"Census Tract 4215, Alameda County, California",1435,88,132583,25752
6001421600,"Census Tract 4216, Alameda County, California",1502,78,104858,11226
6001421700,"Census Tract 4217, Alameda County, California",1510,80,75333,14493
6001421800,"Census Tract 4218, Alameda County, California",800,70,83864,25018
6001421900,"Census Tract 4219, Alameda County, California",1558,82,85345,9084
6001422000,"Census Tract 4220, Alameda County, California",435,74,51285,15739
6001422100,"Census Tract 4221, Alameda County, California",844,117,46371,9487
6001422200,"Census Tract 4222, Alameda County, California",1473,81,50151,5589
6001422300,"Census Tract 4223, Alameda County, California",1413,115,46426,5923
6001422400,"Census Tract 4224, Alameda County, California",2001,108,36520,11535
6001422500,"Census Tract 4225, Alameda County, California",1447,92,45265,7076
6001422600,"Census Tract 4226, Alameda County, California",24,13,5833,1623
6001422700,"Census Tract 4227, Alameda County, California",916,81,33827,11743
6001422800,"Census Tract 4228, Alameda County, California",1208,118,16429,6485
6001422900,"Census Tract 4229, Alameda County, California",1445,95,25208,9703
6001423000,"Census Tract 4230, Alameda County, California",1831,136,71225,9374
6001423100,"Census Tract 4231, Alameda County, California",1641,100,49250,10727
6001423200,"Census Tract 4232, Alameda County, California",960,88,40847,2505
6001423300,"Census Tract 4233, Alameda County, California",1399,105,69896,19296
6001423400,"Census Tract 4234, Alameda County, California",1781,140,43366,7957
6001423500,"Census Tract 4235, Alameda County, California",1246,63,53080,7009
6001423601,"Census Tract 4236.01, Alameda County, California",1125,70,82950,18663
6001423602,"Census Tract 4236.02, Alameda County, California",2037,159,37717,12421
6001423700,"Census Tract 4237, Alameda County, California",1110,92,53750,17225
6001423800,"Census Tract 4238, Alameda County, California",1228,79,132500,21930
6001423901,"Census Tract 4239.01, Alameda County, California",793,67,53351,6361
6001423902,"Census Tract 4239.02, Alameda County, California",755,35,84875,15850
6001424001,"Census Tract 4240.01, Alameda County, California",1242,102,44091,11472
6001424002,"Census Tract 4240.02, Alameda County, California",771,69,40388,8635
6001425100,"Census Tract 4251, Alameda County, California",5261,339,57211,5536
6001426100,"Census Tract 4261, Alameda County, California",1922,95,181500,41037
6001426200,"Census Tract 4262, Alameda County, California",1481,91,163125,10280
6001427100,"Census Tract 4271, Alameda County, California",1422,45,106444,9684
6001427200,"Census Tract 4272, Alameda County, California",1443,98,68361,10339
6001427300,"Census Tract 4273, Alameda County, California",1970,102,72656,24107
6001427400,"Census Tract 4274, Alameda County, California",448,83,94833,27406
6001427500,"Census Tract 4275, Alameda County, California",280,61,35726,23534
6001427600,"Census Tract 4276, Alameda County, California",1241,129,46910,11443
6001427700,"Census Tract 4277, Alameda County, California",2232,129,69141,6139
6001427800,"Census Tract 4278, Alameda County, California",1909,106,71447,8129
6001427900,"Census Tract 4279, Alameda County, California",2094,89,74491,13056
6001428000,"Census Tract 4280, Alameda County, California",1265,92,44661,6294
6001428100,"Census Tract 4281, Alameda County, California",1896,121,67183,14755
6001428200,"Census Tract 4282, Alameda County, California",2409,168,80850,7879
6001428301,"Census Tract 4283.01, Alameda County, California",2162,126,96552,12007
6001428302,"Census Tract 4283.02, Alameda County, California",2441,101,135208,16296
6001428400,"Census Tract 4284, Alameda County, California",1746,118,50411,4528
6001428500,"Census Tract 4285, Alameda County, California",1378,65,59232,8005
6001428600,"Census Tract 4286, Alameda County, California",1494,71,66205,9727
6001430100,"Census Tract 4301, Alameda County, California",3062,103,105833,17348
6001430200,"Census Tract 4302, Alameda County, California",2305,83,102587,7228
6001430300,"Census Tract 4303, Alameda County, California",1261,48,107208,12015
6001430400,"Census Tract 4304, Alameda County, California",747,20,106875,13484
6001430500,"Census Tract 4305, Alameda County, California",1978,117,62679,11512
6001430600,"Census Tract 4306, Alameda County, California",2023,113,93003,13145
6001430700,"Census Tract 4307, Alameda County, California",1243,91,87821,12727
6001430800,"Census Tract 4308, Alameda County, California",2088,80,68077,9510
6001430900,"Census Tract 4309, Alameda County, California",1795,86,57526,7698
6001431000,"Census Tract 4310, Alameda County, California",1174,46,44762,11134
6001431100,"Census Tract 4311, Alameda County, California",1293,70,55255,4480
6001431200,"Census Tract 4312, Alameda County, California",2475,152,63159,10311
6001432100,"Census Tract 4321, Alameda County, California",1195,72,87434,8346
6001432200,"Census Tract 4322, Alameda County, California",1349,94,62716,12343
6001432300,"Census Tract 4323, Alameda County, California",1283,95,63542,12317
6001432400,"Census Tract 4324, Alameda County, California",1558,104,57639,11067
6001432500,"Census Tract 4325, Alameda County, California",2587,85,65983,4191
6001432600,"Census Tract 4326, Alameda County, California",2669,108,43347,6693
6001432700,"Census Tract 4327, Alameda County, California",961,41,85843,16688
6001432800,"Census Tract 4328, Alameda County, California",1293,69,91382,12578
6001433000,"Census Tract 4330, Alameda County, California",1246,54,67952,2843
6001433101,"Census Tract 4331.01, Alameda County, California",2809,144,43869,4315
6001433102,"Census Tract 4331.02, Alameda County, California",1167,49,62264,13843
6001433200,"Census Tract 4332, Alameda County, California",2397,95,55096,8172
6001433300,"Census Tract 4333, Alameda County, California",1908,82,72212,8168
6001433400,"Census Tract 4334, Alameda County, California",1994,88,76038,10035
6001433500,"Census Tract 4335, Alameda County, California",1198,67,69467,8127
6001433600,"Census Tract 4336, Alameda County, California",1873,91,52058,10380
6001433700,"Census Tract 4337, Alameda County, California",842,119,51711,11753
6001433800,"Census Tract 4338, Alameda County, California",2341,140,52233,5078
6001433900,"Census Tract 4339, Alameda County, California",1937,125,44806,9971
6001434000,"Census Tract 4340, Alameda County, California",1569,84,40666,4113
6001435101,"Census Tract 4351.01, Alameda County, California",3714,180,100070,7687
6001435102,"Census Tract 4351.02, Alameda County, California",1694,147,93438,27927
6001435200,"Census Tract 4352, Alameda County, California",1296,86,70750,20334
6001435300,"Census Tract 4353, Alameda County, California",1615,107,49390,11974
6001435400,"Census Tract 4354, Alameda County, California",1949,134,42370,8741
6001435500,"Census Tract 4355, Alameda County, California",1385,85,51307,10725
6001435600,"Census Tract 4356, Alameda County, California",2929,141,43489,8275
6001435700,"Census Tract 4357, Alameda County, California",1355,91,66563,12140
6001435800,"Census Tract 4358, Alameda County, California",1588,48,68152,14869
6001435900,"Census Tract 4359, Alameda County, California",1591,58,73608,14734
6001436000,"Census Tract 4360, Alameda County, California",1312,84,66765,16919
6001436100,"Census Tract 4361, Alameda County, California",1683,77,54698,9707
6001436200,"Census Tract 4362, Alameda County, California",996,100,43468,11835
6001436300,"Census Tract 4363, Alameda County, California",1884,126,55667,7622
6001436401,"Census Tract 4364.01, Alameda County, California",2623,149,68411,8652
6001436402,"Census Tract 4364.02, Alameda County, California",990,82,125536,27678
6001436500,"Census Tract 4365, Alameda County, California",1673,102,50198,6902
6001436601,"Census Tract 4366.01, Alameda County, California",1939,94,45403,5776
6001436602,"Census Tract 4366.02, Alameda County, California",1481,110,44309,9891
6001436700,"Census Tract 4367, Alameda County, California",1094,56,58500,12960
6001436800,"Census Tract 4368, Alameda County, California",1296,99,75212,16387
6001436900,"Census Tract 4369, Alameda County, California",1719,124,51736,9064
6001437000,"Census Tract 4370, Alameda County, California",1113,100,68403,12786
6001437100,"Census Tract 4371, Alameda County, California",3054,166,73639,9943
6001437200,"Census Tract 4372, Alameda County, California",2052,128,63947,7397
6001437300,"Census Tract 4373, Alameda County, California",804,97,61563,16018
6001437400,"Census Tract 4374, Alameda County, California",965,33,69081,14353
6001437500,"Census Tract 4375, Alameda County, California",1119,85,46281,8386
6001437600,"Census Tract 4376, Alameda County, California",889,61,58875,9182
6001437700,"Census Tract 4377, Alameda County, California",1800,162,39231,8869
6001437800,"Census Tract 4378, Alameda County, California",1225,95,90750,20548
6001437900,"Census Tract 4379, Alameda County, California",609,105,50417,11325
6001438000,"Census Tract 4380, Alameda County, California",1076,69,57305,10514
6001438100,"Census Tract 4381, Alameda County, California",2051,103,91975,9891
6001438201,"Census Tract 4382.01, Alameda County, California",1165,83,61327,5628
6001438202,"Census Tract 4382.02, Alameda County, California",3067,136,68643,3100
6001438300,"Census Tract 4383, Alameda County, California",949,56,58523,5700
6001438400,"Census Tract 4384, Alameda County, California",754,19,68776,9483
6001440100,"Census Tract 4401, Alameda County, California",676,90,67583,17899
6001440200,"Census Tract 4402, Alameda County, California",1542,105,66364,11787
6001440301,"Census Tract 4403.01, Alameda County, California",2086,149,75667,12579
6001440302,"Census Tract 4403.02, Alameda County, California",1920,120,96618,11707
6001440304,"Census Tract 4403.04, Alameda County, California",1330,93,93438,12791
6001440305,"Census Tract 4403.05, Alameda County, California",1060,66,93409,12769
6001440306,"Census Tract 4403.06, Alameda County, California",973,79,85057,11436
6001440307,"Census Tract 4403.07, Alameda County, California",1504,136,67076,5417
6001440308,"Census Tract 4403.08, Alameda County, California",1977,142,73057,5975
6001440309,"Census Tract 4403.09, Alameda County, California",3107,145,98987,11066
6001440331,"Census Tract 4403.31, Alameda County, California",807,118,62386,27523
6001440332,"Census Tract 4403.32, Alameda County, California",913,56,170750,19261
6001441100,"Census Tract 4411, Alameda County, California",1462,103,98816,14581
6001441200,"Census Tract 4412, Alameda County, California",2391,111,86519,7329
6001441301,"Census Tract 4413.01, Alameda County, California",1036,78,108828,8657
6001441302,"Census Tract 4413.02, Alameda County, California",1695,98,99442,9932
6001441401,"Census Tract 4414.01, Alameda County, California",2188,118,79375,14082
6001441402,"Census Tract 4414.02, Alameda County, California",1516,103,102188,15333
6001441501,"Census Tract 4415.01, Alameda County, California",1741,77,128644,11722
6001441503,"Census Tract 4415.03, Alameda County, California",3938,125,108088,7893
6001441521,"Census Tract 4415.21, Alameda County, California",1741,55,108852,9430
6001441522,"Census Tract 4415.22, Alameda County, California",1405,42,111193,15557
6001441601,"Census Tract 4416.01, Alameda County, California",1347,69,91146,8210
6001441602,"Census Tract 4416.02, Alameda County, California",2129,107,66737,10065
6001441700,"Census Tract 4417, Alameda County, California",2237,178,78079,5381
6001441800,"Census Tract 4418, Alameda County, California",2281,73,69970,11898
6001441901,"Census Tract 4419.01, Alameda County, California",4747,245,100493,7616
6001441921,"Census Tract 4419.21, Alameda County, California",1205,69,90047,13937
6001441922,"Census Tract 4419.22, Alameda County, California",2690,210,64882,7823
6001441923,"Census Tract 4419.23, Alameda County, California",1921,135,71891,12463
6001442000,"Census Tract 4420, Alameda County, California",981,28,165873,7905
6001442100,"Census Tract 4421, Alameda County, California",1552,57,115000,19378
6001442200,"Census Tract 4422, Alameda County, California",1994,110,123365,12865
6001442300,"Census Tract 4423, Alameda County, California",2882,125,57059,8297
6001442400,"Census Tract 4424, Alameda County, California",1677,94,86492,10545
6001442500,"Census Tract 4425, Alameda County, California",2045,131,75614,8898
6001442600,"Census Tract 4426, Alameda County, California",2823,96,88664,22816
6001442700,"Census Tract 4427, Alameda County, California",1018,55,93382,22189
6001442800,"Census Tract 4428, Alameda County, California",789,96,78147,16592
6001442900,"Census Tract 4429, Alameda County, California",2004,170,71875,16105
6001443001,"Census Tract 4430.01, Alameda County, California",779,47,100928,10106
6001443002,"Census Tract 4430.02, Alameda County, California",1660,102,93026,2982
6001443101,"Census Tract 4431.01, Alameda County, California",2811,139,139496,9992
6001443102,"Census Tract 4431.02, Alameda County, California",1367,69,133188,28607
6001443103,"Census Tract 4431.03, Alameda County, California",998,81,202361,21215
6001443200,"Census Tract 4432, Alameda County, California",1065,58,189583,40812
6001443301,"Census Tract 4433.01, Alameda County, California",1162,59,118143,14402
6001443302,"Census Tract 4433.02, Alameda County, California",1996,116,91766,6675
6001444100,"Census Tract 4441, Alameda County, California",2446,115,92005,7510
6001444200,"Census Tract 4442, Alameda County, California",1865,96,79019,10886
6001444300,"Census Tract 4443, Alameda County, California",2420,116,83077,14060
6001444400,"Census Tract 4444, Alameda County, California",1334,111,67857,8808
6001444500,"Census Tract 4445, Alameda County, California",1827,124,74832,7649
6001444600,"Census Tract 4446, Alameda County, California",2850,166,98492,14908
6001450100,"Census Tract 4501, Alameda County, California",2671,125,116528,9621
6001450200,"Census Tract 4502, Alameda County, California",2090,121,83960,7126
6001450300,"Census Tract 4503, Alameda County, California",1724,91,93988,5813
6001450400,"Census Tract 4504, Alameda County, California",1963,87,94375,14576
6001450500,"Census Tract 4505, Alameda County, California",2685,83,121496,8529
6001450601,"Census Tract 4506.01, Alameda County, California",1175,70,142983,25618
6001450602,"Census Tract 4506.02, Alameda County, California",3092,128,127442,8606
6001450603,"Census Tract 4506.03, Alameda County, California",1375,61,112321,8057
6001450604,"Census Tract 4506.04, Alameda County, California",1576,53,127966,11326
6001450605,"Census Tract 4506.05, Alameda County, California",1223,97,102426,10735
6001450606,"Census Tract 4506.06, Alameda County, California",1837,58,150353,10395
6001450607,"Census Tract 4506.07, Alameda County, California",1812,84,75909,15794
6001450701,"Census Tract 4507.01, Alameda County, California",2450,82,161316,24923
6001450703,"Census Tract 4507.03, Alameda County, California",2642,103,111676,7057
6001450721,"Census Tract 4507.21, Alameda County, California",2657,181,126738,19305
6001450722,"Census Tract 4507.22, Alameda County, California",3561,149,101621,7285
6001450741,"Census Tract 4507.41, Alameda County, California",1643,71,81571,22670
6001450742,"Census Tract 4507.42, Alameda County, California",1636,80,95250,6342
6001451101,"Census Tract 4511.01, Alameda County, California",2183,102,125489,24071
6001451102,"Census Tract 4511.02, Alameda County, California",1286,59,164833,20067
6001451201,"Census Tract 4512.01, Alameda County, California",2406,135,81793,14528
6001451202,"Census Tract 4512.02, Alameda County, California",1130,75,91902,10214
6001451300,"Census Tract 4513, Alameda County, California",2304,85,104559,11966
6001451401,"Census Tract 4514.01, Alameda County, California",1987,131,85911,23613
6001451402,"Census Tract 4514.02, Alameda County, California",2805,128,78969,13202
6001451501,"Census Tract 4515.01, Alameda County, California",1715,62,88980,10429
6001451502,"Census Tract 4515.02, Alameda County, California",2619,159,98397,14893
6001451503,"Census Tract 4515.03, Alameda County, California",1980,101,88452,10546
6001451601,"Census Tract 4516.01, Alameda County, California",1643,78,96023,15440
6001451602,"Census Tract 4516.02, Alameda County, California",2464,126,83654,20551
6001451701,"Census Tract 4517.01, Alameda County, California",1037,38,80096,7063
6001451702,"Census Tract 4517.02, Alameda County, California",2891,91,108596,8703
6003010000,"Census Tract 100, Alpine County, California",444,76,54605,17009
6005000100,"Census Tract 1, Amador County, California",2871,225,49462,5738
6005000200,"Census Tract 2, Amador County, California",2089,171,60120,10078
6005000301,"Census Tract 3.01, Amador County, California",684,69,61087,7656
6005000302,"Census Tract 3.02, Amador County, California",3343,235,58308,5764
6005000401,"Census Tract 4.01, Amador County, California",1966,184,50000,6409
6005000402,"Census Tract 4.02, Amador County, California",2192,137,61289,9705
6005000500,"Census Tract 5, Amador County, California",1219,174,62390,8724
6007000101,"Census Tract 1.01, Butte County, California",3065,178,54283,9482
6007000102,"Census Tract 1.02, Butte County, California",1468,120,46200,10657
6007000201,"Census Tract 2.01, Butte County, California",1550,127,40918,5834
6007000202,"Census Tract 2.02, Butte County, California",1667,125,30383,7409
6007000300,"Census Tract 3, Butte County, California",1586,150,34286,5153
6007000400,"Census Tract 4, Butte County, California",3413,153,61056,8378
6007000501,"Census Tract 5.01, Butte County, California",1495,140,48646,12195
6007000502,"Census Tract 5.02, Butte County, California",1956,207,24323,3182
6007000601,"Census Tract 6.01, Butte County, California",1325,87,55466,12386
6007000603,"Census Tract 6.03, Butte County, California",1140,92,26488,9218
6007000604,"Census Tract 6.04, Butte County, California",1666,163,17375,7794
6007000700,"Census Tract 7, Butte County, California",2357,193,33538,8255
6007000800,"Census Tract 8, Butte County, California",2148,156,59695,5118
6007000900,"Census Tract 9, Butte County, California",5833,269,48317,5900
6007001000,"Census Tract 10, Butte County, California",2085,192,21950,6352
6007001100,"Census Tract 11, Butte County, California",1749,139,32324,2455
6007001200,"Census Tract 12, Butte County, California",1460,117,36964,9142
6007001300,"Census Tract 13, Butte County, California",1321,140,29246,5303
6007001400,"Census Tract 14, Butte County, California",2122,129,69700,6438
6007001500,"Census Tract 15, Butte County, California",1984,131,67667,11487
6007001600,"Census Tract 16, Butte County, California",2084,175,81985,7412
6007001701,"Census Tract 17.01, Butte County, California",2508,186,41127,9741
6007001702,"Census Tract 17.02, Butte County, California",2429,191,47175,7608
6007001800,"Census Tract 18, Butte County, California",2690,166,37875,8524
6007001900,"Census Tract 19, Butte County, California",1501,127,44657,6960
6007002000,"Census Tract 20, Butte County, California",2193,211,43615,3766
6007002100,"Census Tract 21, Butte County, California",2202,156,39603,7725
6007002200,"Census Tract 22, Butte County, California",2325,169,48094,9037
6007002300,"Census Tract 23, Butte County, California",2383,168,42902,10698
6007002400,"Census Tract 24, Butte County, California",2126,146,37899,3675
6007002500,"Census Tract 25, Butte County, California",1417,125,34954,8687
6007002600,"Census Tract 26, Butte County, California",2655,174,50406,3767
6007002700,"Census Tract 27, Butte County, California",2065,185,52003,5470
6007002800,"Census Tract 28, Butte County, California",1679,190,23615,6238
6007002900,"Census Tract 29, Butte County, California",2478,218,37395,6384
6007003000,"Census Tract 30, Butte County, California",2014,191,28125,3518
6007003100,"Census Tract 31, Butte County, California",1677,118,48234,3819
6007003200,"Census Tract 32, Butte County, California",1400,171,40000,3188
6007003300,"Census Tract 33, Butte County, California",1549,122,47978,8168
6007003400,"Census Tract 34, Butte County, California",992,89,35000,2845
6007003500,"Census Tract 35, Butte County, California",2364,259,33710,3169
6007003600,"Census Tract 36, Butte County, California",1086,135,52174,12268
6009000110,"Census Tract 1.10, Calaveras County, California",3754,317,52273,12268
6009000120,"Census Tract 1.20, Calaveras County, California",1633,193,62445,14911
6009000210,"Census Tract 2.10, Calaveras County, California",3527,262,70268,9135
6009000220,"Census Tract 2.20, Calaveras County, California",2191,149,74931,11288
6009000300,"Census Tract 3, Calaveras County, California",2752,223,45833,9776
6009000400,"Census Tract 4, Calaveras County, California",1871,201,43733,8778
6009000500,"Census Tract 5, Calaveras County, California",2425,314,50123,9415
6011000100,"Census Tract 1, Colusa County, California",1615,163,50806,7839
6011000200,"Census Tract 2, Colusa County, California",1784,121,52353,8983
6011000300,"Census Tract 3, Colusa County, California",1426,484,40163,6981
6011000400,"Census Tract 4, Colusa County, California",838,100,45743,7165
6011000500,"Census Tract 5, Colusa County, California",1027,127,43911,10415
6013301000,"Census Tract 3010, Contra Costa County, California",1574,166,39516,14570
6013302002,"Census Tract 3020.02, Contra Costa County, California",3044,199,69773,15468
6013302003,"Census Tract 3020.03, Contra Costa County, California",3417,209,71043,4680
6013302004,"Census Tract 3020.04, Contra Costa County, California",3979,212,91395,6416
6013303100,"Census Tract 3031, Contra Costa County, California",4723,225,70625,15412
6013303200,"Census Tract 3032, Contra Costa County, California",12143,416,90356,3794
6013304000,"Census Tract 3040, Contra Costa County, California",6106,349,98310,6032
6013305000,"Census Tract 3050, Contra Costa County, California",2047,183,40077,8080
6013306001,"Census Tract 3060.01, Contra Costa County, California",2766,178,51553,8665
6013306002,"Census Tract 3060.02, Contra Costa County, California",1121,78,67135,10405
6013307101,"Census Tract 3071.01, Contra Costa County, California",1452,71,62021,17307
6013307102,"Census Tract 3071.02, Contra Costa County, California",1675,120,43988,5105
6013307201,"Census Tract 3072.01, Contra Costa County, California",832,78,31552,12362
6013307202,"Census Tract 3072.02, Contra Costa County, California",1328,139,36806,9245
6013307204,"Census Tract 3072.04, Contra Costa County, California",1282,75,63827,7693
6013307205,"Census Tract 3072.05, Contra Costa County, California",2447,169,55867,9683
6013308001,"Census Tract 3080.01, Contra Costa County, California",2270,169,71522,9629
6013308002,"Census Tract 3080.02, Contra Costa County, California",1352,72,107593,16985
6013309000,"Census Tract 3090, Contra Costa County, California",1011,91,68162,10661
6013310000,"Census Tract 3100, Contra Costa County, California",1443,108,47173,12148
6013311000,"Census Tract 3110, Contra Costa County, California",1343,114,43125,33748
6013312000,"Census Tract 3120, Contra Costa County, California",789,78,25813,10572
